lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,delta,theta,meditation,attention
91152,35330,26211,10636,6995,6421,1469328,371222,0,0
91152,35330,26211,10636,6995,6421,1469328,371222,0,0
117791,167277,107959,109612,14640,35716,3191899,706762,57,96
161218,48528,49237,31197,11066,39837,2057436,1041807,24,50
161218,48528,49237,31197,11066,39837,2057436,1041807,24,50
161218,48528,49237,31197,11066,39837,2057436,1041807,24,50
161218,48528,49237,31197,11066,39837,2057436,1041807,24,50
6080,3908,1293,1436,407,1675,937433,32727,70,17
20889,1726,2104,1504,435,2160,243929,72855,53,30
23610,39909,4434,5123,1112,12497,1811802,49779,66,51
73696,5494,8082,11492,2889,15088,1060351,75151,96,60
16055,9364,4005,4246,1424,9624,959835,223480,66,43
13835,5757,1788,2085,905,9715,1837710,98098,24,13
49248,5290,15489,6316,1743,8393,1521638,139805,43,40
49248,5290,15489,6316,1743,8393,1521638,139805,43,40
6832,3410,1890,704,290,401,297128,20405,67,90
3726,241,1984,939,228,648,333503,14854,60,84
2488,1883,248,1123,207,781,54679,19739,56,80
26792,16850,4015,5260,1355,15090,1624312,84961,50,70
26567,11337,14719,5498,2735,15439,856686,120549,53,66
20634,22429,11152,8350,3802,53280,1576827,378532,40,51
58425,14021,35803,22082,7791,8389,684022,426397,21,56
1988,1441,1997,485,247,3295,492034,21722,30,47
75369,18667,9678,6854,4077,55910,1452816,273448,24,30
121512,21796,6259,2273,3694,17208,1056370,102133,60,37
17463,1391,3749,1266,656,14117,726671,163238,74,20
33979,8303,10011,5395,1858,17271,751937,157784,48,41
33979,8303,10011,5395,1858,17271,751937,157784,48,41
30864,15332,8896,9240,5211,64122,1575316,78030,41,41
1814,9158,2542,1391,557,20888,1034003,116628,29,17
26697,7159,3448,3701,1246,16475,1171692,209685,14,7
37373,7442,13154,8431,6317,77598,609246,384019,24,30
3664,1082,1248,523,322,4452,50082,33744,30,37
24993,2232,3894,4348,1257,15162,2155576,18254,75,70
72847,26709,19497,6009,12872,57488,2247563,821902,88,66
908,3356,4603,3878,757,17170,1310021,299990,64,60
59017,167990,26401,26009,10488,37924,3523367,414971,70,94
28321,9253,7724,5968,6941,13171,786288,157044,56,77
9337,10236,8522,3035,1470,12719,1635494,206981,47,54
8846,12448,5156,2659,910,12960,632552,95492,27,41
3497,3741,1095,463,373,3288,156079,80752,37,41
3497,3741,1095,463,373,3288,156079,80752,37,41
14541,16436,2771,4643,1224,11201,1576653,78162,66,47
5531,3481,755,2267,906,12785,569431,103825,63,67
79889,11105,5733,3227,1283,10572,1033514,203469,38,29
9434,5351,3520,1980,1429,20158,618571,95409,50,38
31314,1661,5798,5317,4422,65066,764216,116802,41,50
31314,1661,5798,5317,4422,65066,764216,116802,41,50
1086,6083,4752,3212,1184,649,412643,23340,90,83
6860,18451,32686,3836,1885,2266,727228,18888,87,97
