lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,delta,theta,meditation,attention
123232,76902,67236,56764,28420,47204,261794,649624,0,0
123029,31951,17311,25643,34315,12556,1540458,314628,37,30
60218,35997,32302,25804,24387,5847,1790563,113585,24,40
142850,195132,145076,288965,67750,35685,1321493,402538,14,69
399445,472860,233322,171026,101873,42294,665871,426418,35,66
5534,29295,13296,23600,7358,5611,398859,69126,41,64
5534,29295,13296,23600,7358,5611,398859,69126,41,64
8912,21158,12572,18239,12338,3198,1242881,318777,11,77
329925,866688,616480,779557,322752,116243,2117999,2443716,3,64
18073,42671,56130,21420,15347,4515,1237937,257921,3,64
0,0,1,1,1,0,1,0,3,64
104629,102147,89737,12028,27094,25458,998706,225328,3,64
14334,5623,3521,2517,1195,669,133360,24765,3,64
15990,12960,6316,5683,6735,3028,24086,31753,26,38
37125,15585,69190,38601,35577,18311,1179455,321516,35,48
8605,40239,21491,10075,1993,1731,645365,108261,50,29
68711,41016,59329,71556,20839,10718,751548,409102,24,14
68711,41016,59329,71556,20839,10718,751548,409102,24,14
34115,43218,11584,32269,13623,3371,774836,70131,64,56
62067,54615,115512,85082,20308,3838,2986637,551307,63,54
62067,54615,115512,85082,20308,3838,2986637,551307,63,54
294655,123595,32067,48544,30566,9928,731960,571786,60,56
33705,119653,49322,38322,12991,3321,892537,169145,56,40
4142,17907,9989,8573,4393,1759,785950,51591,56,40
39578,20302,17371,6545,4932,2427,595878,55177,61,29
58890,203777,348997,105858,62936,33180,1310524,229692,66,29
58890,203777,348997,105858,62936,33180,1310524,229692,66,29
12173,24484,5640,8261,2976,959,382544,53549,43,24
12173,24484,5640,8261,2976,959,382544,53549,43,24
20685,61596,101380,73617,19273,3237,2474654,110228,74,48
15753,10018,2035,1920,713,742,384626,24087,77,23
1374,196,299,479,255,81,39415,13204,57,1
44794,37334,34462,15736,5985,5309,1703159,115680,54,11
44794,37334,34462,15736,5985,5309,1703159,115680,54,11
44794,37334,34462,15736,5985,5309,1703159,115680,54,11
141878,12377,43989,20241,23347,15299,1490773,136546,54,35
141878,12377,43989,20241,23347,15299,1490773,136546,54,35
53806,90785,70480,52261,31563,18623,1865324,575309,54,30
53806,90785,70480,52261,31563,18623,1865324,575309,54,30
57956,71789,45099,120040,39837,9802,369424,319828,56,35
7885,52861,49169,27327,19986,5130,1213901,57833,64,53
122086,139855,118347,135837,187459,17844,1615536,267962,63,67
122086,139855,118347,135837,187459,17844,1615536,267962,63,67
46396,27900,16168,13103,5067,2896,1623435,110319,60,63
37540,29301,136582,81043,31547,22629,1037928,307663,60,63
86364,77148,57373,86792,5566,19378,2359114,443076,50,61
86364,77148,57373,86792,5566,19378,2359114,443076,50,61
135681,91633,81101,189501,112696,42322,1405857,418926,41,67
135681,91633,81101,189501,112696,42322,1405857,418926,41,67
107697,123538,149945,52095,45526,61993,2569650,106879,43,66
107697,123538,149945,52095,45526,61993,2569650,106879,43,66
107697,123538,149945,52095,45526,61993,2569650,106879,43,66
148966,180775,99058,286010,105608,58926,1953954,1514334,40,75
52003,79675,88827,76780,17625,22387,966212,630160,40,43
115584,95909,119595,191668,78187,25627,386015,220040,48,61
115584,95909,119595,191668,78187,25627,386015,220040,48,61
115584,95909,119595,191668,78187,25627,386015,220040,48,61
33551,90092,59125,8918,9210,6319,413070,117562,63,27
17931,47525,41102,29648,45590,18566,533712,414528,61,11
136680,320818,61260,268833,99183,16470,1142477,216065,61,38
41180,82373,355061,89117,23216,5871,2159598,815897,41,38
880296,676855,663599,456196,452777,183919,2256368,739151,47,40
124618,96199,41416,34049,25103,25839,764830,173161,44,44
44219,19205,56957,20721,13631,6605,2025071,184082,44,44
57627,33434,33949,14354,4794,9462,761585,88326,54,53
17059,12214,88112,31193,25928,3122,505810,319707,80,54
13847,7822,3088,3031,2492,649,1055297,34650,70,50
153236,119542,141840,94746,31000,23745,2086518,1076730,66,40
153236,119542,141840,94746,31000,23745,2086518,1076730,66,40
29394,13404,8876,34356,5965,3017,414573,40105,61,70
23638,19630,7363,13405,2755,760,885415,34753,47,67
1886,725,1913,2808,2041,454,169466,24580,29,69
23751,36481,29087,11214,5212,4089,701711,39913,29,69
6096,5635,13413,5489,3740,609,741392,38519,29,69
33730,22644,23072,25630,14609,3885,1055484,133625,38,47
119070,83950,184254,60931,140540,10683,2576496,344874,37,50
3176,65195,65845,92109,36709,15890,448541,48256,37,50
3176,65195,65845,92109,36709,15890,448541,48256,37,50
3176,65195,65845,92109,36709,15890,448541,48256,37,50
3176,65195,65845,92109,36709,15890,448541,48256,37,50
209347,158906,665968,137457,121699,43412,757349,182429,29,78
797118,487906,359329,607349,93203,45636,484398,1000408,47,81
29350,12497,14837,25282,17599,23293,476208,25371,53,96
29996,26468,32801,15912,8725,4423,362474,121856,60,78
29996,26468,32801,15912,8725,4423,362474,121856,60,78
209642,153256,79155,147935,185413,17855,1722697,1100850,75,51
225896,279091,318499,190424,226586,85229,2486464,227595,66,61
32209,21456,7881,7756,3445,1930,1047591,69944,61,60
19020,10269,67676,81600,3909,2312,667670,142281,56,74
325771,171826,77643,128154,83964,51782,1535204,1178233,35,84
9825,9351,16986,4731,8702,8957,1156580,103190,41,50
2948,33634,16694,21834,4529,1807,564802,202605,44,35
30696,58232,21643,16490,20098,3573,2742303,546566,30,30
57772,55867,73730,36301,5365,2852,214297,175796,40,48
57772,55867,73730,36301,5365,2852,214297,175796,40,48
67888,4112,13965,22882,8717,3388,2462103,163005,53,38
13137,27263,19163,34638,8699,7517,766679,293056,54,20
9187,10825,2439,7708,3073,4285,207361,49815,43,40
9187,10825,2439,7708,3073,4285,207361,49815,43,40
15193,5434,6880,15674,19170,20839,1538567,352616,24,24
