lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,delta,theta,meditation,attention
6658,6063,8911,2079,1034,1530,452611,47445,30,34
78905,19195,18054,19267,11064,15265,2061230,209221,43,27
12628,6897,5824,8521,5376,711,645056,88040,35,30
5097,2143,1260,155,276,438,114088,8662,48,16
159870,64925,56234,28838,28853,7608,1424992,413237,56,13
51116,19773,73378,54807,17767,5929,963492,75093,54,16
2129,2533,4332,7746,1264,563,98030,45876,10,61
4896,6752,10990,5057,2149,1599,832924,18611,13,88
43357,73831,45073,24816,5053,2155,1824829,106189,37,84
11256,3333,2974,1250,1193,481,1073364,79575,37,84
1405,1697,3474,1735,857,241,635091,32398,41,67
6065,3069,2648,1509,4231,612,340351,111463,21,41
1469,2013,1467,1923,2265,2405,69074,20257,14,37
16502,6178,25234,12530,4399,1685,361642,20350,11,60
8926,15990,3428,2869,1076,1458,1191104,69005,23,60
952,19597,5805,3682,3955,2496,817542,180466,23,17
952,19597,5805,3682,3955,2496,817542,180466,23,17
952,19597,5805,3682,3955,2496,817542,180466,23,17
952,19597,5805,3682,3955,2496,817542,180466,23,17
20613,10418,4969,8741,8741,3533,364870,62016,27,43
65646,155622,33846,55046,21412,11201,686529,303082,30,47
65646,155622,33846,55046,21412,11201,686529,303082,30,47
65646,155622,33846,55046,21412,11201,686529,303082,30,47
65646,155622,33846,55046,21412,11201,686529,303082,30,47
19364,70491,18551,11291,4412,10101,1637748,97424,43,51
19364,70491,18551,11291,4412,10101,1637748,97424,43,51
150309,143105,157279,137466,36387,40546,1234122,493939,26,100
150309,143105,157279,137466,36387,40546,1234122,493939,26,100
314492,47522,53646,87673,45442,18899,1571520,192244,48,66
12230,3336,4243,2003,2401,2014,532571,25944,40,61
24910,93058,39289,26653,16827,18762,909285,691752,20,48
11618,15875,10214,3853,11108,4360,967465,93986,30,20
11618,15875,10214,3853,11108,4360,967465,93986,30,20
9374,29195,39677,14481,10882,5450,2164127,131206,17,29
41045,63936,38012,49629,46336,25634,581756,310598,17,29
41256,75193,93124,111685,40211,42275,1713413,109961,17,29
69863,77752,36645,49366,7237,6993,1040451,190714,17,29
57286,21601,19142,29508,16591,5819,974370,366166,57,50
51057,32612,16228,24104,6267,5620,843473,191615,27,37
51057,32612,16228,24104,6267,5620,843473,191615,27,37
24159,26810,7271,6491,1795,905,611689,144743,23,26
165055,43167,66608,51712,4418,3300,744707,303076,23,26
4144,6211,12572,3535,2210,1767,712373,20568,30,51
16432,15136,4002,6622,7469,1170,586089,27647,34,50
14369,5941,6534,7658,2492,1231,550899,59299,35,48
25562,16146,27820,36006,11348,7023,1066894,314058,29,61
64546,32005,21874,31065,17654,8556,1383859,236132,14,64
20458,27090,15587,9154,3675,1446,1345741,143264,29,77
3895,2923,6830,2422,864,554,229148,22891,30,77
16597,82367,26289,16341,8964,3666,854805,305334,17,40
2712,896,979,1244,661,344,209904,4948,17,40
2712,896,979,1244,661,344,209904,4948,17,40
19694,8473,16356,6726,4553,1806,1297337,100649,23,38
4798,22080,54039,27486,14501,1589,1266232,230463,11,48
74013,39085,22767,24351,5969,11482,2898950,607777,4,34
37477,30579,43590,9673,5137,1384,791957,114726,11,30
37477,30579,43590,9673,5137,1384,791957,114726,11,30
35031,9190,35430,18980,16522,26119,1936762,170132,16,37
35031,9190,35430,18980,16522,26119,1936762,170132,16,37
35031,9190,35430,18980,16522,26119,1936762,170132,16,37
1187,21385,91631,10392,6333,6379,1717765,526796,20,54
5808,7058,1399,1201,1288,978,542595,21556,30,38
5808,7058,1399,1201,1288,978,542595,21556,30,38
5808,7058,1399,1201,1288,978,542595,21556,30,38
30770,31433,21853,6234,3317,2092,1650487,165128,53,38
83519,33231,26455,16046,5258,2645,2127001,83473,51,40
13615,26876,52834,14388,12179,9203,720103,195422,41,44
39182,26049,25439,44001,8694,5311,983535,262148,26,66
39182,26049,25439,44001,8694,5311,983535,262148,26,66
5845,2457,5078,1639,538,491,226413,16251,54,61
38966,8435,3289,5924,1844,2335,828136,23597,70,51
110258,33266,45116,19377,14765,6074,764024,214682,57,43
110258,33266,45116,19377,14765,6074,764024,214682,57,43
71506,72152,48989,25718,5638,7004,302764,215127,44,34
12582,5263,2192,1773,2440,1607,66561,31279,16,17
37088,23650,10732,3603,9585,2613,451019,201574,35,13
27976,20193,4963,4127,2341,7847,1582276,60372,50,47
27976,20193,4963,4127,2341,7847,1582276,60372,50,47
27976,20193,4963,4127,2341,7847,1582276,60372,50,47
27976,20193,4963,4127,2341,7847,1582276,60372,50,47
14270,8377,3672,1838,2095,1813,1248211,58780,41,27
2478,4357,4639,1819,1503,571,72372,59552,38,30
236107,148928,199737,216808,31005,9058,1588404,920573,26,47
146565,49589,58067,71206,39415,25749,2214571,467201,17,35
1444,4567,6522,7804,4296,2877,213117,29279,20,50
130722,31787,127527,94924,22090,6945,855101,440259,17,61
5119,577,5691,1455,1904,982,726738,97610,14,54
5119,577,5691,1455,1904,982,726738,97610,14,54
11038,11753,4820,4431,1580,1488,226651,56705,10,40
63446,74619,124259,55933,16358,6177,1013702,111642,10,40
105150,148591,270192,226118,48546,20988,648561,76485,23,64
5212,8060,7284,6991,4735,4941,97081,25337,35,77
49134,18990,10913,16109,7697,2191,257975,68520,61,66
14755,2736,5588,2955,2154,715,872981,29091,70,64
26446,47968,107040,53142,14136,3354,773137,61494,75,60
