lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,delta,theta,meditation,attention
17303,12315,6802,7195,6560,2519,55233,29527,0,0
13619,20577,26290,27809,8760,3462,601816,139630,0,0
15718,7103,5564,11009,4949,4062,26595,42066,51,75
8866,2986,4007,5531,4055,2123,15008,4707,83,100
26431,8095,8633,13628,3999,3228,14299,16267,100,100
9669,4223,6448,7730,5011,2463,18521,50212,53,56
46568,28619,14031,18181,8220,10099,219640,27851,30,1
15201,57103,28370,15781,11229,4347,789379,715306,67,1
15201,57103,28370,15781,11229,4347,789379,715306,67,1
27918,32220,22905,24122,5255,4209,532701,242103,1,30
16773,7261,12910,7051,4727,2988,343191,48771,21,48
132763,48000,28062,10574,10643,1751,75748,86698,54,44
31891,7915,10330,19527,7703,6217,511823,77484,51,67
121000,75300,40686,23437,31331,9852,1579067,1249424,4,57
121000,75300,40686,23437,31331,9852,1579067,1249424,4,57
33846,24462,52904,12203,15856,3567,375166,142043,29,34
9667,37491,13917,13661,1609,1660,1182534,101083,50,63
47376,52266,47543,10242,6907,2780,196299,104465,63,74
182211,8772,23347,8649,5065,4057,157200,288033,48,37
52550,50003,56447,42513,11123,4075,1807504,247793,38,50
5723,31897,13023,4734,2319,2401,950043,143524,17,23
71826,23696,16904,17061,4003,2830,205862,167535,17,17
13721,7050,5770,4101,7592,1292,891347,23726,37,54
13721,7050,5770,4101,7592,1292,891347,23726,37,54
79351,34255,57131,65358,16625,9172,1520094,267460,41,83
25563,38106,54986,9468,9792,3726,1035694,89908,51,66
25563,38106,54986,9468,9792,3726,1035694,89908,51,66
17754,5029,7105,7857,1613,594,42314,12996,44,56
17754,5029,7105,7857,1613,594,42314,12996,44,56
13686,16751,6836,9744,4726,5908,488122,79772,38,48
7427,36064,12549,7633,8019,1111,1711367,163239,35,61
7427,36064,12549,7633,8019,1111,1711367,163239,35,61
14335,22295,16852,26737,6063,5321,227001,48190,57,54
4974,76164,50639,32830,12280,2142,2099125,125098,66,84
29963,41330,26031,41184,13075,10250,913929,244494,66,77
24671,35391,13046,14303,18306,4793,273143,108701,54,78
24671,35391,13046,14303,18306,4793,273143,108701,54,78
8535,47218,36303,18778,5855,2239,367667,98523,43,66
28403,13308,58679,21565,8538,7643,931305,85611,27,66
39243,19592,5618,21019,7789,7530,49325,25082,26,84
6346,28679,5092,5871,4489,1441,774955,35609,61,93
4226,4875,8440,8006,4452,1950,344339,44651,35,87
12587,13885,5525,9774,2800,1676,828506,28151,47,78
24185,5652,3512,4488,2129,3801,165961,19775,56,83
18019,29968,23664,24645,7303,7559,102600,146680,53,83
34438,30774,46938,28153,18152,14029,1629215,1283159,17,61
120160,9904,43281,41326,25408,3786,671060,378532,24,50
17864,54974,23496,23109,15220,8283,358541,60201,57,88
103180,8190,19904,51025,11197,6667,1244577,498869,57,91
103180,8190,19904,51025,11197,6667,1244577,498869,57,91
12775,40620,29752,15553,24413,8528,68333,26131,54,83
6948,14387,29428,45953,7905,11495,1803174,122919,56,100
43604,31693,20836,18894,18981,15758,462704,186963,23,83
354415,269143,197978,53842,237247,203104,1212343,1359420,38,40
69850,33402,52990,107090,100031,59229,1552566,411092,48,66
69850,33402,52990,107090,100031,59229,1552566,411092,48,66
69850,33402,52990,107090,100031,59229,1552566,411092,48,66
6152,8927,11417,9805,3262,1275,569940,42271,63,94
6152,8927,11417,9805,3262,1275,569940,42271,63,94
6152,8927,11417,9805,3262,1275,569940,42271,63,94
1436,5902,11929,7060,3643,5651,67728,75384,17,64
2486,3134,905,1562,1622,241,43786,5597,16,53
14133,2029,8444,3302,2893,1167,440592,126238,66,44
7808,13028,9778,6549,2936,1684,555992,38562,50,41
76088,49802,34935,17038,12776,6881,850855,353552,41,26
13977,74906,11222,31413,8889,9395,2029129,143276,66,44
2478,15734,11065,4139,1572,1110,217238,20682,75,57
2860,3996,3772,2599,1924,737,124816,47495,43,56
15886,17220,11058,11775,4186,1668,399807,20737,34,63
15886,17220,11058,11775,4186,1668,399807,20737,34,63
20577,7571,5514,9431,3269,1170,1192876,47055,53,63
49951,20750,50813,16470,15030,6446,2082608,400321,37,64
15666,12151,3092,5781,904,552,182194,13891,41,47
5537,27752,10186,7451,3397,2682,229536,119661,48,53
53417,27782,58986,10030,8461,2251,1438761,119875,43,54
7914,3789,5057,3036,2045,718,46428,12886,56,51
19504,9887,8704,37992,14853,4361,347322,54651,63,81
21623,17702,9579,22382,14145,8934,18473,15928,75,100
22701,10612,4622,10739,9426,4815,58649,64253,70,93
22701,10612,4622,10739,9426,4815,58649,64253,70,93
5250,23174,17946,15168,13399,2803,36115,43888,74,69
10340,17186,21131,17015,9249,5613,446812,44480,54,87
10868,2859,7959,5821,6498,2898,397925,10132,60,94
1540,14947,7715,5445,4486,1729,17377,66884,57,64
