lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,delta,theta,poorSignalLevel,meditation,attention
55215,23627,123270,40330,28403,24670,32068,62915,200,0,0
116666,15628,300700,132185,37121,20051,548593,238786,200,0,0
67179,61794,210829,169437,154916,150393,959060,186463,200,0,0
208580,288677,236052,52322,70221,58460,286042,73059,200,0,0
407123,23101,415381,64451,55254,61871,452725,136058,200,0,0
224796,142974,259814,173557,150733,116999,931498,309101,200,0,0
254408,104657,428364,143696,106809,76522,196597,264677,200,0,0
83782,124308,127951,118859,140385,95702,810928,838516,200,0,0
249018,73605,54946,186916,93717,99487,1622381,356890,200,0,0
120805,234553,127282,154358,67242,144998,253222,684921,200,0,0
216179,116343,204823,266769,79231,77893,1309633,343957,200,0,0
135122,115728,85514,141664,71610,73867,430449,265374,200,0,0
108842,166373,257875,144349,119378,61892,710399,541393,200,0,0
186932,246534,90697,177118,76940,123266,565533,533920,200,0,0
67954,39126,409782,76118,37626,90104,385106,74935,200,0,0
119205,25860,136852,87753,136122,75221,88127,139519,200,0,0
1597416,222188,1188171,348560,786207,284617,1607569,1373922,200,0,0
126640,125286,148447,100270,132810,96083,1279722,144716,200,0,0
449165,339872,128796,106632,71776,52050,378151,367041,200,0,0
166972,190547,75151,146539,187861,118047,492528,742085,200,0,0
142382,137919,151130,197681,66715,108310,519658,353292,200,0,0
39335,121422,289748,93047,29487,79198,134534,201654,200,0,0
108120,114778,240612,96350,54011,94311,980557,589863,200,0,0
82009,389761,177271,82029,55181,47801,792358,576599,200,0,0
306304,43726,204864,87348,56351,85157,440629,270189,200,0,0
436516,47087,176628,231912,137332,129622,102603,253778,200,0,0
108357,121283,147125,92695,86852,60421,583270,394331,200,0,0
413396,113976,294146,236874,77772,120870,402309,351798,200,0,0
413396,113976,294146,236874,77772,120870,402309,351798,200,0,0
942399,253226,201420,194096,103102,172815,374682,198717,200,0,0
188213,62739,102717,106215,94160,98669,1460431,234887,200,0,0
197621,188523,229332,108272,92758,26237,420243,790211,200,0,0
138082,272954,145597,150248,74692,147861,510708,403925,200,0,0
239875,29234,329926,133672,128632,47787,188303,361725,200,0,0
22756,73872,128520,219568,75602,38911,611169,357797,200,0,0
87761,93851,289706,252803,41815,58811,256917,302081,200,0,0
73293,167334,211638,98297,74040,79406,266532,700470,200,0,0
143306,186089,71998,106209,117056,69964,585591,505072,200,0,0
111396,144026,214992,156502,79043,82361,742421,293001,200,0,0
392611,215503,192310,79039,57229,48963,471497,883832,200,0,0
228528,129911,236102,78434,122610,138296,593174,272635,200,0,0
135246,54851,130793,124006,105567,130981,1003467,858210,200,0,0
198664,127242,249232,141830,223157,217027,375852,424903,200,0,0
31073,17590,40591,21397,28809,13863,575959,106889,200,0,0
124413,82482,210835,87784,65444,72216,1031129,727933,200,0,0
79803,83192,105354,101292,92948,124871,650836,393456,200,0,0
