raw_data,attention
-123,0
-60,0
-33,0
-57,0
-57,0
36,0
42,0
-89,0
-92,0
-73,0
-60,0
-109,0
-90,0
-82,0
-43,0
-104,0
-59,0
41,0
-11,0
-18,0
-24,0
48,0
-10,0
-5,0
57,0
-19,0
-27,0
-26,0
26,0
-43,0
-38,0
26,0
73,0
29,0
86,0
82,0
120,0
22,0
49,0
5,0
55,0
22,0
37,0
92,0
-38,0
-10,0
73,0
-45,0
-57,0
11,0
123,0
71,0
5,0
89,0
74,0
17,0
-24,0
-2,0
58,0
83,0
41,0
150,0
45,0
17,0
97,0
66,0
-42,0
55,0
114,0
103,0
32,0
114,0
133,0
54,0
-13,0
145,0
44,0
-1,0
52,0
-51,0
-20,0
-42,0
-50,0
-59,0
-27,0
-44,0
-50,0
-29,0
71,0
-33,0
25,0
35,0
50,0
-20,0
-56,0
26,0
10,0
-1,0
133,0
197,0
182,0
187,0
18,0
6,0
-52,0
-169,0
-99,0
-34,0
-141,0
-168,0
29,0
-88,0
37,0
-1,0
50,0
0,0
20,0
104,0
27,0
20,0
55,0
69,0
114,0
73,0
99,0
-36,0
60,0
10,0
-25,0
22,0
-59,0
-19,0
144,0
17,0
152,0
195,0
150,0
72,0
75,0
320,0
374,0
326,0
333,0
217,0
108,0
57,0
-4,0
32,0
-59,0
27,0
-142,0
-147,0
-172,0
-197,0
-164,0
-106,0
-61,0
13,0
-49,0
-54,0
6,0
148,0
60,0
91,0
130,0
195,0
132,0
170,0
230,0
162,0
176,0
103,0
64,0
156,0
91,0
-10,0
-11,0
-102,0
26,0
-77,0
-34,0
-30,0
-5,0
-65,0
-7,0
65,0
56,0
121,0
27,0
60,0
205,0
167,0
129,0
96,0
74,0
11,0
92,0
99,0
192,0
139,0
192,0
76,0
114,0
100,0
42,0
-25,0
58,0
41,0
3,0
71,0
40,0
5,0
-49,0
42,0
75,0
-36,0
9,0
-50,0
-101,0
-55,0
-85,0
-125,0
-43,0
-33,0
-53,0
-8,0
35,0
60,0
22,0
34,0
130,0
148,0
57,0
96,0
86,0
2,0
34,0
117,0
41,0
26,0
12,0
-23,0
-12,0
-30,0
-55,0
-51,0
-37,0
-28,0
-13,0
-1,0
96,0
65,0
-35,0
8,0
57,0
24,0
36,0
114,0
149,0
116,0
116,0
74,0
183,0
215,0
160,0
96,61
-17,61
-84,61
-55,61
-18,61
-14,61
-13,61
-29,61
-5,61
6,61
-20,61
86,61
58,61
25,61
27,61
56,61
69,61
105,61
99,61
73,61
105,61
129,61
99,61
54,61
21,61
18,61
29,61
-23,61
-20,61
70,61
41,61
-66,61
-12,61
11,61
-7,61
-14,61
-9,61
70,61
71,61
37,61
67,61
77,61
101,61
72,61
55,61
92,61
182,61
248,61
199,61
138,61
179,61
155,61
-114,61
-49,61
-2,61
-2,61
39,61
38,61
58,61
58,61
34,61
26,61
41,61
48,61
41,61
-11,61
-38,61
-7,61
-6,61
-8,61
-27,61
-45,61
22,61
-6,61
-10,61
-27,61
-1,61
41,61
36,61
21,61
-3,61
42,61
27,61
38,61
81,61
40,61
3,61
41,61
24,61
-30,61
3,61
81,61
18,61
97,61
84,61
48,61
68,61
27,61
2,61
44,61
44,61
43,61
120,61
150,61
93,61
114,61
96,61
-67,61
-13,61
-21,61
-22,61
-8,61
-27,61
4,61
-9,61
-3,61
17,61
-22,61
-29,61
-6,61
-20,61
-103,61
-119,61
-78,61
-5,61
-21,61
-9,61
-36,61
-54,61
-99,61
-109,61
-85,61
-58,61
-39,61
-97,61
-108,61
-108,61
115,61
80,61
33,61
42,61
-2,61
11,61
50,61
37,61
25,61
57,61
28,61
39,61
60,61
76,61
121,61
135,61
-2,61
6,61
73,61
25,61
-13,61
92,61
40,61
-20,61
-10,61
-70,61
-60,61
-76,61
-74,61
-70,61
-68,61
-37,61
-19,61
-36,61
-33,61
-97,61
-131,61
-117,61
-89,61
-70,61
-66,61
-41,61
2,61
2,61
22,61
40,61
72,61
77,61
65,61
2,61
60,61
81,61
61,61
55,61
84,61
84,61
106,61
59,61
80,61
138,61
107,61
135,61
130,61
65,61
59,61
-28,61
1,61
52,61
81,61
165,61
189,61
210,61
130,61
113,61
51,61
60,61
64,61
56,61
86,61
59,61
85,61
89,61
104,61
67,61
44,61
16,61
6,61
-2,61
-28,61
-59,61
-101,61
-11,61
10,61
-122,61
36,61
80,61
103,61
88,61
102,61
101,61
108,61
114,61
70,61
68,61
80,61
-52,61
-41,61
-94,61
-75,61
-139,61
-98,61
-46,61
-56,61
-92,61
-156,61
-92,61
35,61
-110,61
-98,61
-81,61
-132,61
-56,61
-20,61
24,61
23,61
22,61
-24,61
1,61
26,61
108,61
172,61
114,61
9,61
37,61
19,61
-13,61
-56,61
-19,61
-8,61
-59,61
-55,61
-44,61
12,61
1,61
-56,61
28,61
-2,61
18,61
4,61
-30,61
19,61
-21,61
23,61
58,61
96,61
97,61
73,61
61,61
58,61
-35,61
86,61
10,61
-35,61
2,61
-3,61
-20,61
13,61
16,61
16,61
56,61
-10,61
48,61
67,61
91,61
36,61
184,61
75,61
100,61
133,61
148,61
105,61
128,61
104,61
118,61
61,61
96,61
124,61
39,61
119,61
86,61
48,61
59,61
146,61
82,61
-76,61
-20,61
29,61
16,61
13,61
39,61
35,61
89,61
123,61
117,61
179,61
147,61
