raw_data,attention
42,83
25,83
40,83
72,83
56,83
100,83
108,83
54,83
68,83
93,83
89,83
35,83
81,83
65,83
53,83
36,83
9,83
29,83
41,83
20,83
-21,83
-39,83
-36,83
12,83
54,83
36,83
-17,83
4,83
39,83
8,83
24,83
16,83
23,83
6,83
-45,83
-29,83
-18,83
-59,83
-21,83
-17,83
26,83
37,83
19,83
9,83
21,83
-59,83
-36,83
25,83
36,83
71,83
45,83
67,83
134,83
93,83
34,83
32,83
72,83
132,83
123,83
169,83
170,83
157,83
113,83
82,83
68,83
97,83
105,83
109,83
-6,83
21,83
-6,83
-53,83
-66,83
-116,83
-69,83
-28,83
11,83
12,83
69,83
96,83
56,83
45,83
44,83
80,83
59,83
73,83
88,83
70,83
36,83
21,83
-4,83
-13,83
22,83
82,83
71,83
-1,83
56,83
42,83
-13,83
17,83
52,83
65,83
86,83
-103,83
-87,83
-54,83
-71,83
-99,83
-66,83
-98,83
-77,83
-66,83
-27,83
27,83
12,83
-29,83
-39,83
-83,83
-69,83
-54,83
-59,83
-17,83
-13,83
4,83
-22,83
-1,83
5,83
-35,56
-53,56
6,56
-136,56
-121,56
-68,56
-77,56
-8,56
21,56
36,56
67,56
120,56
160,56
155,56
144,56
115,56
107,56
139,56
155,56
197,56
231,56
178,56
166,56
178,56
57,56
24,56
32,56
19,56
-18,56
-29,56
34,56
20,56
40,56
112,56
89,56
42,56
58,56
122,56
26,56
29,56
5,56
68,56
69,56
88,56
55,56
55,56
60,56
52,56
16,56
2,56
27,56
6,56
-25,56
3,56
10,56
-41,56
10,56
13,56
-24,56
-35,56
-62,56
-58,56
-13,56
2,56
34,56
51,56
48,56
51,56
-23,56
-9,56
0,56
34,56
40,56
91,56
112,56
91,56
112,56
80,56
70,56
82,56
102,56
74,56
113,56
129,56
93,56
116,56
73,56
43,56
24,56
-21,56
-6,56
32,56
21,56
18,56
37,56
29,56
10,56
-53,56
43,56
45,56
72,56
36,56
45,56
52,56
100,56
72,56
83,56
73,56
82,56
51,56
40,56
77,56
82,56
64,56
67,56
67,56
40,56
8,56
18,56
33,56
25,56
-33,56
34,56
23,56
-12,56
38,56
60,56
65,56
27,56
12,56
-7,56
-24,56
-5,56
85,56
106,56
167,56
108,56
37,56
33,56
88,56
83,56
82,56
65,56
53,56
54,56
34,56
-14,56
41,56
76,56
43,56
50,56
87,56
81,56
41,56
-51,56
-26,56
-36,56
-11,56
-41,56
-53,56
-4,56
-25,56
36,56
102,56
93,56
64,56
96,56
113,56
56,56
27,56
36,56
48,56
98,56
27,56
13,56
53,56
54,56
28,56
4,56
0,56
-17,56
-42,56
12,56
11,56
59,56
66,56
76,56
106,56
37,56
114,56
154,56
116,56
89,56
134,56
92,56
139,56
69,56
18,56
11,56
37,56
67,56
137,56
176,56
197,56
162,56
148,56
119,56
72,56
33,56
56,56
82,56
92,56
50,56
33,56
2,56
-81,56
4,56
-3,56
18,56
43,56
-14,56
5,56
67,56
28,56
84,56
89,56
51,56
9,56
-19,56
-77,56
-49,56
-29,56
-26,56
25,56
113,56
169,56
140,56
138,56
117,56
91,56
40,56
22,56
23,56
48,56
27,56
114,56
105,56
66,56
69,56
74,56
10,56
-17,56
7,56
-9,56
-8,56
-11,56
-37,56
-43,56
-86,56
-108,56
-107,56
-89,56
-49,56
-19,56
17,56
18,56
74,56
66,56
117,56
96,56
103,56
54,56
11,56
-57,56
-46,56
-35,56
-24,56
-35,56
-57,56
-108,56
-33,56
-37,56
-9,56
3,56
60,56
51,56
43,56
68,56
92,56
121,56
106,56
89,56
99,56
80,56
57,56
87,56
124,56
82,56
51,56
86,56
68,56
85,56
87,56
121,56
119,56
124,56
133,56
121,56
69,56
66,56
32,56
51,56
8,56
4,56
-1,56
9,56
16,56
49,56
32,56
43,56
82,56
48,56
11,56
1,56
6,56
-1,56
12,56
106,56
91,56
9,56
73,56
84,56
17,56
40,56
23,56
-81,56
-129,56
-140,56
-168,56
-130,56
-94,56
-135,56
-109,56
-33,56
-17,56
82,56
53,56
32,56
64,56
43,56
66,56
97,56
89,56
42,56
-21,56
-42,56
-17,56
36,56
-20,56
16,56
41,56
5,56
77,56
42,56
48,56
68,56
52,56
-17,56
9,56
12,56
61,56
34,56
0,56
-2,56
-39,56
72,56
-1,56
20,56
81,56
72,56
74,56
85,56
73,56
92,56
97,56
141,56
156,56
131,56
69,56
54,56
75,56
74,56
125,56
170,75
141,75
129,75
115,75
122,75
80,75
85,75
65,75
34,75
101,75
56,75
37,75
56,75
48,75
60,75
109,75
130,75
123,75
93,75
72,75
85,75
128,75
74,75
156,75
140,75
154,75
163,75
197,75
149,75
122,75
98,75
102,75
124,75
122,75
141,75
187,75
123,75
115,75
204,75
167,75
72,75
71,75
118,75
87,75
-5,75
-11,75
-36,75
-7,75
-35,75
-23,75
8,75
61,75
23,75
50,75
85,75
32,75
68,75
52,75
25,75
23,75
26,75
64,75
109,75
108,75
130,75
125,75
115,75
112,75
93,75
37,75
101,75
105,75
71,75
54,75
64,75
57,75
12,75
23,75
-8,75
-39,75
21,75
44,75
41,75
3,75
44,75
75,75
64,75
53,75
66,75
97,75
-5,75
59,75
28,75
44,75
56,75
56,75
36,75
56,75
17,75
35,75
87,75
125,75
89,75
33,75
91,75
104,75
75,75
122,75
-9,75
-25,75
-20,75
-28,75
12,75
12,75
-10,75
-44,75
-82,75
-69,75
-121,75
-54,75
-35,75
-76,75
-59,75
-59,75
-55,75
-21,75
-36,75
-10,75
10,75
38,75
53,75
44,75
38,75
49,75
16,75
-23,75
1,75
42,75
49,75
102,75
77,75
41,75
65,75
74,75
59,75
102,75
131,75
150,75
139,75
118,75
106,75
75,75
7,75
-3,75
-51,75
-35,75
4,75
23,75
18,75
-14,75
-60,75
1,75
5,75
53,75
84,75
87,75
50,75
65,75
67,75
37,75
27,75
65,75
42,75
39,75
9,75
64,75
85,75
77,75
114,75
35,75
36,75
76,75
103,75
164,75
124,75
97,75
99,75
35,75
54,75
36,75
67,75
57,75
51,75
70,75
67,75
57,75
48,75
89,75
54,75
64,75
108,75
77,75
60,75
66,75
24,75
61,75
58,75
37,75
33,75
54,75
72,75
53,75
70,75
72,75
96,75
80,75
93,75
54,75
51,75
53,75
56,75
19,75
5,75
-45,75
-13,75
21,75
41,75
76,75
43,75
21,75
73,75
51,75
52,75
67,75
113,75
140,75
90,75
38,75
66,75
93,75
117,75
97,75
71,75
56,75
45,75
26,75
-19,75
-5,75
21,75
28,75
-24,75
-20,75
-19,75
-28,75
-33,75
-10,75
-44,75
-89,75
-90,75
-45,75
-71,75
-35,75
27,75
49,75
8,75
70,75
64,75
-10,75
32,75
49,75
23,75
32,75
9,75
21,75
0,75
-19,75
-40,75
-28,75
22,75
33,75
86,75
85,75
76,75
123,75
108,75
120,75
92,75
136,75
170,75
141,75
93,75
61,75
103,75
68,75
61,75
71,75
45,75
40,75
42,75
91,75
115,75
69,75
55,75
83,75
55,75
35,75
44,75
83,75
86,75
72,75
138,75
75,75
88,75
57,75
64,75
57,75
64,75
85,75
101,75
55,75
59,75
52,75
119,75
136,75
140,75
164,75
155,75
96,75
118,75
97,75
65,75
87,75
35,75
41,75
39,75
27,75
11,75
5,75
-41,75
-53,75
-28,75
-41,75
-19,75
-3,75
-37,75
-9,75
5,75
21,75
60,75
39,75
-23,75
18,75
-1,75
3,75
0,75
13,75
-43,75
-66,75
-17,75
-66,75
-13,75
-8,75
53,75
76,75
81,75
76,75
106,75
83,75
50,75
37,75
9,75
10,75
-4,75
-1,75
-1,75
71,75
76,75
96,75
84,75
73,75
53,75
38,75
-20,75
-22,75
22,75
102,75
60,75
74,75
44,75
-5,75
-22,75
39,75
69,75
87,75
58,75
-1,75
8,75
-7,75
-24,75
39,75
84,75
87,75
74,75
83,75
56,75
-24,75
5,75
-11,75
-37,75
-59,75
-83,75
-49,75
-51,75
-87,75
-19,75
-19,75
-7,75
82,75
56,75
69,75
85,75
65,75
55,75
40,75
27,75
51,75
58,75
65,75
37,75
40,75
40,75
42,75
65,75
49,75
42,75
44,75
116,75
162,75
161,75
87,75
32,75
57,75
35,75
-11,75
10,75
35,75
44,75
98,75
128,75
155,75
96,75
67,75
40,75
37,75
0,75
36,75
33,75
-1,75
8,75
39,75
2,75
66,75
104,75
54,75
53,75
72,75
52,75
-24,75
-18,75
-39,75
20,75
6,75
-11,75
-21,75
3,75
45,75
58,75
91,75
136,75
138,75
119,75
88,75
102,75
113,75
77,75
33,75
-6,75
-9,75
-44,75
-81,75
-33,75
-18,75
-33,66
-34,66
-7,66
-49,66
-33,66
-10,66
28,66
64,66
27,66
45,66
84,66
86,66
84,66
98,66
69,66
17,66
-1,66
-12,66
5,66
-20,66
1,66
-18,66
-4,66
26,66
32,66
52,66
44,66
53,66
69,66
41,66
27,66
35,66
67,66
53,66
107,66
54,66
40,66
60,66
48,66
65,66
83,66
67,66
74,66
102,66
106,66
115,66
155,66
99,66
73,66
52,66
-27,66
-2,66
40,66
32,66
36,66
19,66
-30,66
17,66
0,66
-9,66
-25,66
-52,66
-85,66
-77,66
-59,66
-33,66
-71,66
-57,66
-66,66
-83,66
-8,66
-25,66
-60,66
36,66
48,66
67,66
54,66
50,66
83,66
4,66
-9,66
-36,66
-2,66
-44,66
-2,66
52,66
92,66
100,66
97,66
28,66
27,66
20,66
53,66
36,66
51,66
103,66
84,66
70,66
61,66
12,66
-2,66
-4,66
24,66
20,66
4,66
34,66
23,66
2,66
-11,66
10,66
6,66
17,66
45,66
66,66
64,66
-1,66
10,66
0,66
-1,66
122,66
105,66
108,66
133,66
108,66
66,66
58,66
48,66
18,66
42,66
6,66
44,66
69,66
26,66
33,66
57,66
73,66
48,66
108,66
135,66
131,66
115,66
61,66
52,66
65,66
33,66
131,66
133,66
162,66
172,66
5,66
35,66
8,66
25,66
82,66
42,66
2,66
22,66
66,66
69,66
73,66
49,66
58,66
57,66
70,66
38,66
57,66
91,66
114,66
49,66
29,66
34,66
64,66
56,66
92,66
48,66
75,66
80,66
42,66
45,66
101,66
61,66
60,66
97,66
-12,66
-6,66
-28,66
-9,66
85,66
49,66
35,66
49,66
37,66
55,66
73,66
81,66
59,66
19,66
7,66
4,66
-6,66
-9,66
24,66
-7,66
-14,66
-22,66
-11,66
-12,66
18,66
-5,66
42,66
86,66
60,66
27,66
57,66
-26,66
2,66
35,66
93,66
81,66
18,66
2,66
20,66
56,66
112,66
124,66
105,66
106,66
74,66
83,66
176,66
125,66
146,66
152,66
184,66
156,66
133,66
166,66
134,66
91,66
123,66
113,66
66,66
66,66
84,66
44,66
-8,66
9,66
-50,66
84,66
54,66
39,66
41,66
49,66
19,66
18,66
3,66
36,66
40,66
58,66
65,66
84,66
128,66
136,66
170,66
203,66
138,66
152,66
120,66
109,66
100,66
38,66
72,66
64,66
0,66
-26,66
-29,66
-91,66
-114,66
-2,66
-17,66
37,66
59,66
42,66
26,66
32,66
77,66
75,66
80,66
84,66
71,66
28,66
28,66
61,66
54,66
33,66
37,66
17,66
-39,66
-33,66
-13,66
-50,66
12,66
-18,66
-17,66
45,66
59,66
65,66
50,66
22,66
77,66
29,66
39,66
69,66
-3,66
32,66
25,66
21,66
3,66
45,66
12,66
-7,66
-1,66
25,66
-29,66
-28,66
55,66
-2,66
-52,66
-22,66
4,66
-7,66
25,66
71,66
96,66
65,66
51,66
53,66
59,66
37,66
55,66
40,66
24,66
49,66
84,66
77,66
32,66
2,66
-56,66
-55,66
-58,66
