raw_data,attention
67,0
5,0
5,0
48,0
43,0
70,0
130,0
118,0
107,0
76,0
53,0
37,0
72,0
70,0
39,0
16,0
17,0
19,0
11,0
6,0
112,0
97,0
115,0
156,0
107,0
104,0
73,0
45,0
55,0
27,0
53,0
39,0
45,0
24,0
34,0
0,0
76,0
105,0
69,0
84,0
83,0
21,0
24,0
21,0
38,0
16,0
11,0
82,0
68,0
12,0
-5,0
90,0
107,0
28,0
-6,0
-52,0
-41,0
2,0
-20,0
21,0
57,0
9,0
-54,0
2,0
59,0
-6,0
18,0
65,0
73,0
84,0
59,0
82,0
67,0
45,0
107,0
0,0
67,0
89,0
61,0
119,0
39,0
59,0
88,0
123,0
93,0
112,0
112,0
66,0
105,0
91,0
104,0
92,0
45,0
74,0
4,0
-8,0
-9,0
-13,0
-20,0
6,0
40,0
53,0
44,0
19,0
42,0
34,0
0,0
6,0
-38,0
-25,0
-22,0
-41,0
-28,0
-18,0
-3,0
-22,0
-9,0
-1,0
5,0
44,0
20,0
-62,0
-65,0
-61,0
-29,0
-67,0
-50,0
-3,0
33,0
-3,0
11,0
70,0
96,0
67,0
73,0
90,0
69,0
75,0
0,0
3,0
34,0
66,0
128,0
179,0
140,0
131,0
165,0
104,0
59,0
123,0
102,0
34,0
-9,0
28,0
17,0
-4,0
12,0
40,0
60,0
35,0
24,0
-7,0
4,0
2,0
-9,0
-9,0
-5,0
7,0
20,0
108,0
131,0
83,0
72,0
84,0
16,0
49,0
66,0
124,0
83,0
69,0
92,0
72,0
59,0
51,0
0,0
71,0
0,0
-9,0
11,0
42,0
91,0
71,0
4,0
33,0
-34,0
-45,0
-20,0
-40,0
25,0
41,0
18,0
-8,0
43,0
68,0
28,0
83,0
-28,0
-13,0
50,0
-6,0
-29,0
12,0
-9,0
-14,0
-89,0
-40,0
-69,0
-65,0
-78,0
-97,0
-41,0
-27,0
-82,0
-73,0
-57,0
-66,0
-7,0
10,0
-10,0
-38,0
-20,0
34,0
37,0
27,0
5,0
8,0
33,0
-8,0
-11,0
64,0
88,0
99,0
81,0
112,0
67,0
109,0
134,0
102,0
120,0
134,0
80,0
92,0
55,0
108,0
88,0
91,0
11,0
39,0
20,0
27,0
83,0
90,0
65,0
74,0
67,0
87,0
16,0
88,0
102,0
40,0
42,0
71,0
102,0
43,0
67,0
25,0
22,0
-25,0
-45,0
-71,0
-42,0
68,0
90,0
89,0
118,0
146,0
100,0
264,0
321,0
251,0
387,0
426,0
405,0
406,0
425,0
458,0
432,0
420,0
-53,0
-54,0
-24,0
-33,0
-14,0
10,0
-23,0
-9,0
16,0
-4,0
3,0
17,0
18,0
-9,0
35,64
25,64
10,64
27,64
22,64
-3,64
34,64
17,64
7,64
28,64
42,64
52,64
57,64
10,64
36,64
18,64
42,64
99,64
148,64
202,64
165,64
160,64
121,64
80,64
103,64
86,64
98,64
114,64
60,64
92,64
84,64
72,64
71,64
61,64
49,64
42,64
36,64
64,64
6,64
-34,64
5,64
-30,64
-25,64
27,64
9,64
-50,64
20,64
-38,64
-25,64
19,64
42,64
20,64
12,64
12,64
22,64
33,64
-20,64
-27,64
23,64
21,64
16,64
19,64
24,64
19,64
18,64
-12,64
58,64
37,64
73,64
73,64
57,64
102,64
29,64
50,64
-10,64
38,64
41,64
43,64
48,64
82,64
5,64
-19,64
-25,64
16,64
8,64
52,64
102,64
103,64
84,64
72,64
103,64
58,64
83,64
85,64
100,64
52,64
11,64
28,64
76,64
74,64
55,64
71,64
80,64
93,64
89,64
146,64
185,64
138,64
133,64
105,64
149,64
152,64
145,64
82,64
32,64
8,64
-13,64
18,64
6,64
32,64
58,64
41,64
17,64
23,64
72,64
27,64
-1,64
19,64
90,64
105,64
68,64
76,64
93,64
32,64
48,64
68,64
67,64
76,64
61,64
50,64
32,64
3,64
32,64
18,64
7,64
19,64
9,64
-37,64
-11,64
-7,64
-23,64
-29,64
-19,64
-43,64
-43,64
-12,64
-55,64
16,64
-1,64
69,64
85,64
52,64
12,64
-22,64
-55,64
-54,64
-38,64
26,64
32,64
16,64
71,64
58,64
23,64
5,64
40,64
83,64
81,64
57,64
77,64
88,64
18,64
-4,64
37,64
-3,64
-17,64
0,64
-10,64
9,64
25,64
86,64
119,64
103,64
42,64
24,64
24,64
28,64
59,64
100,64
99,64
74,64
99,64
102,64
84,64
80,64
120,64
122,64
91,64
59,64
32,64
-13,64
-11,64
-10,64
-62,64
-71,64
-50,64
-27,64
-20,64
6,64
52,64
22,64
-14,64
-10,64
37,64
26,64
64,64
60,64
2,64
21,64
88,64
68,64
84,64
64,64
130,64
133,64
97,64
97,64
53,64
44,64
34,64
37,64
-3,64
-12,64
-8,64
7,64
-33,64
-5,64
-12,64
-23,64
-42,64
25,64
60,64
17,64
40,64
41,64
0,64
19,64
54,64
43,64
51,64
44,64
16,64
21,64
70,64
43,64
6,64
5,64
28,64
18,64
83,64
76,64
58,64
88,64
64,64
49,64
97,64
