raw_data,attention
108,34
-11,34
135,34
-35,34
16,34
74,34
-89,34
55,34
-36,34
-6,34
123,34
-53,34
114,34
55,34
-21,34
135,34
-35,34
44,34
49,34
-72,34
113,34
-18,34
-9,34
68,34
-83,34
87,34
27,34
-24,34
85,34
-65,34
80,34
39,34
-26,34
113,34
-6,34
73,34
50,34
-60,34
112,34
-45,34
-3,34
113,34
-49,34
101,34
17,34
-9,34
144,34
1,34
108,34
39,34
-37,34
119,34
-21,34
64,34
70,34
-50,34
133,34
2,34
20,34
76,34
-89,34
81,34
-2,34
-49,34
69,34
-67,34
73,34
80,34
-45,34
59,34
-34,34
92,34
49,34
-61,34
186,34
26,34
43,34
81,34
-73,34
80,34
-21,34
-60,34
100,34
-57,34
90,34
3,34
-97,34
87,34
-49,34
26,34
39,34
-61,34
101,34
12,34
21,34
113,34
-51,34
135,34
48,34
-27,34
115,34
-65,34
67,34
56,34
-28,34
155,34
-18,34
52,34
106,34
-53,34
82,34
1,34
8,34
112,34
-74,34
87,34
6,34
-43,34
123,34
-38,34
90,34
77,34
-19,34
139,34
-12,34
64,34
73,34
-62,34
128,34
68,34
44,34
92,34
-19,34
121,34
76,34
12,34
147,34
-8,34
102,34
101,34
-38,34
97,34
-9,34
36,34
117,34
-75,34
66,34
0,34
11,34
116,34
-53,34
91,34
18,34
-59,34
91,34
-85,34
97,51
-43,51
60,51
57,51
-51,51
112,51
-27,51
41,51
151,51
-44,51
156,51
53,51
12,51
171,51
-27,51
84,51
54,51
-58,51
119,51
-5,51
60,51
50,51
-61,51
132,51
17,51
8,51
89,51
-70,51
87,51
34,51
-20,51
121,51
-44,51
50,51
72,51
-43,51
122,51
-4,51
20,51
102,51
-54,51
98,51
9,51
38,51
123,51
-44,51
109,51
39,51
-7,51
114,51
-50,51
89,51
71,51
-24,51
118,51
-25,51
28,51
69,51
-81,51
87,51
18,51
21,51
76,51
-43,51
96,51
17,51
-22,51
124,51
-22,51
42,51
88,51
-55,51
74,51
-41,51
28,51
119,51
-50,51
155,51
36,51
-3,51
92,51
-46,51
72,51
12,51
-58,51
104,51
-23,51
69,51
38,51
-20,51
137,51
5,51
61,51
51,51
-55,51
123,51
0,51
5,51
103,51
-61,51
74,51
52,51
-30,51
100,51
-27,51
68,51
85,51
-40,51
101,51
11,51
41,51
93,51
-70,51
107,51
22,51
1,51
151,51
-36,51
84,51
44,51
-20,51
125,51
-22,51
43,51
52,51
-56,51
107,51
-1,51
38,51
84,51
