raw_data,attention
41,0
64,0
72,0
26,0
50,0
74,0
73,0
59,0
81,0
84,0
57,0
11,0
25,0
64,0
73,0
91,0
64,0
69,0
124,0
49,0
34,0
68,0
-181,0
-369,0
-630,0
-647,0
-501,0
-299,0
-130,0
-14,0
66,0
101,0
116,0
101,0
201,0
325,0
183,0
131,0
217,0
168,0
189,0
160,0
153,0
189,51
205,51
146,51
70,51
-268,51
-339,51
-385,51
-292,51
-313,51
-357,51
-234,51
87,51
129,51
167,51
260,51
390,51
441,51
405,51
357,51
404,51
409,51
429,51
470,51
432,51
389,51
421,51
309,51
84,51
-136,51
-202,51
-375,51
-454,51
-409,51
-553,51
-555,51
-361,51
-280,51
-181,51
19,51
113,51
144,51
354,51
310,51
294,51
202,51
179,51
262,51
298,51
258,51
251,51
221,51
242,51
217,51
211,51
221,51
172,51
-27,51
-130,51
-332,51
-555,51
-845,51
-963,51
-1029,51
-953,51
-914,51
-841,51
-606,51
-550,51
-445,51
-221,51
-27,51
168,51
177,51
112,51
21,51
-140,51
-291,51
-420,51
-398,51
-365,51
-362,51
-427,51
-539,51
-651,51
-724,51
-595,51
-441,51
-290,51
-180,51
-109,51
-28,51
10,51
84,51
162,51
202,51
211,51
192,51
219,51
216,51
195,51
185,51
179,51
197,51
221,51
217,51
204,51
226,51
293,51
299,51
317,51
321,51
309,51
308,51
330,51
299,51
306,51
289,51
248,51
216,51
208,51
138,51
116,51
98,51
57,51
57,51
89,51
99,51
80,51
-9,51
-26,51
-3,51
-26,51
-25,51
34,51
86,51
152,51
195,51
138,51
100,51
104,51
135,51
101,51
84,51
106,51
149,51
165,51
147,51
144,51
152,51
119,51
69,51
17,51
-56,51
-140,51
-164,51
-161,51
-147,51
-194,51
-202,51
-161,51
-171,51
-179,51
-198,51
-234,51
-265,51
-355,51
-358,51
-306,51
-263,51
-236,51
-188,51
-185,51
-163,51
-83,51
-12,51
4,51
16,51
93,51
91,51
50,51
74,51
53,51
76,51
104,51
60,51
49,51
64,51
72,51
80,51
58,51
-24,51
-58,51
-104,51
-194,51
-269,51
-292,51
-305,51
-283,51
-230,51
-196,51
-200,51
-150,51
-89,51
-75,51
-66,51
19,51
41,51
48,51
50,51
82,51
96,51
140,51
186,51
176,51
172,51
171,51
218,51
179,51
153,51
147,51
130,51
97,51
112,51
130,51
113,51
107,51
75,51
-108,51
-341,51
-457,51
-147,51
-130,51
-124,51
-61,51
-17,51
-10,51
-65,51
-77,51
17,51
50,51
66,51
