raw_data,attention
-51,43
-19,43
5,43
21,43
-25,43
-137,43
-72,43
-27,43
-9,43
-54,43
-37,43
-11,43
-3,43
125,43
119,43
118,43
-5,43
20,43
2,43
-92,43
-121,43
-100,43
-121,43
20,43
100,43
50,43
25,43
130,43
138,43
44,43
6,43
-8,43
58,43
17,43
49,43
87,43
38,43
-41,43
-21,43
99,43
145,43
176,43
171,43
80,43
86,43
176,43
188,43
171,43
186,43
219,43
155,43
137,43
129,43
128,43
164,43
147,43
98,43
74,43
13,43
57,43
75,43
86,43
98,43
51,43
4,43
-1,43
23,43
92,43
116,43
154,43
171,43
140,43
73,43
11,43
107,43
118,43
41,43
44,43
53,43
87,43
76,43
35,43
7,43
27,43
-44,43
-114,43
149,43
117,43
68,43
57,43
77,43
177,43
161,43
210,43
182,43
243,43
234,43
187,43
225,43
247,43
163,43
154,43
211,43
195,43
180,43
187,43
130,43
116,43
133,43
167,43
139,43
186,43
169,43
130,43
104,43
17,43
107,43
122,43
147,43
69,43
108,43
117,43
1,43
5,43
-5,43
23,43
101,43
84,43
83,43
167,43
97,43
43,43
49,43
54,43
7,43
64,43
74,43
41,43
119,43
97,43
43,43
20,43
38,43
-2,43
-34,43
-34,43
-89,43
-74,43
-11,43
-51,43
-40,43
68,43
-52,43
-28,43
-11,43
1,43
-6,43
29,43
29,43
1,43
16,43
-18,43
17,43
92,43
69,43
40,43
74,43
115,43
55,43
6,43
8,43
22,43
48,43
85,43
34,43
61,43
5,43
-76,43
0,43
11,43
-5,43
85,43
43,43
57,43
52,43
117,43
148,43
113,43
97,43
135,43
135,43
113,43
124,43
107,43
116,43
59,43
87,43
85,43
32,43
27,43
7,43
51,43
61,43
28,43
66,43
59,43
24,43
-6,43
37,43
26,43
40,43
41,43
73,43
56,43
17,43
67,43
80,43
52,43
-23,43
72,43
109,43
17,43
43,43
71,43
91,43
68,43
52,43
4,43
43,43
75,43
55,43
52,43
69,43
71,43
37,43
73,43
90,43
54,43
68,43
66,43
10,43
-2,43
18,43
11,43
112,43
80,43
105,43
-3,43
42,43
20,43
-33,43
-86,43
-21,43
10,43
-19,43
-38,43
64,43
36,43
28,43
39,43
57,43
49,43
25,43
12,43
60,43
93,43
76,43
-30,43
35,43
-19,43
-5,43
86,43
26,43
-24,43
72,43
112,43
36,43
4,43
5,43
77,43
-36,43
-55,43
2,43
36,43
20,43
34,43
52,43
26,43
-4,43
-9,43
65,43
23,43
86,43
181,43
154,43
99,43
74,43
73,43
48,43
-11,43
87,43
51,43
-3,43
-60,43
-24,43
-4,43
-52,43
-115,43
-133,43
57,43
105,43
85,43
103,43
115,43
116,43
103,43
72,43
114,43
171,43
104,43
85,43
153,43
86,43
77,43
135,43
65,43
34,43
108,43
132,43
128,43
123,43
92,43
35,43
42,43
105,43
198,43
152,43
108,43
115,43
-26,43
-26,43
3,43
28,43
-14,43
17,43
7,43
37,43
1,43
-10,43
-1,43
-58,43
-57,43
-75,43
-82,43
18,43
-33,43
-88,43
-102,43
-68,43
-7,43
-36,43
7,43
37,43
18,43
-58,43
-23,43
116,43
169,43
75,43
99,43
92,43
-8,43
-45,43
-26,43
60,43
42,43
92,43
115,43
88,43
80,43
93,43
-4,43
20,43
86,43
27,43
54,43
55,43
38,43
80,43
101,43
139,43
115,43
122,43
99,43
76,43
103,43
71,43
86,43
104,43
43,43
73,43
125,43
93,43
37,43
55,43
76,43
48,43
10,43
38,27
151,27
76,27
64,27
112,27
83,27
-19,27
-22,27
109,27
56,27
69,27
59,27
-14,27
-81,27
-41,27
67,27
92,27
124,27
74,27
109,27
87,27
54,27
71,27
5,27
-2,27
-82,27
-66,27
-18,27
22,27
34,27
86,27
44,27
10,27
-9,27
-35,27
-53,27
11,27
22,27
10,27
24,27
36,27
104,27
91,27
55,27
84,27
10,27
-7,27
1,27
29,27
41,27
-4,27
-6,27
49,27
25,27
43,27
44,27
-2,27
-49,27
-40,27
-13,27
37,27
0,27
42,27
81,27
137,27
96,27
70,27
50,27
42,27
161,27
69,27
24,27
100,27
60,27
96,27
120,27
66,27
39,27
-6,27
-9,27
-84,27
