raw,attention
2,75
-5,75
-20,75
-18,75
-1,75
3,75
-5,75
-13,75
-14,75
-1,75
11,75
16,75
7,75
-3,75
7,75
28,75
32,75
10,75
6,75
36,75
64,75
56,75
27,75
9,75
22,75
41,75
48,75
37,75
36,75
54,75
66,75
54,75
35,75
27,75
35,75
49,75
61,75
57,75
44,75
48,75
58,75
83,75
96,75
64,75
38,75
52,75
74,75
73,75
53,75
38,75
33,75
23,75
21,75
34,75
59,75
80,75
66,75
42,75
51,75
76,75
105,75
92,75
44,75
-1,75
-38,75
-51,75
-30,75
-1,75
7,75
-4,75
-7,75
7,75
39,75
61,75
57,75
45,75
37,75
43,75
43,75
28,75
29,75
58,75
84,75
101,75
103,75
88,75
81,75
98,75
122,75
129,75
116,75
101,75
101,75
104,75
93,75
81,75
84,75
88,75
82,75
68,75
66,75
83,75
112,75
123,75
102,75
58,75
34,75
43,75
60,75
53,75
18,75
-17,75
-33,75
-35,75
-41,75
-50,75
-43,75
-33,75
-21,75
-24,75
-49,75
-66,75
-49,75
-18,75
-10,75
-18,75
-23,75
-19,75
-13,75
-10,75
-19,75
-28,75
-28,75
-20,75
-2,75
-1,75
-23,75
-39,75
-29,75
-20,75
-23,75
-26,75
-1,75
43,75
54,75
40,75
36,75
54,75
84,75
92,75
81,75
66,75
80,75
97,75
107,75
109,75
108,75
119,75
122,75
115,75
114,75
108,75
97,75
97,75
103,75
104,75
98,75
97,75
92,75
92,75
87,75
43,75
-2,75
-3,75
35,75
65,75
55,75
28,75
34,75
66,75
96,75
107,75
102,75
80,75
53,75
29,75
-4,75
-39,75
-53,75
-44,75
-39,75
-29,75
-11,75
6,75
34,75
52,75
50,75
40,75
41,75
56,75
65,75
60,75
42,75
22,75
17,75
20,75
23,75
23,75
10,75
6,75
25,75
49,75
59,75
56,75
42,75
34,75
34,75
25,75
6,75
-3,75
0,75
9,75
19,75
18,75
6,75
11,75
19,75
20,75
18,75
11,75
19,75
45,75
64,75
38,75
8,75
7,75
12,75
17,75
4,75
-26,75
-42,75
-36,75
-21,75
-19,75
-33,75
-49,75
-57,75
-71,75
-84,75
-87,75
-82,75
-67,75
-53,75
-50,81
-55,81
-55,81
-44,81
-20,81
4,81
7,81
11,81
34,81
57,81
66,81
51,81
24,81
19,81
32,81
27,81
10,81
1,81
12,81
26,81
35,81
38,81
43,81
56,81
70,81
76,81
69,81
50,81
49,81
64,81
88,81
100,81
96,81
99,81
116,81
121,81
105,81
75,81
55,81
64,81
92,81
106,81
89,81
72,81
84,81
104,81
100,81
73,81
72,81
99,81
112,81
112,81
101,81
88,81
86,81
96,81
104,81
109,81
102,81
98,81
109,81
125,81
115,81
82,81
66,81
83,81
105,81
117,81
97,81
69,81
64,81
84,81
113,81
115,81
101,81
98,81
103,81
100,81
91,81
109,81
146,81
167,81
170,81
166,81
172,81
198,81
220,81
216,81
205,81
196,81
197,81
210,81
212,81
197,81
155,81
124,81
124,81
130,81
115,81
85,81
56,81
49,81
50,81
51,81
50,81
61,81
84,81
96,81
72,81
36,81
17,81
23,81
49,81
61,81
40,81
5,81
-3,81
9,81
25,81
21,81
2,81
-20,81
-22,81
-17,81
-20,81
-26,81
-25,81
-22,81
-11,81
-13,81
-39,81
-55,81
-51,81
-29,81
-10,81
-19,81
-37,81
-36,81
-22,81
-18,81
-26,81
-49,81
-41,81
-18,81
-10,81
-33,81
-53,81
-57,81
-39,81
-13,81
-13,81
-26,81
-12,81
8,81
19,81
16,81
0,81
-8,81
8,81
25,81
17,81
1,81
-6,81
-5,81
7,81
20,81
12,81
5,81
25,81
50,81
45,81
28,81
12,81
9,81
26,81
38,81
29,81
24,81
34,81
28,81
13,81
-1,81
-13,81
-9,81
0,81
1,81
-13,81
-33,81
-21,81
2,81
11,81
6,81
-7,81
-22,81
-18,81
-3,81
-5,81
-26,81
-39,81
-33,81
-13,81
6,81
5,81
-9,81
-23,81
-19,81
-3,81
2,81
4,81
11,81
7,81
2,81
6,81
5,81
-8,81
-14,81
-2,81
28,81
80,81
106,81
92,81
66,81
49,81
65,81
103,81
133,81
133,81
115,81
97,81
86,81
90,81
92,81
81,81
59,81
56,81
74,81
90,81
91,81
65,81
38,81
48,81
76,81
89,81
65,81
37,81
39,81
54,81
59,81
60,81
51,81
36,81
44,81
59,81
49,81
24,81
21,81
33,81
35,81
20,81
-10,81
-39,81
-37,81
-7,81
6,81
1,81
-12,81
-24,81
-26,81
-28,81
-35,81
-25,81
-7,81
-3,81
-17,81
-38,81
-51,81
-35,81
1,81
22,81
19,81
9,81
9,81
28,81
61,81
68,81
34,81
10,81
18,81
33,81
36,81
23,81
5,81
-7,81
-3,81
2,81
6,81
10,81
24,81
41,81
43,81
35,81
32,81
39,81
55,81
59,81
48,81
43,81
60,81
74,81
72,81
66,81
69,81
80,81
86,81
91,81
88,81
68,81
59,81
71,81
70,81
59,81
53,81
54,81
60,81
69,81
55,81
25,81
8,81
22,81
35,81
35,81
23,81
26,81
40,81
43,81
38,81
34,81
32,81
37,81
33,81
7,81
-3,81
7,81
27,81
22,81
-2,81
-12,81
-10,81
3,81
28,81
53,81
55,81
20,81
-34,81
-74,81
-57,81
12,81
73,81
91,81
88,81
72,81
42,81
17,81
7,81
18,81
54,81
105,81
115,81
56,81
12,81
49,81
123,81
152,81
119,81
99,81
150,81
200,81
182,81
133,81
122,81
168,81
208,81
229,81
249,81
248,81
219,81
178,81
149,81
165,81
187,81
198,81
208,81
210,81
211,81
217,81
216,81
194,81
177,81
153,81
122,81
134,81
179,81
198,81
157,81
101,81
103,81
145,81
146,81
98,81
56,81
16,81
-4,81
21,81
41,81
21,81
-13,81
-51,81
-73,81
-94,81
-136,81
-182,81
-203,81
-199,81
-183,81
-180,81
-196,81
-228,81
-253,81
-253,81
-236,81
-225,81
-249,81
-311,81
-306,81
-243,81
-217,81
-219,81
-231,81
-250,81
-259,81
-249,81
-236,81
-238,81
-261,81
-284,81
-286,81
-278,81
-252,81
-221,81
-187,81
-162,81
-156,81
-161,81
-150,81
-121,81
-105,81
-119,81
-150,81
-163,81
-149,81
-136,81
-140,81
-146,81
-132,81
-108,81
-89,81
-90,81
-98,81
-94,81
-59,81
-33,81
-39,81
-39,81
-34,81
-19,81
11,81
59,81
89,81
76,81
50,81
39,81
37,81
34,81
32,81
33,81
50,81
56,81
58,81
87,81
117,81
112,81
87,81
66,81
71,81
80,81
72,81
102,81
162,81
179,81
155,81
134,81
130,81
140,81
154,81
168,81
183,81
176,81
139,81
123,81
132,81
137,81
113,81
71,74
65,74
86,74
83,74
64,74
39,74
17,74
3,74
41,74
98,74
90,74
59,74
69,74
106,74
117,74
90,74
55,74
52,74
88,74
107,74
85,74
81,74
101,74
98,74
91,74
84,74
73,74
80,74
104,74
119,74
102,74
91,74
112,74
134,74
147,74
149,74
140,74
135,74
141,74
141,74
131,74
128,74
116,74
87,74
69,74
90,74
116,74
109,74
87,74
83,74
112,74
123,74
93,74
54,74
52,74
85,74
101,74
83,74
66,74
58,74
51,74
58,74
83,74
99,74
118,74
131,74
121,74
97,74
99,74
122,74
136,74
125,74
107,74
96,74
92,74
102,74
116,74
107,74
88,74
90,74
92,74
74,74
41,74
28,74
48,74
70,74
109,74
125,74
105,74
82,74
80,74
85,74
56,74
1,74
-2,74
33,74
67,74
86,74
75,74
67,74
76,74
108,74
124,74
103,74
80,74
85,74
91,74
65,74
33,74
32,74
48,74
51,74
48,74
41,74
34,74
42,74
53,74
50,74
20,74
3,74
6,74
17,74
12,74
2,74
6,74
16,74
7,74
-8,74
-19,74
-13,74
2,74
8,74
4,74
7,74
23,74
38,74
42,74
53,74
43,74
26,74
38,74
70,74
99,74
98,74
67,74
41,74
45,74
71,74
80,74
68,74
60,74
82,74
101,74
112,74
91,74
52,74
22,74
35,74
80,74
102,74
88,74
82,74
83,74
71,74
44,74
33,74
35,74
40,74
50,74
70,74
76,74
66,74
60,74
66,74
58,74
59,74
61,74
58,74
35,74
-1,74
-21,74
-11,74
12,74
18,74
-4,74
-27,74
-37,74
-29,74
-18,74
-13,74
-20,74
-27,74
-28,74
-11,74
-11,74
-24,74
-19,74
1,74
34,74
72,74
73,74
39,74
12,74
18,74
58,74
84,74
59,74
27,74
34,74
60,74
71,74
57,74
49,74
57,74
68,74
66,74
53,74
42,74
38,74
42,74
44,74
35,74
16,74
22,74
57,74
76,74
52,74
23,74
27,74
41,74
65,74
96,74
91,74
64,74
59,74
87,74
105,74
89,74
56,74
57,74
99,74
130,74
135,74
135,74
130,74
137,74
145,74
132,74
122,74
122,74
112,74
92,74
83,74
69,74
59,74
51,74
36,74
37,74
76,74
132,74
164,74
165,74
146,74
145,74
182,74
217,74
232,74
258,74
280,74
295,74
322,74
327,74
295,74
268,74
304,74
376,74
439,74
464,74
451,74
436,74
439,74
449,74
449,74
450,74
458,74
475,74
466,74
432,74
402,74
377,74
374,74
388,74
381,74
353,74
332,74
346,74
352,74
317,74
279,74
284,74
309,74
298,74
261,74
225,74
225,74
244,74
218,74
160,74
121,74
103,74
98,74
103,74
72,74
9,74
-30,74
-40,74
-40,74
-66,74
-103,74
-125,74
-148,74
-178,74
-202,74
-217,74
-238,74
-275,74
-305,74
-318,74
-322,74
-315,74
-318,74
-329,74
-346,74
-355,74
-348,74
-338,74
-325,74
-330,74
-329,74
-313,74
-312,74
-342,74
-349,74
-290,74
-229,74
-258,74
-328,74
-355,74
-314,74
-268,74
-276,74
-317,74
-342,74
-331,74
-329,74
-346,74
-354,74
-323,74
-267,74
-246,74
-279,74
-312,74
-308,74
-273,74
-250,74
-253,74
-251,74
-220,74
-188,74
-178,74
-179,74
-187,74
-190,74
-162,74
-124,74
-113,74
-103,74
-93,74
-88,74
-85,74
-89,74
-102,74
-118,74
-129,74
-120,74
-106,74
-88,74
-57,74
-53,74
-58,74
-61,74
-68,74
-70,74
-51,74
-37,74
-38,74
-58,74
-76,74
-65,74
-37,74
-38,74
-67,74
-73,74
-61,74
-61,74
-69,74
-83,74
-89,74
-78,74
-56,74
-35,74
-14,74
9,74
43,74
80,74
102,74
113,74
103,74
72,74
55,74
59,74
65,74
58,74
68,74
90,74
100,74
85,74
70,74
84,74
106,74
122,74
135,74
147,74
133,74
119,74
128,74
138,74
125,74
102,74
89,74
83,74
68,74
33,74
-8,74
-24,74
0,74
34,74
36,74
19,74
16,74
28,74
38,74
35,74
37,74
39,74
32,74
32,74
36,74
37,74
38,74
38,74
39,74
48,74
52,74
57,74
68,74
75,74
80,74
57,74
38,74
69,74
102,74
89,74
55,74
24,74
24,74
51,74
70,74
66,74
50,74
49,74
67,74
73,74
60,74
51,74
57,74
84,74
103,74
112,74
105,74
84,74
72,74
82,74
84,74
80,74
81,74
80,74
70,74
65,74
60,74
49,74
37,74
43,74
57,74
57,74
39,74
22,74
23,74
32,74
27,74
19,74
18,74
37,67
50,67
21,67
-27,67
-60,67
-25,67
55,67
90,67
52,67
17,67
50,67
96,67
103,67
68,67
36,67
33,67
43,67
56,67
51,67
17,67
-3,67
16,67
40,67
48,67
48,67
54,67
56,67
58,67
51,67
40,67
38,67
39,67
45,67
54,67
51,67
44,67
42,67
38,67
21,67
-3,67
-12,67
-9,67
7,67
29,67
44,67
40,67
39,67
60,67
97,67
92,67
45,67
11,67
22,67
53,67
72,67
57,67
42,67
55,67
70,67
65,67
43,67
37,67
42,67
48,67
56,67
57,67
52,67
45,67
49,67
52,67
44,67
36,67
39,67
54,67
55,67
41,67
34,67
41,67
58,67
75,67
80,67
73,67
61,67
44,67
18,67
-5,67
-17,67
-6,67
7,67
10,67
6,67
17,67
42,67
67,67
68,67
42,67
18,67
17,67
33,67
44,67
35,67
7,67
6,67
38,67
75,67
98,67
93,67
68,67
41,67
21,67
20,67
53,67
109,67
149,67
151,67
132,67
123,67
140,67
186,67
237,67
257,67
227,67
179,67
169,67
193,67
184,67
144,67
105,67
101,67
115,67
118,67
99,67
56,67
36,67
55,67
74,67
76,67
57,67
32,67
24,67
37,67
39,67
25,67
7,67
10,67
24,67
24,67
13,67
11,67
25,67
44,67
60,67
56,67
41,67
42,67
57,67
73,67
74,67
50,67
11,67
-3,67
11,67
35,67
44,67
45,67
44,67
39,67
27,67
6,67
-9,67
-11,67
-2,67
-2,67
-23,67
-49,67
-46,67
-20,67
-3,67
-3,67
-21,67
-38,67
-26,67
-13,67
-23,67
-35,67
-25,67
-13,67
-21,67
-30,67
-24,67
-13,67
-6,67
3,67
11,67
17,67
26,67
36,67
22,67
-3,67
-17,67
0,67
33,67
35,67
16,67
2,67
10,67
37,67
55,67
48,67
24,67
10,67
10,67
23,67
24,67
4,67
-11,67
-9,67
-6,67
2,67
16,67
23,67
28,67
40,67
41,67
28,67
18,67
13,67
28,67
48,67
45,67
40,67
44,67
55,67
65,67
65,67
55,67
50,67
48,67
55,67
51,67
27,67
25,67
53,67
77,67
75,67
52,67
36,67
51,67
69,67
65,67
44,67
29,67
39,67
64,67
73,67
73,67
74,67
72,67
60,67
50,67
36,67
18,67
6,67
17,67
40,67
51,67
48,67
58,67
83,67
101,67
100,67
83,67
67,67
45,67
29,67
24,67
19,67
21,67
32,67
39,67
32,67
7,67
0,67
22,67
69,67
76,67
48,67
27,67
40,67
57,67
53,67
38,67
32,67
38,67
55,67
59,67
52,67
42,67
48,67
60,67
69,67
65,67
53,67
48,67
42,67
34,67
26,67
25,67
33,67
53,67
72,67
84,67
83,67
73,67
71,67
88,67
108,67
121,67
112,67
83,67
61,67
48,67
25,67
5,67
4,67
33,67
50,67
42,67
28,67
17,67
19,67
35,67
34,67
17,67
-3,67
-17,67
-17,67
-4,67
6,67
9,67
17,67
28,67
41,67
33,67
10,67
8,67
21,67
36,67
22,67
1,67
3,67
20,67
32,67
23,67
-6,67
-28,67
-33,67
-23,67
-24,67
-27,67
-19,67
-5,67
-7,67
-36,67
-71,67
-75,67
-39,67
-5,67
5,67
-3,67
-13,67
1,67
39,67
60,67
57,67
50,67
50,67
60,67
77,67
73,67
54,67
44,67
49,67
53,67
49,67
35,67
36,67
53,67
67,67
73,67
73,67
69,67
69,67
73,67
69,67
56,67
57,67
76,67
99,67
91,67
83,67
80,67
84,67
86,67
60,67
27,67
18,67
32,67
40,67
28,67
12,67
16,67
36,67
53,67
42,67
7,67
-12,67
6,67
37,67
40,67
24,67
10,67
17,67
20,67
6,67
-18,67
-42,67
-39,67
-22,67
-11,67
-4,67
-19,67
-36,67
-29,67
-19,67
-19,67
-23,67
-25,67
-7,67
17,67
20,67
16,67
13,67
9,67
7,67
3,67
-7,67
-22,67
-12,67
10,67
16,67
-1,67
-8,67
12,67
50,67
65,67
48,67
10,67
-6,67
2,67
21,67
32,67
37,67
52,67
73,67
76,67
67,67
43,67
21,67
19,67
35,67
48,67
39,67
23,67
27,67
56,67
81,67
73,67
43,67
28,67
36,67
41,67
24,67
7,67
9,67
26,67
36,67
33,67
24,67
28,67
43,67
50,67
32,67
18,67
25,67
38,67
60,67
80,67
71,67
65,67
89,67
107,67
88,67
59,67
54,67
66,67
80,67
88,67
75,67
50,67
52,67
64,67
53,67
28,67
16,67
24,67
39,67
32,67
3,67
-17,67
-4,67
22,67
37,67
37,67
26,67
26,67
35,67
38,67
33,67
24,67
23,67
33,67
41,67
37,67
28,67
28,67
40,67
51,67
41,67
25,67
24,67
38,67
44,67
37,67
20,67
7,67
12,67
35,67
56,67
54,67
20,67
5,67
25,67
54,67
60,67
43,67
34,67
33,67
39,67
37,67
21,67
17,67
26,67
41,67
58,67
68,67
68,67
59,67
57,67
60,67
65,67
68,67
77,67
88,67
92,67
86,67
59,67
40,67
50,67
68,67
69,67
51,67
42,67
54,67
65,67
53,67
38,67
43,67
65,67
68,67
43,67
20,67
22,67
38,67
54,67
45,67
26,67
36,67
53,67
60,67
43,67
17,67
0,67
16,67
36,67
28,67
8,67
6,67
19,67
29,67
32,67
19,67
2,67
3,67
22,67
41,67
42,67
32,67
20,67
7,67
11,67
18,67
6,67
-2,67
7,67
23,67
22,67
8,67
21,67
51,67
67,67
72,67
76,67
89,67
105,67
113,67
98,67
69,67
64,67
82,67
97,67
100,67
76,67
48,67
37,67
45,67
51,67
37,67
34,67
54,67
75,67
86,67
81,67
72,67
83,67
100,67
104,67
90,67
72,67
82,67
106,67
121,67
113,67
90,67
76,67
85,67
100,67
92,67
60,67
36,67
44,67
67,67
64,67
32,67
6,67
4,67
20,67
34,67
32,67
27,67
33,67
36,67
35,67
18,67
-10,67
-19,67
-6,67
-2,67
-7,67
-1,67
19,67
35,67
41,67
25,67
2,67
4,67
21,67
32,67
22,67
-5,67
-23,67
-12,67
-3,67
-13,67
-50,67
-71,67
-62,67
-53,67
-62,67
-90,67
-90,67
-53,67
-23,67
-23,67
-41,67
-57,67
-43,67
-8,67
1,67
-23,67
-45,67
-43,67
-25,67
-20,67
-36,67
-57,67
-57,67
-42,67
-24,67
-7,67
-5,67
-10,67
-13,67
-8,67
-7,67
-19,67
-21,67
0,67
35,67
55,67
41,67
20,67
18,67
19,67
19,67
34,67
45,67
48,67
52,67
60,67
55,67
37,67
43,67
73,67
85,67
64,67
32,67
25,67
52,67
58,67
37,67
26,67
44,67
74,67
85,67
68,67
50,67
40,67
48,67
69,67
75,67
51,67
32,67
39,67
58,67
60,67
42,67
24,67
35,67
50,67
45,67
24,67
3,67
17,67
38,67
44,67
35,67
10,67
0,67
2,67
0,67
1,67
4,67
22,67
44,67
55,67
42,67
17,67
-1,67
9,67
28,67
19,67
-8,67
-21,67
-5,67
36,67
83,67
104,67
92,67
87,67
115,67
144,67
152,67
145,67
135,67
132,67
129,67
116,67
104,67
100,67
100,67
115,67
124,67
123,67
118,67
119,67
114,67
90,67
54,67
37,67
55,67
72,67
55,67
24,67
20,67
40,67
44,67
29,67
8,67
-2,67
7,67
35,67
54,67
35,67
-2,67
-20,67
-9,67
-1,67
-11,67
-34,67
-39,67
-28,67
-22,67
-35,67
-46,67
-41,67
-22,67
-17,67
-28,67
-50,67
-59,67
-44,67
-21,67
-17,67
-45,67
-68,67
-55,67
-14,67
2,67
-11,67
-29,67
-42,67
-44,67
-38,67
-37,67
-43,67
-41,67
-21,67
-7,67
-10,67
-9,67
4,67
21,67
28,67
26,67
13,67
9,67
23,67
28,67
8,67
-6,67
5,67
36,67
48,67
25,67
6,67
7,67
25,67
41,67
35,67
5,67
-7,67
8,67
37,67
53,67
49,67
34,67
33,67
41,67
41,67
24,67
5,67
12,67
36,67
53,67
48,67
23,67
13,67
21,67
22,67
13,67
12,67
11,67
23,67
27,67
8,67
0,67
35,67
90,67
118,67
104,67
75,67
69,67
102,67
157,67
205,67
189,67
129,67
89,67
91,67
107,67
103,67
92,67
97,67
102,67
86,67
42,67
6,67
10,67
26,67
25,67
12,67
3,67
6,67
25,67
39,67
33,67
12,67
5,67
24,67
43,67
45,67
28,67
9,67
8,67
23,67
32,67
12,67
3,67
10,67
24,67
25,67
5,67
-24,67
-23,67
-4,67
1,67
-8,67
-18,67
-8,67
9,67
22,67
19,67
-2,67
-5,67
16,67
49,67
67,67
55,67
41,67
40,67
40,67
40,67
24,67
11,67
24,67
41,67
54,67
52,67
49,67
48,67
50,67
49,67
32,67
8,67
4,67
26,67
48,67
43,67
24,67
19,67
23,67
26,67
23,67
16,67
17,67
24,67
23,67
10,67
4,67
11,67
38,67
58,67
58,67
37,57
25,57
38,57
50,57
36,57
22,57
27,57
39,57
35,57
25,57
9,57
2,57
4,57
13,57
26,57
28,57
27,57
29,57
32,57
28,57
21,57
5,57
-5,57
6,57
17,57
9,57
1,57
4,57
27,57
58,57
66,57
42,57
21,57
24,57
42,57
54,57
38,57
16,57
6,57
17,57
33,57
32,57
18,57
26,57
57,57
67,57
32,57
-2,57
17,57
58,57
71,57
51,57
34,57
38,57
49,57
56,57
43,57
18,57
8,57
17,57
27,57
24,57
11,57
4,57
9,57
27,57
39,57
24,57
9,57
12,57
16,57
7,57
-8,57
-21,57
-25,57
-21,57
-14,57
-35,57
-59,57
-51,57
-22,57
-3,57
5,57
20,57
37,57
49,57
57,57
64,57
71,57
91,57
107,57
96,57
59,57
26,57
27,57
54,57
77,57
93,57
101,57
112,57
116,57
103,57
85,57
76,57
80,57
87,57
84,57
44,57
7,57
-2,57
17,57
35,57
28,57
20,57
28,57
38,57
41,57
44,57
48,57
53,57
53,57
56,57
57,57
44,57
32,57
27,57
27,57
41,57
65,57
58,57
42,57
35,57
32,57
33,57
39,57
40,57
42,57
66,57
109,57
123,57
87,57
50,57
42,57
66,57
81,57
64,57
40,57
33,57
48,57
56,57
51,57
50,57
70,57
69,57
25,57
23,57
68,57
56,57
8,57
-4,57
12,57
27,57
38,57
53,57
69,57
44,57
6,57
10,57
36,57
54,57
59,57
67,57
72,57
74,57
75,57
74,57
58,57
54,57
70,57
81,57
80,57
74,57
56,57
36,57
54,57
73,57
33,57
1,57
8,57
33,57
51,57
50,57
38,57
27,57
33,57
53,57
58,57
51,57
59,57
72,57
67,57
33,57
5,57
13,57
33,57
36,57
25,57
16,57
-2,57
-3,57
16,57
11,57
7,57
23,57
38,57
35,57
22,57
20,57
28,57
48,57
72,57
89,57
93,57
100,57
97,57
83,57
67,57
50,57
29,57
23,57
35,57
36,57
20,57
18,57
23,57
19,57
2,57
1,57
9,57
6,57
-1,57
-9,57
-20,57
-2,57
43,57
69,57
60,57
51,57
42,57
52,57
65,57
72,57
76,57
73,57
72,57
56,57
37,57
33,57
41,57
43,57
29,57
28,57
25,57
10,57
27,57
55,57
44,57
9,57
-17,57
-6,57
32,57
71,57
76,57
56,57
49,57
50,57
64,57
56,57
20,57
11,57
49,57
101,57
123,57
83,57
39,57
34,57
37,57
51,57
68,57
70,57
56,57
19,57
-6,57
-3,57
24,57
57,57
52,57
18,57
-4,57
-7,57
16,57
44,57
68,57
60,57
26,57
17,57
41,57
64,57
52,57
11,57
-6,57
10,57
23,57
35,57
32,57
21,57
34,57
56,57
56,57
36,57
22,57
17,57
22,57
43,57
56,57
43,57
38,57
38,57
52,57
61,57
32,57
6,57
28,57
52,57
44,57
39,57
50,57
59,57
58,57
49,57
13,57
-26,57
-12,57
32,57
59,57
55,57
42,57
39,57
51,57
74,57
75,57
38,57
17,57
35,57
57,57
67,57
66,57
68,57
68,57
65,57
41,57
13,57
12,57
37,57
50,57
28,57
1,57
-6,57
9,57
32,57
38,57
28,57
20,57
16,57
25,57
43,57
32,57
5,57
5,57
27,57
37,57
23,57
8,57
0,57
7,57
21,57
22,57
13,57
20,57
37,57
35,57
27,57
23,57
21,57
23,57
20,57
17,57
12,57
18,57
41,57
55,57
34,57
6,57
3,57
19,57
35,57
39,57
11,57
-26,57
-20,57
25,57
65,57
66,57
56,57
65,57
82,57
67,57
32,57
24,57
41,57
60,57
71,57
58,57
21,57
13,57
55,57
81,57
60,57
35,57
38,57
54,57
52,57
26,57
3,57
17,57
48,57
68,57
60,57
35,57
24,57
24,57
25,57
35,57
29,57
17,57
25,57
50,57
43,57
4,57
-33,57
-23,57
13,57
34,57
22,57
-1,57
-21,57
-17,57
4,57
21,57
28,57
40,57
52,57
43,57
22,57
11,57
32,57
55,57
53,57
32,57
4,57
-1,57
9,57
20,57
8,57
-4,57
-3,57
10,57
27,57
33,57
27,57
19,57
19,57
21,57
22,57
27,57
28,57
36,57
44,57
39,57
21,57
10,57
20,57
34,57
33,57
20,57
7,57
7,57
27,57
42,57
42,57
44,57
51,57
55,57
60,57
68,57
61,57
49,57
48,57
60,57
67,57
51,57
48,57
67,90
66,90
42,90
26,90
41,90
68,90
89,90
76,90
38,90
19,90
34,90
39,90
34,90
36,90
38,90
35,90
33,90
43,90
48,90
38,90
43,90
56,90
55,90
37,90
20,90
23,90
40,90
60,90
57,90
33,90
16,90
25,90
42,90
42,90
38,90
25,90
19,90
33,90
32,90
5,90
-17,90
-5,90
28,90
49,90
26,90
-6,90
-21,90
5,90
35,90
24,90
1,90
-2,90
16,90
33,90
32,90
12,90
7,90
17,90
21,90
20,90
36,90
51,90
43,90
41,90
40,90
26,90
17,90
20,90
24,90
18,90
8,90
8,90
28,90
66,90
96,90
99,90
96,90
102,90
124,90
162,90
177,90
173,90
170,90
146,90
119,90
121,90
129,90
103,90
72,90
60,90
50,90
34,90
32,90
38,90
43,90
48,90
39,90
29,90
35,90
44,90
60,90
55,90
41,90
39,90
43,90
50,90
49,90
35,90
27,90
33,90
29,90
21,90
12,90
17,90
29,90
25,90
10,90
-12,90
-29,90
-21,90
-10,90
-13,90
-36,90
-44,90
-39,90
-33,90
-35,90
-38,90
-55,90
-65,90
-54,90
-41,90
-44,90
-44,90
-30,90
