raw_data,attention
23,87
16,87
53,87
54,87
73,87
38,87
43,87
68,87
65,87
33,87
4,87
19,87
-25,87
9,87
40,87
20,87
17,87
53,87
43,87
-20,87
21,87
23,87
28,87
26,87
44,87
37,87
10,87
44,87
22,87
-8,87
49,87
64,87
26,87
0,87
45,87
43,87
-34,87
-21,87
13,87
18,87
51,87
91,87
58,87
52,87
32,87
32,87
44,87
19,87
73,87
61,87
4,87
21,87
50,87
50,87
36,87
28,87
49,87
39,87
55,87
89,87
67,87
43,87
51,87
42,87
44,87
85,87
108,87
51,87
16,87
6,87
-8,87
-17,87
-6,87
57,87
37,87
-1,87
-17,87
-20,87
2,87
32,87
39,87
55,87
37,87
-14,87
-156,87
-119,87
-134,87
-166,87
-135,87
-135,87
-135,87
-87,87
-66,87
-78,87
-61,87
-69,87
-94,87
-109,87
-44,87
-39,87
17,87
44,87
60,87
66,87
28,87
65,87
67,87
52,87
40,87
53,87
27,87
-3,87
19,87
8,87
51,87
117,87
2,87
24,87
11,87
-10,87
-38,87
6,87
-6,87
-33,87
-6,87
12,87
-5,87
11,87
9,87
-40,87
-33,87
10,87
39,87
67,87
25,87
52,87
17,87
-27,87
16,87
22,87
1,87
11,87
11,87
-9,87
20,87
19,87
58,87
8,87
35,87
132,87
120,87
92,87
131,87
81,87
65,87
70,87
68,87
53,87
83,87
55,87
72,87
75,87
43,87
24,87
26,87
28,87
58,87
54,87
88,87
54,75
24,75
84,75
104,75
103,75
100,75
114,75
116,75
108,75
98,75
90,75
121,75
170,75
165,75
173,75
210,75
168,75
229,75
162,75
182,75
187,75
141,75
183,75
180,75
134,75
181,75
109,75
106,75
123,75
6,75
36,75
-8,75
-28,75
-39,75
-49,75
-41,75
-17,75
-1,75
23,75
18,75
-98,75
-43,75
-74,75
-119,75
-133,75
-147,75
-86,75
-116,75
-139,75
-37,75
-83,75
-42,75
-98,75
-117,75
-28,75
44,75
-26,75
-13,75
34,75
-40,75
-70,75
-8,75
-42,75
-37,75
-22,75
-54,75
-9,75
1,75
1,75
6,75
-26,75
-19,75
21,75
-4,75
21,75
0,75
-18,75
-9,75
10,75
19,75
42,75
80,75
7,75
74,75
92,75
112,75
10,75
49,75
44,75
24,75
38,75
112,75
129,75
128,75
69,75
39,75
45,75
52,75
101,75
67,75
68,75
60,75
32,75
52,75
34,75
13,75
11,75
18,75
52,75
43,75
66,75
-7,75
85,75
41,75
55,75
55,75
11,75
66,75
23,75
26,75
74,75
69,75
26,75
-20,75
-34,75
-59,75
-49,75
-73,75
-35,75
-97,75
-82,75
-68,75
-4,75
-67,75
-56,75
-38,75
7,75
87,75
2,75
20,75
10,75
-51,75
-55,75
3,75
52,75
32,75
3,75
52,75
3,75
98,75
196,75
204,75
182,75
219,75
187,75
122,75
55,75
70,75
65,75
55,75
70,75
151,75
104,75
128,75
67,75
80,75
99,75
69,75
99,75
51,75
65,75
83,75
60,75
120,75
7,75
34,75
36,75
6,75
11,75
44,75
91,75
66,75
28,75
42,75
58,75
27,75
37,75
43,75
-24,75
-20,75
-40,75
11,75
-45,75
-67,75
-69,75
-132,75
-124,75
-69,75
-72,75
-43,75
-50,75
-74,75
-40,75
-54,75
-42,75
-60,75
-43,75
-59,75
-68,75
-37,75
22,75
-2,75
24,75
-8,75
-9,75
41,75
10,75
-9,75
12,75
41,75
75,75
69,75
48,75
29,75
57,75
12,75
-12,75
-40,75
-62,75
-29,75
28,75
69,75
42,75
87,75
107,75
-8,75
-12,75
72,75
39,75
28,75
90,75
73,75
117,75
118,75
51,75
88,75
108,75
114,75
97,75
124,75
139,75
149,75
122,75
108,75
146,75
151,75
48,75
97,75
120,75
107,75
137,75
216,75
187,75
124,75
163,75
136,75
131,75
146,75
146,75
155,75
138,75
117,75
91,75
107,75
168,75
102,75
145,75
199,75
147,75
93,75
102,75
125,75
77,75
59,75
81,75
56,75
69,75
65,75
27,75
86,75
104,75
36,75
28,75
91,75
74,75
