raw_data,attention
-38,41
-90,41
-165,41
-184,41
-138,41
-4,41
61,41
52,41
38,41
74,41
44,41
2,41
43,41
44,41
-30,41
-70,41
-106,41
-93,41
1,41
35,41
73,41
3,41
3,41
41,41
84,41
169,41
148,41
83,41
-26,41
-107,41
-6,43
77,43
33,43
-13,43
-26,43
-20,43
-10,43
2,43
-19,43
-57,43
-62,43
-170,43
-167,43
-154,43
-254,43
-229,43
-181,43
-49,43
-50,43
-166,43
-107,43
-122,43
-121,43
-113,43
21,43
29,43
-30,43
-54,43
-27,43
-85,43
-55,43
-11,43
-21,43
-35,43
-91,43
-156,43
-193,43
-100,43
-51,43
-37,43
69,43
166,43
83,43
118,43
97,43
102,43
129,43
99,43
89,43
221,43
193,43
137,43
82,43
65,43
96,43
43,43
-235,43
-227,43
-152,43
-70,43
-195,43
-378,43
-164,43
-266,43
-244,43
8,43
92,43
88,43
48,43
-68,43
-69,43
54,43
92,43
84,43
288,43
259,43
373,43
293,43
219,43
182,43
224,43
229,43
262,43
266,43
246,43
170,43
188,43
182,43
161,43
194,43
173,43
13,43
-34,43
84,43
186,43
99,43
80,43
229,43
201,43
88,43
108,43
69,43
41,43
85,43
144,43
153,43
217,43
120,43
87,43
68,43
75,43
5,43
201,43
220,43
192,43
133,43
71,43
56,43
-30,43
-117,43
33,43
98,43
57,43
129,43
35,43
32,43
-53,43
-43,43
-28,43
11,43
12,43
39,43
49,43
17,43
-19,43
-26,43
-100,43
-45,43
-83,43
-26,43
36,43
135,43
151,43
162,43
92,43
68,43
149,43
82,43
131,43
180,43
195,43
101,43
64,43
52,43
90,43
84,43
71,43
100,43
-25,43
-46,43
124,43
109,43
84,43
82,43
48,43
-24,43
-58,43
-41,43
-147,43
-314,43
-269,43
-250,43
-201,43
-24,43
80,43
130,43
67,43
8,43
50,43
82,43
68,43
100,43
5,43
-20,43
-28,43
58,43
67,43
208,43
273,43
112,43
181,43
181,43
117,43
150,43
210,43
177,43
121,43
7,43
-4,43
113,43
82,43
58,43
59,43
54,43
25,43
28,43
55,43
102,43
16,43
50,43
81,43
10,43
-19,43
6,43
12,43
116,43
144,43
130,43
103,43
34,43
44,43
-57,43
4,43
55,43
26,43
20,43
-42,43
-50,43
39,43
0,43
-55,43
-19,43
9,43
-72,43
-166,43
-75,43
-74,43
-36,43
-25,43
-49,43
-12,43
-45,43
-62,43
43,43
9,43
23,43
2,43
-81,43
-97,43
-153,43
-133,43
-131,43
-121,43
-75,43
17,43
24,43
-21,43
-35,43
-1,43
-24,43
41,43
5,43
-65,43
-5,43
22,43
-26,43
16,43
97,43
187,43
53,43
55,43
72,43
55,43
-11,43
-12,43
36,43
89,43
144,43
114,43
183,43
130,43
104,43
109,43
140,43
92,43
85,43
85,43
17,43
-52,43
1,43
49,43
9,43
-7,43
-39,43
-9,43
58,43
77,43
85,43
186,43
141,43
5,43
77,43
71,43
112,43
165,43
221,43
204,43
98,43
103,43
-6,43
-50,43
10,43
89,43
108,43
99,43
49,43
52,43
44,43
-20,43
-34,43
32,43
-66,43
-73,43
38,43
-13,43
-33,43
9,43
-65,43
-57,43
58,43
82,43
75,43
172,43
177,43
120,43
43,43
746,43
684,43
656,43
612,43
551,43
624,43
748,43
759,43
838,43
932,43
1018,43
1010,43
1024,43
998,43
945,43
968,43
976,43
939,43
848,43
769,43
747,43
747,43
720,43
681,43
613,43
589,43
539,43
452,43
417,43
362,43
530,43
448,43
368,43
