raw,attention
42,0
36,0
23,0
9,0
1,0
0,0
11,0
10,0
2,0
-8,0
-2,0
16,0
20,0
16,0
22,0
40,0
43,0
38,0
36,0
44,0
52,0
51,0
40,0
18,0
7,0
27,0
48,0
48,0
24,0
8,0
9,0
22,0
32,0
23,0
11,0
18,0
37,0
50,0
41,0
26,0
19,0
13,0
19,0
11,0
-1,0
-1,0
21,0
51,0
64,0
61,0
59,0
55,0
55,0
37,0
2,0
-6,0
33,0
84,0
96,0
67,0
23,0
0,0
26,0
84,0
119,0
104,0
49,0
6,0
7,0
25,0
41,0
48,0
36,0
24,0
23,0
16,0
6,0
10,0
22,0
23,0
21,0
21,0
24,0
35,0
36,0
18,0
-2,0
-8,0
2,0
12,0
16,0
7,0
1,0
7,0
26,0
41,0
41,0
39,0
56,0
73,0
54,0
23,0
11,0
20,0
35,0
32,0
20,0
24,0
43,0
52,0
37,0
36,0
51,0
66,0
67,0
59,0
57,0
59,0
57,0
54,0
44,0
38,0
61,0
90,0
104,0
92,0
65,0
45,0
45,0
59,0
68,0
56,0
42,0
42,0
48,0
48,0
36,0
39,0
52,0
64,0
65,0
52,0
51,0
65,0
84,0
88,0
68,0
53,0
57,0
61,0
55,0
39,0
28,0
35,0
49,0
50,0
32,0
8,0
0,0
-1,0
1,0
-2,0
-9,0
-17,0
-9,0
2,0
-2,0
-20,0
-26,0
-10,0
10,0
29,0
39,0
51,0
66,0
80,0
89,0
86,0
66,0
57,0
69,0
82,0
76,0
55,0
34,0
22,0
21,0
25,0
28,0
39,0
55,0
68,0
65,0
52,0
42,0
39,0
41,0
43,0
53,0
59,0
54,0
56,0
53,0
41,0
38,0
43,0
56,0
58,0
44,0
32,0
24,0
34,0
41,0
34,0
18,0
13,0
26,0
38,0
37,0
28,0
34,0
56,0
74,0
68,0
43,0
34,0
34,0
24,0
-7,0
-44,0
-41,0
10,0
76,0
103,0
97,0
86,0
80,0
80,0
77,0
81,0
93,0
97,0
70,0
23,0
-14,0
-19,0
-5,0
4,0
5,0
-1,0
-6,0
-5,0
-1,0
-1,0
-1,0
2,0
4,0
9,0
11,0
2,0
-12,0
-13,0
2,0
11,0
0,0
-20,0
-24,0
-7,0
17,0
20,0
-1,0
-18,0
-24,0
-17,0
3,0
19,0
36,0
58,0
64,0
49,0
32,0
23,0
34,0
64,0
84,0
74,0
45,0
24,0
9,0
8,0
6,0
7,0
18,0
23,0
21,0
5,0
-7,0
-4,0
13,0
26,0
25,0
17,0
12,0
21,0
33,0
37,0
35,0
33,0
28,0
38,0
54,0
59,0
54,0
45,0
44,0
39,0
32,0
38,0
57,0
74,0
84,0
74,0
64,0
59,0
69,0
74,0
53,0
33,0
35,0
50,0
64,0
54,0
23,0
2,0
2,0
23,0
29,0
19,0
10,0
12,0
22,0
35,0
37,0
34,0
32,0
36,0
32,0
25,0
32,0
37,0
42,0
41,0
26,0
21,0
32,0
35,0
24,0
21,0
26,0
27,0
27,38
29,38
25,38
28,38
43,38
51,38
54,38
45,38
36,38
38,38
55,38
70,38
73,38
71,38
53,38
41,38
32,38
12,38
0,38
-2,38
4,38
12,38
13,38
8,38
10,38
22,38
39,38
41,38
33,38
34,38
41,38
51,38
48,38
26,38
7,38
8,38
33,38
56,38
50,38
24,38
19,38
35,38
40,38
25,38
12,38
22,38
38,38
38,38
24,38
19,38
26,38
38,38
48,38
44,38
26,38
9,38
21,38
56,38
66,38
44,38
24,38
26,38
51,38
67,38
64,38
44,38
34,38
38,38
45,38
49,38
49,38
54,38
59,38
60,38
55,38
42,38
25,38
19,38
27,38
39,38
40,38
37,38
41,38
53,38
50,38
33,38
22,38
34,38
64,38
74,38
65,38
65,38
74,38
66,38
44,38
34,38
54,38
89,38
99,38
64,38
10,38
-11,38
8,38
40,38
64,38
54,38
26,38
12,38
22,38
28,38
22,38
13,38
16,38
25,38
55,38
72,38
58,38
38,38
33,38
34,38
19,38
2,38
1,38
4,38
8,38
4,38
-3,38
-6,38
-6,38
8,38
23,38
19,38
8,38
2,38
6,38
16,38
9,38
-2,38
-4,38
3,38
10,38
10,38
3,38
-1,38
17,38
49,38
55,38
41,38
36,38
37,38
40,38
42,38
27,38
8,38
7,38
23,38
38,38
34,38
19,38
20,38
