raw,attention
-43,54
38,54
82,54
28,54
-34,54
-20,54
69,54
125,54
72,54
-6,54
-9,54
71,54
147,54
109,54
9,54
-38,54
11,54
93,54
85,54
-10,54
-65,54
-18,54
64,54
52,54
-10,54
-34,54
2,54
72,54
85,54
20,54
-27,54
-11,54
48,54
72,54
16,54
-26,54
4,54
85,54
121,54
67,54
-10,54
-18,54
45,54
98,54
67,54
7,54
3,54
52,54
101,54
72,54
-6,54
-37,54
8,54
74,54
53,54
-1,54
-18,54
17,54
80,54
77,54
-9,54
-70,54
-26,54
70,54
88,54
24,54
-12,54
8,54
55,54
83,54
36,54
-14,54
-5,54
59,54
106,54
66,54
-1,54
-7,54
54,54
102,54
61,54
-21,54
-65,54
-4,54
73,54
49,54
-28,54
-52,54
3,54
80,54
90,54
18,54
-51,54
-42,54
9,54
3,54
-57,54
-86,54
-38,54
42,54
67,54
-1,54
-69,54
-56,54
34,54
108,54
64,54
-8,54
-10,54
70,54
137,54
100,54
6,54
-34,54
24,54
106,54
93,54
26,54
-7,54
21,54
89,54
92,54
17,54
-40,54
0,54
87,54
100,54
50,54
26,54
68,54
131,54
129,54
56,54
-8,54
-4,54
64,54
98,54
54,54
6,54
22,54
83,54
116,54
90,54
35,54
17,54
71,54
117,54
70,54
3,54
-3,54
49,54
112,54
93,54
11,54
-26,54
7,54
80,54
89,54
24,54
-30,54
-10,54
54,54
68,54
4,54
-36,54
5,54
68,54
75,54
21,54
-7,54
24,54
89,54
118,54
64,54
-17,54
-39,54
37,54
108,54
69,54
7,54
3,54
68,54
132,54
107,54
22,54
-20,54
27,54
108,54
98,54
26,54
0,54
33,54
92,54
83,54
1,54
-43,54
-9,54
73,54
100,54
39,54
-8,54
7,54
86,54
137,54
82,54
6,54
-4,54
37,54
60,54
24,54
-19,54
-19,54
45,54
117,54
88,54
-2,54
-50,54
-9,54
58,54
38,54
-27,54
-46,54
5,54
93,54
117,54
43,54
-13,54
5,54
76,54
100,54
43,54
-6,54
8,54
77,54
119,54
65,54
-2,54
4,54
67,54
100,54
44,54
-13,54
-10,54
42,54
85,54
44,54
-30,54
-59,54
-9,54
56,54
48,54
-5,54
-19,54
28,54
90,54
80,54
3,54
-33,54
13,54
85,54
70,54
-14,54
-42,54
10,54
74,54
77,54
4,54
-54,54
-37,54
56,54
115,54
65,54
10,54
49,54
135,54
170,54
114,54
36,54
17,54
66,54
117,54
80,54
2,54
-28,54
19,54
101,54
97,54
4,54
-39,54
8,54
84,54
81,54
16,54
-10,54
44,54
138,54
147,54
64,54
-18,54
-8,54
85,54
135,54
57,54
-37,54
-38,54
40,54
90,54
42,54
-36,54
-54,54
18,54
92,54
67,54
-2,54
-23,54
20,54
80,54
60,54
-2,54
-25,54
17,54
77,54
72,54
12,54
-14,54
33,54
116,54
129,54
54,54
-11,54
3,54
96,54
131,54
67,54
-3,54
5,54
83,54
129,54
84,54
16,54
-6,54
44,54
96,54
72,54
13,54
-6,54
52,54
128,54
113,54
16,54
-35,54
11,54
85,54
81,54
32,54
8,54
29,54
83,54
97,54
35,54
-28,54
-22,54
55,54
74,54
10,54
-40,54
-21,54
51,54
85,54
17,54
-82,54
-89,54
1,54
60,54
25,54
-30,54
-30,54
38,54
101,54
68,54
-8,54
-29,54
23,54
86,54
59,54
-14,54
-40,54
11,54
89,54
106,54
28,54
-45,54
-41,54
42,54
104,54
86,54
45,54
45,54
100,54
117,54
53,54
-14,54
-22,54
23,54
38,54
-14,54
-59,54
-44,54
19,54
74,54
45,54
-34,54
-66,54
-12,54
55,54
33,67
-25,67
-38,67
25,67
101,67
89,67
1,67
-58,67
-26,67
58,67
56,67
-10,67
-49,67
-18,67
51,67
82,67
25,67
-45,67
-38,67
28,67
61,67
38,67
3,67
5,67
49,67
82,67
56,67
1,67
-13,67
34,67
88,67
55,67
-8,67
-17,67
40,67
109,67
102,67
35,67
6,67
43,67
133,67
153,67
97,67
65,67
102,67
177,67
183,67
93,67
11,67
12,67
86,67
125,67
76,67
21,67
21,67
89,67
139,67
87,67
16,67
11,67
86,67
134,67
75,67
10,67
12,67
75,67
133,67
105,67
13,67
-27,67
22,67
103,67
103,67
33,67
-8,67
38,67
108,67
98,67
26,67
-24,67
-8,67
44,67
43,67
-17,67
-50,67
-18,67
59,67
99,67
36,67
-57,67
-88,67
-37,67
19,67
-9,67
-68,67
-70,67
-12,67
42,67
3,67
-74,67
-77,67
-9,67
43,67
26,67
-21,67
-41,67
0,67
86,67
119,67
57,67
-13,67
-13,67
41,67
55,67
7,67
-24,67
6,67
74,67
102,67
35,67
-35,67
-33,67
37,67
102,67
76,67
7,67
-33,67
-4,67
49,67
36,67
-21,67
-40,67
11,67
68,67
41,67
-22,67
-37,67
24,67
104,67
104,67
26,67
-24,67
8,67
90,67
99,67
18,67
-30,67
3,67
99,67
138,67
81,67
-2,67
-9,67
66,67
128,67
87,67
16,67
9,67
74,67
124,67
82,67
-7,67
-29,67
50,67
124,67
82,67
-4,67
-35,67
7,67
88,67
105,67
35,67
-28,67
-20,67
55,67
73,67
20,67
-14,67
9,67
72,67
77,67
-2,67
-67,67
-56,67
8,67
41,67
9,67
-21,67
-7,67
58,67
107,67
58,67
-34,67
-71,67
-12,67
51,67
33,67
-17,67
-26,67
18,67
90,67
99,67
4,67
-67,67
-28,67
58,67
68,67
-4,67
-49,67
-11,67
59,67
71,67
0,67
-58,67
-30,67
41,67
66,67
9,67
-38,67
-7,67
65,67
97,67
38,67
-37,67
