raw_data,attention
41,60
5,60
20,60
58,60
73,60
50,60
34,60
51,60
29,60
-4,60
32,60
43,60
18,60
-26,60
-33,60
17,60
-45,60
-40,60
-45,60
-11,60
-44,60
-73,60
6,60
-7,60
38,60
28,60
24,60
32,60
42,60
66,60
75,60
44,60
68,60
18,60
42,60
71,60
64,60
99,60
49,60
84,60
21,60
17,60
45,60
85,60
114,60
51,60
65,60
114,60
117,60
121,60
105,60
100,60
44,60
36,60
73,60
128,60
84,60
-22,60
16,60
11,60
70,60
-4,60
42,60
56,60
11,60
-28,60
48,60
52,60
-6,60
-25,60
-22,60
2,60
-71,60
-42,60
58,60
17,60
16,60
81,60
-7,60
24,60
-17,60
-50,60
-28,60
-8,60
1,60
28,60
3,60
16,60
51,60
21,60
50,60
71,60
71,60
74,60
56,60
50,60
58,60
56,60
57,60
100,60
106,60
75,60
41,27
39,27
37,27
43,27
72,27
60,27
28,27
65,27
17,27
-4,27
16,27
26,27
26,27
87,27
57,27
104,27
163,27
83,27
6,27
26,27
-28,27
12,27
45,27
92,27
21,27
27,27
54,27
37,27
56,27
7,27
-4,27
27,27
26,27
13,27
74,27
36,27
82,27
36,27
37,27
19,27
50,27
8,27
28,27
48,27
36,27
44,27
7,27
21,27
0,27
38,27
58,27
25,27
39,27
-18,27
21,27
44,27
1,27
7,27
29,27
11,27
7,27
27,27
17,27
59,27
54,27
67,27
21,27
60,27
41,27
21,27
23,27
19,27
65,27
40,27
56,27
34,27
23,27
59,27
-66,27
-87,27
-165,27
-183,27
-199,27
-230,27
-291,27
-308,27
-257,27
-316,27
-257,27
-201,27
-157,27
-90,27
-40,27
-39,27
22,27
5,27
-1,27
90,27
125,27
124,27
100,27
98,27
70,27
81,27
147,27
139,27
195,27
210,27
216,27
253,27
250,27
249,27
275,27
326,27
322,27
285,27
215,27
189,27
181,27
210,27
213,27
200,27
149,27
148,27
198,27
161,27
145,27
140,27
140,27
104,27
73,27
89,27
70,27
60,27
67,27
59,27
65,27
59,27
65,27
53,27
21,27
66,27
66,27
16,27
69,27
49,27
35,27
61,27
59,27
34,27
49,27
23,27
49,27
40,27
17,27
23,27
69,27
39,27
60,27
65,27
42,27
-2,27
0,27
8,27
18,27
50,27
36,27
41,27
60,27
53,27
12,27
28,27
-102,27
-113,27
-105,27
-157,27
-190,27
-199,27
-260,27
-494,27
-627,27
-593,27
-625,27
-581,27
-433,27
-281,38
-260,38
-253,38
-215,38
-197,38
-120,38
20,38
58,38
150,38
227,38
234,38
260,38
246,38
242,38
304,38
331,38
250,38
266,38
285,38
134,38
139,38
134,38
218,38
162,38
134,38
137,38
66,38
97,38
133,38
120,38
141,38
146,38
35,38
71,38
85,38
40,38
53,38
7,38
41,38
44,38
-17,38
43,38
-3,38
-35,38
20,38
4,38
59,38
53,38
12,38
61,38
12,38
89,38
21,38
-1,38
1,38
32,38
4,38
28,38
92,38
-25,38
-33,38
-13,38
-50,38
-39,38
26,38
32,38
33,38
-2,38
-10,38
-17,38
-17,38
-50,38
-5,38
9,38
39,38
6,38
37,38
39,38
28,38
-4,38
-5,38
12,38
54,38
11,38
19,38
36,38
59,38
69,38
52,38
2,38
8,38
19,38
35,38
-3,38
56,38
66,38
48,38
83,38
55,38
32,38
50,38
32,38
18,38
16,38
6,38
1,38
-9,38
-26,38
-38,38
-1,38
3,38
43,38
69,38
28,38
71,38
28,38
-3,38
21,38
0,38
24,38
10,38
-27,38
-19,38
24,38
12,38
-9,38
0,38
22,38
24,38
5,38
24,38
13,38
38,38
-1,38
4,38
21,38
7,38
-17,38
-9,38
32,38
-5,38
19,38
25,38
-9,38
42,38
34,38
49,38
38,38
49,38
19,38
44,38
27,38
-3,38
7,38
57,38
69,38
71,38
25,38
-27,38
-7,38
-49,38
-35,38
3,38
39,38
4,38
60,38
-13,38
-13,38
18,38
48,38
39,38
58,38
67,38
40,38
61,38
8,38
-14,38
-19,38
-2,38
49,38
12,38
3,38
-4,38
-9,38
-3,38
-56,38
-29,38
-6,38
-53,38
-73,38
-29,38
-94,38
-58,38
-44,38
-57,38
-21,38
28,38
16,38
11,38
22,38
8,38
53,38
29,38
19,38
19,38
24,38
7,38
21,38
17,38
102,38
24,38
25,38
32,38
25,38
10,38
2,38
39,38
18,38
-1,38
58,38
56,38
58,38
33,38
48,38
54,38
24,38
50,38
69,38
34,38
48,38
39,38
13,38
37,38
66,38
9,38
54,38
24,38
5,38
24,38
92,38
82,38
85,38
67,38
60,38
18,38
51,38
32,38
60,38
43,38
26,38
36,38
9,38
7,38
9,38
8,38
44,38
48,38
3,38
-6,38
-27,38
20,38
22,38
-6,38
-22,38
-13,38
-60,38
-12,38
-21,38
-85,38
8,38
17,38
4,38
39,38
54,38
58,38
49,38
24,38
-33,38
-1,38
-4,38
-75,38
3,38
39,38
-9,38
24,38
28,38
44,38
40,38
73,38
17,38
97,38
5,38
3,38
32,38
75,38
76,38
136,38
66,38
125,38
121,38
104,38
100,38
121,38
41,38
37,38
24,38
44,38
70,38
65,38
74,38
57,38
91,38
52,38
71,38
54,38
69,38
73,38
54,38
69,38
38,38
52,38
35,38
81,38
1,38
9,38
5,38
-35,38
-14,38
-5,38
22,38
1,38
20,38
16,38
16,38
8,38
22,38
11,38
-1,38
49,38
-27,38
-57,38
11,38
27,38
5,38
48,38
58,38
11,38
-3,38
16,38
85,38
43,38
66,38
74,38
37,38
0,38
10,38
28,38
38,38
43,38
53,38
53,38
32,38
29,38
81,38
56,38
53,38
112,38
87,38
41,38
85,38
32,38
60,38
61,38
59,38
44,38
69,38
38,38
50,38
74,38
41,38
29,38
49,38
40,38
80,38
124,38
123,38
114,38
133,38
103,38
85,38
103,38
96,38
83,38
96,38
88,38
75,38
65,38
22,38
77,38
9,38
41,38
29,38
71,38
186,38
218,38
185,38
183,38
203,38
281,38
252,38
229,38
172,38
186,38
151,38
156,38
204,38
166,38
150,38
163,38
178,38
100,38
133,38
84,38
74,38
88,38
44,38
51,38
44,38
43,38
33,38
21,38
13,38
82,38
-6,38
17,38
21,38
29,38
33,38
-7,38
26,38
10,38
21,38
-4,38
7,38
0,38
-23,38
0,38
9,38
-7,38
3,38
-28,38
-24,38
-8,38
18,38
1,38
-22,38
42,38
17,38
18,38
-5,38
11,38
33,38
32,38
-3,38
27,38
-9,38
-12,38
2,38
2,38
23,38
19,38
80,38
-34,38
-22,38
54,38
34,38
28,38
83,38
37,38
-26,38
-37,38
-27,38
-25,38
8,38
12,38
-20,38
-67,38
-22,38
-35,38
-6,38
-18,38
58,38
70,38
38,38
-21,38
-4,38
-28,38
-5,38
-25,38
3,38
39,38
-51,38
-21,38
22,38
-18,38
-18,38
28,38
12,38
12,38
-30,38
-43,38
16,38
24,38
-5,38
53,38
53,38
11,38
19,38
41,38
16,38
48,38
40,38
10,38
-25,38
24,38
0,38
37,38
61,38
20,38
-13,38
-45,38
29,38
7,38
-50,38
-37,38
-38,38
-36,38
6,38
-34,38
8,38
20,38
17,38
61,38
58,38
51,38
56,38
74,38
54,38
114,38
98,38
27,38
64,38
66,38
102,38
16,38
22,38
-3,38
3,38
-30,38
-44,38
-27,38
9,38
39,38
22,38
-4,38
32,38
22,38
83,38
66,38
44,38
36,38
27,38
51,38
9,38
8,38
38,38
71,38
19,38
23,38
87,38
35,38
-20,38
48,38
12,38
-2,38
22,38
4,38
-17,38
28,38
33,38
33,38
76,38
85,38
99,38
105,38
83,38
82,38
109,38
66,38
-5,38
36,38
17,38
-17,38
1,38
45,38
-43,38
-27,38
33,38
-25,38
-10,38
7,38
29,38
35,38
-20,38
-2,38
37,38
10,38
74,38
52,38
81,38
39,38
25,38
4,38
-23,38
25,38
58,38
66,38
70,38
65,38
6,38
45,38
55,38
26,38
51,38
84,38
33,38
135,38
69,38
41,38
43,38
28,38
