delta,theta,alpha,beta,gama
-1.05814459744e-06,-1.05814459744e-06,-1.10262987475e-05,-0.0026231561669,-0.00860144525336
-1.18312747126e-05,-1.1712853724e-05,-0.000116960521803,-0.0228989223737,-0.0460092774025
-6.53733338621e-05,-6.38278553451e-05,-0.000602308263856,-0.0896077343391,-0.0565181455037
-0.000242907368522,-0.000232813102084,-0.00204134994385,-0.203940238325,0.144729592588
-0.00069609474646,-0.00065149072238,-0.00520640534798,-0.27951709118,0.484251900604
-0.00166468791231,-0.0015128842298,-0.0107833478171,-0.157958848813,0.265422452515
-0.00348876946039,-0.00306060001947,-0.0189726936871,0.270005529951,-0.910361323133
-0.00661230847963,-0.00556414652117,-0.0290685719143,0.925664907339,-1.79322548843
-0.0115791708621,-0.00928236237461,-0.0391794401533,1.49219500841,-0.511653929466
-0.0190298010184,-0.0144262944724,-0.0463013502553,1.51054817053,2.44255010183
-0.0297064360241,-0.0211324218135,-0.0468464382814,0.619356584065,3.75051696815
-0.0444651152384,-0.029446373802,-0.0374935508269,-1.14211177966,1.09760973961
-0.0642834217665,-0.0393069684983,-0.0160533679814,-3.14942699167,-3.44724017153
-0.0902551538046,-0.0505229110496,0.0179084515665,-4.3407186797,-5.42286249111
-0.123571822054,-0.0627443387487,0.0627743610543,-3.74305733047,-2.91899122733
-0.165495920001,-0.0754373771156,0.114871238419,-1.12375430795,1.86928547253
-0.217329610286,-0.0878686487298,0.168714370171,2.66600188295,5.56985657883
-0.280378383464,-0.0991020039835,0.217486520779,5.95851909622,6.26099963748
-0.355909409547,-0.10800917909,0.253717613229,7.06892472513,3.21135856821
-0.44510791841,-0.113298857205,0.270072914676,5.1942893156,-3.25413902218
-0.549036664271,-0.113569010094,0.260142766814,0.906680592962,-9.81008680069
-0.668600134087,-0.107382125132,0.219185573519,-4.03279561313,-10.2166499892
-0.80450947872,-0.0933553353964,0.144845243707,-7.44902983054,-1.15847220394
-0.957244562097,-0.070256712891,0.0378288241607,-7.75440219494,11.4426187966
-1.12701399866,-0.037103004553,-0.0975615055562,-4.71586535506,15.5425731061
-1.31371790655,0.00674229848532,-0.253205402891,0.379208485463,5.45332375659
-1.51692166183,0.0614685642785,-0.417420830298,5.25944268474,-10.1429283417
-1.73584769471,0.126715545376,-0.575773866958,7.69398459005,-15.9868444515
-1.96938736482,0.201475358231,-0.712360386433,6.55009040179,-6.65647872347
-2.21613219192,0.284009072722,-0.811374748491,2.36940739707,7.30181330237
-2.47442256011,0.371789292606,-0.858738142389,-2.85031899028,11.3333336061
-2.74240719408,0.461484068228,-0.843522759162,-6.58401982071,3.2105803766
-3.01809890952,0.549003019081,-0.758901821394,-6.96933538424,-5.5471277718
-3.29941393669,0.629620401924,-0.602523457353,-3.70782986334,-4.5382624133
-3.58419421023,0.698171907588,-0.376486417433,1.71743939701,3.03474665589
-3.870219037,0.749309379149,-0.0872219915236,6.63684418609,5.74878482259
-4.15521001554,0.777796007238,0.254506197184,8.40751013657,-0.476877254429
-4.43682820658,0.778826546768,0.633450846998,5.73434024633,-7.36097432576
-4.71266370372,0.748353920126,1.02965986101,-0.557567168383,-5.88940177277
-4.98022345167,0.683396929437,1.41832150839,-7.75805328152,1.76085888111
-5.23692436784,0.582303404563,1.76990190187,-12.4644363862,6.01884086182
-5.48009636455,0.444948166307,2.05088164938,-12.1684119872,3.200681955
-5.70699735432,0.272851585851,2.22539316194,-6.46456376571,-0.591198099296
-5.91483879443,0.0692126832294,2.25796682801,2.70348268251,0.420860410586
-6.10081576418,-0.161140011106,2.11741820924,11.8669001252,2.91785697236
-6.26213384625,-0.411870827947,1.7816324625,17.5112810159,-0.142858483607
-6.39602923208,-0.675324652813,1.24265631214,17.5006641952,-7.82433952166
-6.49977947719,-0.942770579551,0.511281318045,11.8340029273,-10.2690958815
-6.57069793148,-1.20468585249,-0.379736068247,2.50165712102,-1.16089927436
-6.60610916594,-1.45106789038,-1.3746721228,-7.4094960955,12.1767820075
-6.60331636625,-1.67177554766,-2.39683021624,-14.9486244502,15.2309277601
-6.55957945808,-1.85690725061,-3.35395459025,-18.3306277339,3.2126696211
-6.4721162397,-1.99721408918,-4.14682117266,-17.3172322914,-11.9625380267
-6.33812616702,-2.08452954182,-4.68004272858,-12.8587206247,-14.5091796553
-6.15482875936,-2.11218709688,-4.87363113551,-6.33658532155,-3.0064806889
-5.91950586322,-2.07539363208,-4.67367057922,1.06006614472,8.3240637692
-5.62954149141,-1.97153258145,-4.06060749122,8.45756568463,7.26159609561
-5.28246355348,-1.80038489,-3.05408138379,14.9612330512,-1.80704399462
-4.87599345013,-1.56426105479,-1.7136421668,19.299518847,-4.58208820166
-4.40809992834,-1.26803154958,-0.135063733077,19.9450771217,3.77613423062
-3.8770493327,-0.919043132087,1.55754752562,15.8114014491,11.3249621477
-3.2814508122,-0.526920548007,3.22304639024,7.10725810789,4.22104154469
-2.62029726202,-0.103261035771,4.71670000615,-4.24913266535,-13.7769534249
-1.89299702925,0.338771499113,5.90436157002,-15.0158470584,-22.3380243448
-1.09939249839,0.784939516196,6.67582337551,-21.7530576265,-7.79061042436
-0.239767523868,1.22048838256,6.95583230786,-22.2215953903,18.2675959498
0.685155548836,1.63074058708,6.71155503079,-16.3715490334,29.1975235045
1.67423185631,2.00170309051,5.95574545315,-6.40175412594,12.5583906359
2.72592216274,2.32065889251,4.74532499543,4.14805311954,-15.559259544
3.83832324731,2.57670528309,3.17551470982,11.8237633586,-27.9467188602
5.00918668033,2.76120025914,1.3701528407,14.5580327461,-14.857270146
6.23591938104,2.86809140102,-0.530617903559,12.3388105707,8.2980015855
7.5155696291,2.89411874706,-2.38371002573,7.03525905391,19.7362496082
8.84480734418,2.83889513027,-4.05583318275,1.48476159649,12.840215482
10.2199057444,2.70487145051,-5.43420053306,-1.79026069574,-1.65748280279
11.6367287956,2.49719630097,-6.43421613785,-1.70068709263,-10.0263238512
13.0907291151,2.22348337532,-7.00365086024,0.962428120778,-8.00317195886
14.5769600989,1.89350193735,-7.12333072961,3.9750605744,-0.834678343501
16.0901054835,1.51880689492,-6.80480743444,4.82917971032,4.27038758084
17.6245280662,1.1123244894,-6.08581027159,2.04237276222,3.98927261681
19.1743321037,0.687902716558,-5.02450249865,-4.01930071417,-0.224452976916
20.7334278322,0.259830038769,-3.69356898348,-11.2107715768,-4.08545869191
22.295588725,-0.157670504602,-2.17488923208,-16.5116120464,-3.48771473921
23.8545009481,-0.550953997403,-0.55511436906,-17.3086693232,1.95234186034
25.4038108676,-0.907447851324,1.07791006828,-12.4912918275,7.28424989439
26.937175387,-1.21610366811,2.63812497544,-2.95338998108,5.97118053409
28.4483192175,-1.46778531585,4.04397589107,8.64721720839,-2.65718406531
29.9311048411,-1.65557299554,5.22119943466,18.7668406475,-10.5925485508
31.3796194178,-1.77496863593,6.10586767546,24.1694539826,-8.63881981586
32.7882765751,-1.82399907847,6.64763293535,23.0068935674,2.61931810302
34.1519237288,-1.80322542112,6.8128790369,15.4175002459,11.8887816016
35.4659445529,-1.71567133151,6.58739454121,3.48069921332,9.24398678447
36.7263483689,-1.56668302615,5.97820425228,-9.41625201755,-2.40358456972
37.9298388758,-1.36373392539,5.01425558816,-19.5933234843,-10.5700696639
39.0738582664,-1.11618341164,3.74579106511,-24.1717154008,-7.44552839031
40.1566074475,-0.834994109149,2.24239014138,-21.9261501742,2.01224781577
41.1770437136,-0.532411389523,0.58974933829,-13.6526689965,7.08864179572
42.134855873,-0.221610443592,-1.11468231294,-1.93915221781,3.88417321951
43.0304197635,0.0836861780345,-2.76700442066,9.62758571232,-1.64348423149
43.8647438184,0.369623353612,-4.26278289638,17.6100992593,-2.46518456608
44.6394156973,0.622662448097,-5.5032524098,19.8382398375,0.775110501384
45.3565578902,0.830060145333,-6.40152573274,16.0721373575,1.76925672332
46.0187968666,0.980365444933,-6.88856710445,7.9583647133,-2.07474430985
46.6292457653,1.06391509116,-6.91869501729,-1.67766482253,-5.57018892008
47.191499552,1.07330412612,-6.47430298282,-9.87680371606,-2.51588524884
47.7096435531,1.00380906886,-5.56936380166,-14.4894136137,5.40090222981
48.1882750014,0.853739994903,-4.25123195455,-14.6955465024,9.31506337734
48.6325327566,0.624694758421,-2.6003002914,-11.0155341556,3.47454685597
49.0481278911,0.321689426601,-0.727148060646,-4.91976271151,-7.0531355742
49.4413701755,-0.0468534177155,1.23307762402,1.76060810913,-11.0824993672
49.8191848144,-0.469270919137,3.12906743156,7.39309068818,-3.83154744557
50.1891094588,-0.930989790106,4.80421279577,10.8964842333,7.19767826007
50.559264606,-1.41501690272,6.10930688504,11.8519149744,10.4333706683
50.9383010168,-1.90256820443,6.91624719605,10.4507736888,3.19947485595
51.3353383941,-2.37379529085,7.13167790709,7.35665519891,-5.92360581335
51.7599117306,-2.80856216046,6.70921943122,3.48589635736,-7.70337292767
52.2219326968,-3.18723236178,5.65864677863,-0.308995331003,-2.34987795784
52.7316637722,-3.49143723492,4.05034202167,-3.56178692499,2.84701354212
53.2996993642,-3.70480115639,2.01369482804,-6.31746538764,3.61910599972
53.936948675,-3.8136013528,-0.27120278526,-8.91186413969,2.49805988831
54.6546150905,-3.80734242355,-2.58837296626,-11.4883549314,2.46413310248
55.4641679275,-3.67922757574,-4.70616547911,-13.5554127105,1.4179122916
56.3773112749,-3.42650298463,-6.40083375689,-13.911549815,-3.55809256455
57.405964824,-3.05064615604,-7.48076529798,-11.0938806057,-8.94147943522
58.5622718088,-2.55737578235,-7.80847012915,-4.23913079792,-7.05046894621
59.858640688,-1.95647775737,-7.31771366779,6.03244256821,3.40621338108
61.3078180396,-1.26146022051,-6.02376598287,17.2486497355,13.1470094053
62.9229847854,-0.489063762853,-4.0254870738,25.6324155767,11.8110402342
64.7178627952,0.341336145975,-1.49883336381,27.5174973998,-0.0469009193538
66.7068165315,1.20839198151,1.31776376126,21.0718351664,-11.4017060387
68.9049370066,2.08947223445,4.14492917965,7.49309376343,-12.7684054421
71.3280959951,2.96133777801,6.68886996752,-9.02909951888,-5.157752179
