raw_data,attention
9,54
22,54
114,54
124,54
89,54
147,54
107,54
177,54
166,54
131,54
166,54
123,54
83,54
68,54
20,54
-2,54
5,54
74,54
73,54
70,54
80,54
82,54
67,54
85,54
70,54
84,54
90,54
107,54
115,54
137,54
214,54
257,54
263,54
311,54
342,54
412,54
484,54
517,54
577,54
669,54
633,54
632,54
609,54
546,54
565,54
502,54
484,54
419,54
339,54
291,54
202,54
179,54
5,54
64,54
116,54
137,54
157,54
180,54
157,54
149,54
163,54
168,54
134,54
109,54
130,54
117,54
133,54
136,54
105,54
100,54
93,54
103,54
92,54
92,54
128,54
115,54
135,54
147,54
108,54
119,54
114,54
108,54
102,54
85,54
105,54
114,54
116,54
88,54
89,54
74,54
87,54
90,54
83,54
60,54
54,54
28,54
9,54
11,54
27,54
-1,54
-29,54
2,54
24,54
-12,54
29,54
53,54
11,54
34,54
10,54
-24,54
1,54
19,54
9,54
19,54
28,54
49,54
99,54
116,54
69,54
103,54
98,54
61,54
1,54
-21,54
-97,54
-142,54
-164,54
-184,54
-161,54
-168,54
-189,54
-210,54
-205,54
-236,54
-252,54
-237,54
-227,54
-251,54
-245,54
-235,54
-229,54
-202,54
-170,54
-194,54
-165,54
-148,54
-171,54
92,54
75,54
39,54
27,54
22,54
33,54
39,54
48,54
56,54
82,54
53,54
81,54
93,54
89,54
37,54
66,54
44,54
57,54
82,54
98,54
116,54
89,54
89,54
115,54
72,54
113,54
114,54
105,54
85,54
75,54
340,54
362,54
341,54
341,54
352,54
374,54
384,54
418,54
435,54
419,54
454,54
440,54
467,54
486,54
530,54
529,54
490,54
445,54
386,54
323,54
229,54
161,54
132,54
133,54
112,54
113,54
57,54
-1,54
-59,54
-114,54
-161,54
-206,54
-235,54
-281,54
-349,54
-308,54
-300,54
-301,54
-312,54
-342,54
-311,54
-290,54
-282,54
-282,54
-268,54
-228,54
-199,54
-199,54
-172,54
-97,54
-89,54
-90,54
-61,54
-65,54
-45,54
-46,54
-74,54
-101,54
-93,54
-89,54
-76,54
-71,54
-83,54
-41,54
118,54
97,54
104,54
104,54
89,54
89,54
69,54
56,54
42,54
52,54
54,54
58,43
98,43
104,43
85,43
105,43
99,43
96,43
123,43
138,43
149,43
213,43
221,43
277,43
279,43
323,43
290,43
274,43
242,43
200,43
180,43
168,43
-37,43
-62,43
-99,43
-92,43
-107,43
-98,43
-86,43
-71,43
-60,43
-57,43
-53,43
-13,43
4,43
22,43
8,43
-9,43
-4,43
32,43
34,43
37,43
40,43
36,43
23,43
42,43
22,43
28,43
18,43
22,43
48,43
54,43
55,43
83,43
68,43
57,43
51,43
57,43
59,43
69,43
60,43
32,43
22,43
22,43
22,43
24,43
25,43
65,43
69,43
70,43
96,43
48,43
48,43
58,43
43,43
23,43
26,43
51,43
6,43
37,43
64,43
49,43
64,43
32,43
59,43
45,43
44,43
67,43
37,43
22,43
29,43
52,43
59,43
55,43
83,43
84,43
96,43
90,43
76,43
102,43
64,43
53,43
65,43
75,43
80,43
72,43
100,43
83,43
80,43
86,43
59,43
99,43
145,43
163,43
157,43
154,43
169,43
75,43
72,43
67,43
66,43
56,43
36,43
41,43
6,43
5,43
42,43
27,43
40,43
40,43
33,43
36,43
56,43
70,43
29,43
36,43
32,43
-26,43
11,43
23,43
17,43
10,43
33,43
9,43
40,43
25,43
26,43
23,43
20,43
4,43
12,43
4,43
1,43
4,43
13,43
-2,43
-7,43
10,43
10,43
23,43
24,43
4,43
16,43
38,43
51,43
68,43
42,43
39,43
38,43
22,43
-21,43
5,43
12,43
-7,43
-19,43
-17,43
-43,43
-83,43
-70,43
-87,43
-67,43
-58,43
107,43
72,43
117,43
134,43
130,43
144,43
119,43
107,43
115,43
98,43
120,43
103,43
99,43
132,43
136,43
137,43
136,43
146,43
124,43
104,43
90,43
104,43
88,43
59,43
97,43
105,43
72,43
83,43
115,43
104,43
64,43
71,43
76,43
93,43
112,43
107,43
136,43
138,43
208,43
182,43
202,43
245,43
220,43
248,43
265,43
241,43
279,43
293,43
272,43
293,43
276,43
266,43
245,43
211,43
169,43
141,43
83,43
81,43
39,43
11,43
267,43
274,43
234,43
202,43
181,43
160,43
117,43
90,43
74,43
41,43
6,43
-1,43
-67,43
-103,43
-109,43
-170,43
-227,43
-254,43
-281,43
-333,43
-361,43
-369,43
-376,43
-393,43
-409,43
-414,43
-424,43
-429,43
