raw_data,attention
-35,0
-12,0
-12,0
48,0
83,0
86,0
81,0
71,0
33,0
49,0
25,0
17,0
52,0
32,0
18,0
32,0
20,0
6,0
60,0
53,0
53,0
56,0
53,0
39,0
29,0
56,0
66,0
25,0
74,0
76,0
73,0
98,0
42,0
9,0
40,0
16,0
32,0
44,0
29,0
-9,0
6,0
-3,0
10,0
6,0
17,0
2,0
-2,0
-8,0
-12,0
-3,0
-4,0
1,0
35,0
28,0
38,0
35,0
36,0
17,0
26,0
24,0
18,0
25,0
26,0
50,0
32,0
17,0
10,0
8,0
2,0
16,0
24,0
51,0
51,0
21,0
26,0
19,0
4,0
7,0
-33,0
-28,0
26,0
9,0
42,0
74,0
68,0
59,0
71,0
-1,0
-3,0
5,0
28,0
53,0
65,0
57,0
71,0
49,0
34,0
67,0
65,0
70,0
37,0
53,0
21,0
-1,0
16,0
-4,0
-9,0
16,0
18,0
11,0
25,0
8,0
26,0
-4,0
10,0
34,0
52,0
44,0
33,0
10,0
12,0
36,0
17,0
20,0
40,0
17,0
2,0
34,0
29,0
36,0
52,0
48,0
69,0
53,0
67,0
65,0
51,0
19,0
21,0
54,0
29,0
45,0
67,0
52,0
90,0
116,0
140,0
208,0
229,0
299,0
357,0
-195,0
-166,0
-117,0
-123,0
-135,0
-100,0
-99,0
-97,0
-50,0
-39,0
-22,0
-4,0
2,0
-6,0
-5,0
3,0
27,0
19,0
41,0
66,0
71,0
41,0
55,0
77,0
67,0
81,0
103,0
69,0
92,0
93,0
57,0
54,0
37,0
32,0
53,0
52,0
51,0
66,0
67,0
58,0
38,0
76,0
74,0
106,0
137,0
188,0
220,0
288,0
323,0
331,0
342,0
394,0
450,0
465,0
512,0
535,0
503,0
468,0
445,0
395,0
384,0
339,0
277,0
237,0
221,0
-309,0
-305,0
-313,0
-301,0
-302,0
-262,0
-241,0
-222,0
-183,0
-177,0
-154,0
-115,0
-102,0
-117,0
-82,0
-53,0
-33,0
-4,0
19,0
16,0
9,0
32,0
65,0
147,0
155,0
186,0
300,0
336,0
401,0
504,0
-59,0
-33,0
-29,0
5,0
34,0
49,0
50,0
60,0
49,0
40,0
60,0
58,0
51,0
66,0
82,0
80,0
73,0
85,0
119,0
102,0
121,0
122,0
124,0
115,0
120,0
128,0
96,0
99,0
105,0
82,0
44,0
28,0
60,0
43,0
43,0
74,0
67,0
82,0
54,0
34,0
50,0
65,0
22,0
-1,0
3,0
24,0
83,0
70,0
58,0
49,0
43,0
69,0
49,0
58,0
102,0
106,0
87,0
51,0
57,0
50,0
57,0
42,0
65,0
18,0
17,0
23,0
25,0
16,0
13,0
34,0
48,0
50,0
50,0
65,0
29,0
8,0
-9,0
17,0
44,0
114,0
91,0
72,0
101,0
51,0
20,0
37,0
23,0
13,0
-7,0
8,0
20,0
20,0
35,0
16,0
-3,0
5,0
4,0
9,0
-8,0
19,0
37,0
33,0
53,0
83,0
53,0
37,0
48,0
49,0
52,0
65,0
66,0
65,0
58,0
25,0
35,0
42,0
36,0
51,0
50,0
38,0
66,0
54,0
33,0
38,0
40,0
40,0
37,0
19,0
375,0
359,0
381,0
390,0
371,0
401,0
363,0
298,0
267,0
289,0
241,0
182,0
132,0
45,0
22,0
-25,0
-86,0
-129,0
-150,0
-209,61
-237,61
-264,61
-281,61
-310,61
-345,61
-333,61
-311,61
-158,61
-206,61
-254,61
-249,61
-247,61
-275,61
-284,61
-291,61
-339,61
-356,61
-349,61
-323,61
-285,61
-284,61
-293,61
-283,61
-257,61
-200,61
-202,61
-193,61
-135,61
-121,61
-92,61
-82,61
-90,61
-62,61
-59,61
-22,61
-25,61
-28,61
114,61
116,61
108,61
107,61
117,61
92,61
65,61
40,61
107,61
96,61
130,61
136,61
147,61
136,61
97,61
121,61
108,61
97,61
91,61
56,61
61,61
67,61
44,61
38,61
22,61
49,61
67,61
53,61
66,61
60,61
32,61
58,61
61,61
60,61
80,61
55,61
12,61
41,61
13,61
22,61
34,61
32,61
29,61
12,61
3,61
27,61
8,61
22,61
55,61
12,61
7,61
16,61
9,61
17,61
64,61
17,61
38,61
38,61
7,61
27,61
34,61
35,61
33,61
41,61
52,61
52,61
-278,61
-328,61
-340,61
-372,61
-437,61
-465,61
-471,61
-525,61
-549,61
-550,61
-555,61
-549,61
-518,61
-500,61
-482,61
-466,61
-417,61
-394,61
-331,61
-264,61
-196,61
-165,61
-129,61
-124,61
-117,61
-85,61
-56,61
-56,61
-40,61
-6,61
8,61
-10,61
7,61
44,61
131,61
98,61
99,61
97,61
97,61
90,61
88,61
96,61
101,61
80,61
69,61
73,61
84,61
117,61
121,61
121,61
90,61
102,61
88,61
96,61
113,61
68,61
69,61
65,61
58,61
52,61
55,61
73,61
56,61
43,61
66,61
70,61
65,61
50,61
52,61
64,61
65,61
82,61
117,61
128,61
121,61
154,61
128,61
131,61
129,61
116,61
118,61
122,61
109,61
98,61
82,61
59,61
48,61
56,61
75,61
81,61
92,61
98,61
87,61
64,61
55,61
49,61
49,61
65,61
69,61
68,61
87,61
85,61
70,61
87,61
85,61
83,61
73,61
83,61
54,61
54,61
59,61
70,61
55,61
65,61
35,61
27,61
37,61
39,61
20,61
27,61
32,61
19,61
17,61
39,61
13,61
-11,61
1,61
20,61
-3,61
5,61
6,61
33,61
27,61
59,61
73,61
49,61
28,61
38,61
18,61
12,61
33,61
25,61
50,61
6,61
-19,61
22,61
23,61
27,61
59,61
56,61
17,61
37,61
50,61
37,61
38,61
27,61
32,61
61,61
22,61
27,61
36,61
27,61
18,61
3,61
-9,61
-20,61
-13,61
2,61
3,61
24,61
18,61
5,61
17,61
22,61
42,61
49,61
48,61
54,61
26,61
-10,61
60,61
114,61
134,61
160,61
152,61
149,61
124,61
112,61
106,61
113,61
87,61
20,61
28,61
7,61
33,61
35,61
43,61
33,61
4,61
27,61
19,61
19,61
23,61
19,61
24,61
21,61
4,61
5,61
1,61
34,61
3,61
12,61
-14,61
-1,61
21,61
82,61
84,53
115,53
152,53
137,53
445,53
359,53
321,53
258,53
156,53
89,53
37,53
-11,53
-86,53
-90,53
-122,53
-217,53
-257,53
-278,53
-279,53
-337,53
-330,53
-358,53
-373,53
-411,53
-437,53
-471,53
-490,53
-514,53
-489,53
-517,53
-535,53
-513,53
-508,53
-530,53
183,53
152,53
168,53
139,53
130,53
137,53
134,53
122,53
107,53
103,53
76,53
81,53
107,53
99,53
76,53
77,53
87,53
82,53
58,53
64,53
60,53
77,53
58,53
41,53
64,53
71,53
45,53
55,53
84,53
97,53
97,53
91,53
82,53
96,53
93,53
-568,53
-581,53
-558,53
-566,53
-539,53
-497,53
-467,53
-393,53
-323,53
-280,53
-267,53
-242,53
-210,53
-188,53
-141,53
-99,53
-82,53
-72,53
-54,53
-23,53
-29,53
-22,53
17,53
32,53
53,53
89,53
70,53
105,53
117,53
141,53
112,53
91,53
106,53
96,53
100,53
72,53
56,53
69,53
72,53
76,53
64,53
66,53
72,53
73,53
105,53
116,53
77,53
105,53
42,53
12,53
107,53
151,53
61,53
104,53
131,53
65,53
73,53
52,53
40,53
56,53
3,53
11,53
36,53
26,53
37,53
71,53
49,53
50,53
69,53
43,53
28,53
23,53
-2,53
25,53
9,53
9,53
8,53
0,53
49,53
58,53
69,53
68,53
92,53
54,53
17,53
26,53
39,53
28,53
27,53
72,53
35,53
-5,53
19,53
29,53
6,53
23,53
33,53
17,53
36,53
65,53
38,53
24,53
8,53
32,53
6,53
22,53
25,53
18,53
32,53
32,53
34,53
54,53
10,53
20,53
2,53
10,53
6,53
20,53
5,53
-4,53
-24,53
-33,53
-41,53
-22,53
20,53
26,53
-4,53
66,53
74,53
44,53
34,53
40,53
22,53
-10,53
-1,53
11,53
26,53
-1,53
41,53
28,53
-5,53
12,53
18,53
21,53
3,53
10,53
25,53
10,53
11,53
4,53
40,53
44,53
60,53
52,53
40,53
40,53
12,53
-5,53
-10,53
25,53
53,53
50,53
33,53
50,53
64,53
6,53
-5,53
25,53
-33,53
-20,53
43,53
57,53
21,53
75,53
90,53
48,53
82,53
61,53
75,53
61,53
25,53
51,53
44,53
29,53
24,53
39,53
35,53
45,53
7,53
16,53
-13,53
-2,53
2,53
-2,53
-3,53
36,53
29,53
48,53
4,53
42,53
34,53
41,53
17,53
50,53
49,53
39,53
32,53
45,53
24,53
28,53
57,53
37,53
26,53
52,53
19,53
6,53
27,53
49,53
37,53
36,53
44,53
73,53
54,53
74,53
39,53
5,53
19,53
24,53
24,53
34,53
48,53
36,53
38,53
32,53
25,53
25,53
-9,53
32,53
35,53
10,53
32,53
22,53
24,53
26,53
2,53
-1,53
32,53
29,53
21,53
48,53
38,53
18,53
19,53
51,53
41,53
21,53
35,53
33,53
5,53
36,53
32,53
28,53
18,53
54,53
48,53
59,53
68,53
35,53
19,53
40,53
28,53
25,53
6,53
24,53
27,53
39,53
57,53
68,53
52,53
35,53
37,53
76,53
42,53
53,53
86,53
56,53
70,53
40,53
12,53
34,53
13,53
19,53
41,53
65,53
68,53
103,53
115,53
89,53
58,53
80,53
86,53
38,53
40,53
74,53
105,53
113,53
135,53
153,53
209,53
220,53
234,53
240,53
250,53
221,53
299,53
379,53
345,53
-247,53
-196,53
-199,78
-213,78
-234,78
-209,78
-250,78
-278,78
-252,78
-247,78
-247,78
-250,78
-265,78
-259,78
-232,78
-218,78
-188,78
-187,78
-217,78
-152,78
-140,78
-147,78
-164,78
-158,78
-131,78
-125,78
-113,78
-109,78
2,78
25,78
-86,78
-120,78
-130,78
-220,78
-289,78
-253,78
-329,78
-349,78
-387,78
-452,78
-466,78
-433,78
-446,78
-429,78
-396,78
-385,78
-385,78
-408,78
-374,78
-334,78
-311,78
-328,78
-286,78
-253,78
-232,78
-209,78
-215,78
-174,78
-178,78
-110,78
-84,78
-89,78
-78,78
92,78
112,78
86,78
80,78
104,78
105,78
116,78
116,78
91,78
65,78
85,78
102,78
87,78
88,78
98,78
74,78
119,78
120,78
92,78
96,78
101,78
81,78
53,78
42,78
12,78
83,78
176,78
84,78
118,78
135,78
53,78
35,78
70,78
36,78
28,78
40,78
12,78
34,78
8,78
27,78
21,78
35,78
49,78
65,78
42,78
60,78
44,78
35,78
0,78
28,78
43,78
43,78
61,78
82,78
96,78
76,78
50,78
24,78
34,78
22,78
44,78
7,78
70,78
75,78
33,78
45,78
37,78
42,78
12,78
11,78
-11,78
34,78
6,78
-9,78
0,78
17,78
-3,78
-6,78
4,78
-38,78
3,78
-8,78
-2,78
32,78
17,78
12,78
39,78
25,78
41,78
49,78
34,78
55,78
38,78
56,78
59,78
56,78
60,78
27,78
34,78
41,78
42,78
42,78
32,78
37,78
27,78
38,78
-3,78
6,78
5,78
-11,78
0,78
33,78
37,78
10,78
16,78
9,78
34,78
-5,78
17,78
8,78
16,78
33,78
13,78
11,78
23,78
53,78
50,78
33,78
50,78
32,78
11,78
10,78
29,78
37,78
32,78
21,78
0,78
-11,78
-8,78
4,78
32,78
29,78
50,78
25,78
33,78
21,78
35,78
40,78
38,78
42,78
50,78
38,78
21,78
24,78
23,78
44,78
36,78
52,78
28,78
18,78
43,78
44,78
39,78
33,78
45,78
11,78
