raw_data,attention
84,47
113,47
99,47
130,47
113,47
85,47
150,47
184,47
180,47
183,47
167,47
154,47
123,47
105,47
54,47
74,47
83,47
54,47
101,47
124,47
65,47
68,47
26,47
-10,47
-25,47
-45,47
-34,47
-66,47
-56,47
-23,47
-33,47
-41,47
-44,47
-71,47
-57,47
-44,47
-75,47
-118,47
-121,47
-100,47
-115,47
-110,47
-87,47
-98,47
-102,47
-108,47
-97,47
-78,47
-71,47
-38,47
-40,47
-18,47
0,47
-23,47
13,47
17,47
-5,47
33,47
39,47
60,47
80,47
68,47
109,47
55,47
49,47
48,47
22,47
76,47
60,47
12,47
51,47
44,47
40,47
22,47
44,47
43,47
6,47
11,47
16,47
-35,47
-9,47
-17,47
-2,47
6,47
-21,47
-20,47
8,47
-22,47
2,47
12,47
24,47
20,47
20,47
55,47
60,47
65,47
65,47
23,47
19,47
-10,47
24,47
87,47
92,47
122,47
120,47
117,47
161,47
134,47
149,47
130,47
85,47
114,47
102,47
66,47
82,47
76,47
59,47
68,47
76,47
119,47
100,47
102,47
154,47
153,47
176,47
193,47
181,47
194,47
161,47
149,47
164,47
199,47
193,47
176,47
200,47
180,47
144,47
169,47
137,47
137,47
160,47
137,47
157,47
123,47
137,47
130,47
113,47
115,47
64,47
69,47
140,47
80,47
104,47
103,47
80,47
86,47
42,47
48,47
80,47
80,47
74,47
74,47
86,47
64,47
72,47
124,47
97,47
71,47
101,47
84,47
98,47
108,47
88,47
113,47
84,47
72,47
53,47
28,47
57,47
51,47
52,47
54,47
58,47
70,47
67,47
51,47
56,47
35,47
25,47
23,47
9,47
7,47
16,47
57,47
24,47
5,47
41,47
-17,47
-22,47
-19,47
-46,47
-21,47
-39,47
-29,47
12,47
-7,47
6,47
3,47
-4,47
16,47
7,47
17,47
36,47
23,47
27,47
25,47
41,47
97,47
65,47
77,47
50,47
28,47
88,47
55,47
69,47
44,47
25,47
54,47
54,47
36,47
27,47
1,47
53,47
20,47
-2,47
32,47
-12,47
-38,47
-66,47
-93,47
-54,47
-67,47
-59,47
-28,47
-59,47
-11,47
-26,47
-55,47
-65,47
-82,47
-29,47
-67,47
-67,47
-46,47
-60,47
-36,47
-29,47
-46,47
-1,47
4,47
-13,47
1,47
4,47
9,47
19,47
-5,47
-8,47
-10,47
-14,47
38,47
35,47
61,47
57,47
44,47
49,47
25,47
55,47
100,47
90,47
131,47
142,47
144,47
140,47
118,47
130,47
145,47
133,47
138,47
116,47
92,47
88,47
40,47
36,47
41,47
57,47
59,47
24,47
71,47
41,47
4,47
13,47
-14,47
-19,47
17,47
84,47
87,47
23,47
49,47
65,47
17,47
35,47
0,47
17,47
2,47
-20,47
-17,47
9,47
22,47
43,47
39,47
58,47
69,47
36,47
85,47
60,47
67,47
75,47
70,47
106,47
69,47
64,47
72,47
56,47
60,47
38,47
40,47
32,47
13,47
68,47
35,47
-3,47
33,47
-2,47
-20,47
9,47
-72,47
-100,47
-100,47
-62,47
-23,47
-14,47
33,47
21,47
5,47
10,47
20,47
17,47
4,47
27,47
12,47
-30,47
4,47
9,47
-33,47
-33,47
-17,47
-25,47
