raw_data,attention
34,57
13,57
17,57
89,57
97,57
99,57
60,57
53,57
24,57
37,57
52,57
73,57
74,57
53,57
54,57
4,57
48,57
67,57
36,57
59,57
58,57
37,57
45,57
42,57
68,57
41,57
17,57
32,57
35,57
51,57
88,57
55,57
92,57
49,57
60,57
23,57
34,57
33,57
41,57
42,57
-1,57
16,57
22,57
58,57
56,57
39,57
37,57
51,57
57,57
66,57
68,57
29,57
42,57
36,57
26,57
3,57
2,57
41,57
23,57
24,57
58,57
32,57
21,57
12,57
-2,57
6,57
6,57
41,57
-18,57
22,57
42,57
37,57
28,57
51,57
82,57
71,57
56,57
61,57
72,57
64,57
24,57
64,57
93,57
100,57
77,57
96,57
102,57
64,57
68,57
115,57
113,57
105,57
96,57
56,57
75,57
65,57
86,57
80,57
90,57
71,57
52,57
92,57
87,57
122,57
103,57
98,57
96,57
83,57
99,57
113,57
107,57
90,57
70,57
28,57
52,57
24,57
33,57
48,57
29,57
36,57
22,57
50,57
68,57
48,57
17,57
10,57
23,57
48,57
-1,57
24,57
18,57
16,57
21,57
11,57
36,57
6,57
9,57
67,57
98,57
42,57
27,57
60,57
40,57
11,57
39,57
34,57
-2,57
-2,57
19,57
18,57
35,57
44,57
53,57
52,57
12,57
-8,57
-27,57
-30,57
1,57
22,57
-3,57
6,57
8,57
13,57
-12,57
9,57
18,57
7,57
40,57
53,57
43,57
32,57
49,57
6,57
-28,57
10,57
35,57
27,57
5,57
23,57
20,57
18,57
7,57
23,57
59,57
36,57
-13,57
-23,57
-28,57
-36,57
-5,57
9,57
8,57
33,57
20,57
-1,57
8,57
53,57
77,57
66,57
40,57
65,57
59,57
18,57
24,57
21,57
17,57
3,57
-13,57
-2,57
-6,57
-5,57
6,57
27,57
25,57
54,57
71,57
97,57
82,57
69,57
51,57
91,57
53,57
38,57
40,67
25,67
22,67
21,67
29,67
38,67
61,67
59,67
58,67
70,67
53,67
25,67
39,67
72,67
33,67
44,67
98,67
82,67
54,67
67,67
56,67
83,67
89,67
68,67
52,67
41,67
18,67
50,67
54,67
81,67
59,67
45,67
53,67
41,67
24,67
18,67
26,67
25,67
35,67
12,67
33,67
32,67
10,67
7,67
6,67
11,67
38,67
41,67
35,67
54,67
26,67
27,67
7,67
7,67
32,67
33,67
36,67
58,67
23,67
21,67
64,67
43,67
20,67
37,67
66,67
66,67
58,67
81,67
77,67
20,67
9,67
2,67
17,67
36,67
-9,67
26,67
34,67
-18,67
5,67
39,67
12,67
39,67
23,67
55,67
57,67
32,67
18,67
50,67
27,67
16,67
58,67
20,67
-18,67
-14,67
-28,67
4,67
7,67
1,67
22,67
-2,67
-20,67
33,67
9,67
-1,67
28,67
24,67
66,67
72,67
53,67
32,67
38,67
58,67
64,67
59,67
66,67
50,67
28,67
59,67
50,67
11,67
33,67
39,67
12,67
2,67
6,67
32,67
57,67
40,67
23,67
29,67
2,67
-20,67
-7,67
-6,67
1,67
4,67
-6,67
-2,67
21,67
33,67
23,67
32,67
26,67
51,67
56,67
59,67
23,67
12,67
60,67
49,67
25,67
12,67
2,67
-10,67
0,67
44,67
115,67
72,67
26,67
33,67
74,67
53,67
57,67
65,67
64,67
69,67
39,67
42,67
50,67
48,67
12,67
-12,67
1,67
-2,67
12,67
11,67
5,67
57,67
42,67
42,67
51,67
22,67
12,67
6,67
1,67
19,67
21,67
38,67
24,67
18,67
38,67
28,67
27,67
56,67
50,67
35,67
50,67
42,67
45,67
71,67
45,67
57,67
43,67
9,67
24,67
53,67
50,67
48,67
42,67
28,67
55,67
50,67
28,67
5,67
6,67
16,67
28,67
81,67
55,67
64,67
68,67
37,67
27,67
48,67
69,67
73,67
74,67
20,67
40,67
36,67
39,67
11,67
36,67
5,67
16,67
16,67
12,67
40,67
37,67
33,67
32,67
36,67
33,67
39,67
9,67
57,67
35,67
26,67
18,67
17,67
24,67
42,67
41,67
35,67
52,67
72,67
82,67
59,67
37,67
5,67
35,67
3,67
4,67
32,67
23,67
2,67
18,67
-12,67
4,67
44,67
22,67
56,67
44,67
37,67
16,67
17,67
23,67
27,67
36,67
59,67
28,67
60,67
54,67
50,67
65,67
56,67
42,67
28,67
21,67
16,67
4,67
98,67
69,67
51,67
43,67
50,67
37,67
21,67
18,67
37,67
58,67
51,67
67,67
52,67
29,67
10,67
5,67
-2,67
7,67
7,67
2,67
17,67
-28,67
-3,67
10,67
19,67
10,67
33,67
33,67
29,67
39,67
68,67
49,67
29,67
75,67
41,67
16,67
38,67
65,67
68,67
38,67
98,67
75,67
88,67
76,67
81,67
40,67
-4,67
-26,67
-24,67
19,67
6,67
-1,67
-17,67
6,67
35,67
-11,67
-19,67
38,67
13,67
11,67
17,67
40,67
29,67
4,67
-1,67
-6,67
1,67
33,67
5,67
53,67
21,67
27,67
32,67
53,67
75,67
66,67
52,67
32,67
34,67
41,67
-3,67
19,67
22,67
66,67
11,67
37,67
38,67
38,67
39,67
44,67
13,67
-6,67
10,67
23,67
-11,67
16,67
41,67
37,67
55,67
49,67
52,67
29,67
-28,67
-11,67
29,67
44,67
52,67
50,67
74,67
65,67
45,67
70,67
64,67
59,67
38,67
59,67
50,67
55,67
53,67
43,67
32,67
35,67
51,67
101,67
73,67
38,67
37,67
24,67
51,67
52,67
49,67
85,67
54,67
45,67
16,67
21,67
65,67
19,67
24,67
35,67
36,67
29,67
10,67
16,67
50,67
69,67
4,67
26,67
37,67
55,67
9,67
17,67
64,67
48,67
-19,67
12,67
82,67
53,67
55,67
33,67
68,67
23,67
-3,67
-11,67
-24,67
7,67
22,67
8,67
17,67
23,67
8,67
13,67
72,67
71,67
92,67
64,67
55,67
60,67
42,67
67,67
71,67
81,67
50,67
68,67
36,67
39,67
41,67
57,67
36,67
44,67
34,67
59,67
82,67
58,67
69,67
85,67
37,67
32,67
49,67
66,67
18,67
32,67
44,67
37,67
-8,67
12,67
89,67
42,67
34,67
82,67
75,67
56,67
4,67
76,67
98,67
101,67
44,67
66,67
70,67
66,67
44,67
44,67
38,67
7,67
49,67
37,67
4,67
28,67
20,67
33,67
18,67
48,67
56,67
27,67
48,67
42,67
37,67
28,67
35,67
32,67
33,67
37,67
32,67
67,67
74,67
70,67
48,67
12,67
1,67
20,67
20,67
68,67
72,67
26,67
28,67
36,67
34,67
51,67
76,67
59,67
55,67
82,67
27,67
13,67
32,67
19,67
5,67
49,67
48,67
52,67
52,67
41,67
27,67
25,67
35,67
38,67
24,67
43,67
66,67
-13,67
-19,67
11,67
10,67
43,67
51,67
23,67
51,67
25,67
12,67
48,67
35,67
33,67
18,67
9,67
26,67
28,67
50,67
33,67
7,67
12,67
24,67
50,67
24,67
43,67
57,67
0,67
-29,67
21,67
22,67
43,67
43,67
27,67
26,67
18,67
65,67
42,67
41,67
87,67
54,67
22,67
71,67
56,67
61,67
83,67
43,67
11,67
-1,67
8,67
-7,67
0,67
-8,67
5,67
-10,67
-22,67
1,67
-8,67
6,67
-45,67
-33,67
3,67
16,67
27,67
-1,67
-6,67
-10,67
-14,67
25,67
27,67
-2,67
27,67
8,67
-34,67
-5,67
-12,67
-20,67
44,67
33,67
36,67
24,67
42,67
7,67
-2,67
-23,67
4,67
52,67
26,67
27,67
56,67
17,67
22,67
71,67
-36,67
3,67
45,67
25,67
20,67
42,67
-6,67
-11,67
18,67
53,67
35,67
35,67
53,67
28,67
11,67
-14,67
0,67
35,67
43,67
51,67
7,67
35,67
97,67
88,67
41,67
