raw_data,attention
28,44
7,44
9,44
-9,44
-43,44
-94,44
-21,44
-8,44
-62,44
-98,44
-123,44
-104,44
-149,44
-121,44
-103,44
-78,44
-66,44
-51,44
-70,44
-18,44
1,44
11,44
12,44
7,44
10,44
75,44
43,44
18,44
27,44
81,44
74,44
76,44
117,44
138,44
103,44
81,44
92,44
68,44
83,44
135,44
106,44
100,44
139,44
133,44
150,44
101,44
114,44
88,44
115,44
150,44
109,44
187,44
186,44
138,44
56,44
-7,44
-40,44
35,44
80,44
49,44
-8,44
21,44
2,44
-52,44
-41,44
-17,44
-10,44
27,44
19,44
91,44
50,44
49,44
13,44
2,44
65,44
112,44
178,44
231,44
146,44
133,44
74,44
42,44
57,44
20,44
37,44
41,44
56,44
42,44
19,44
75,44
164,44
97,44
71,44
43,44
3,44
7,44
0,44
49,44
85,44
131,44
119,44
113,44
130,44
135,44
108,44
72,44
69,44
74,44
104,44
133,44
152,44
157,44
177,44
116,44
50,44
43,44
53,44
56,44
85,44
122,44
130,44
102,44
129,44
67,44
44,44
84,44
50,44
35,44
33,44
16,44
65,44
64,44
48,44
57,44
107,44
91,44
26,44
36,44
6,44
12,44
0,44
-1,44
-43,44
-59,44
-37,44
-50,44
-45,44
7,44
19,44
66,44
81,44
29,44
-4,44
-39,44
-58,44
-86,44
-44,44
-13,44
10,44
27,44
35,44
89,44
134,44
113,44
122,44
135,44
84,44
17,44
51,44
25,44
-10,44
19,44
32,44
55,44
74,44
67,44
86,44
86,44
53,44
66,44
109,44
23,44
-13,44
13,44
-23,44
-65,44
2,44
34,44
39,44
54,44
34,44
18,44
116,44
100,44
64,44
107,44
84,44
37,44
39,44
56,44
100,44
125,44
133,44
146,44
86,44
-11,44
5,44
27,44
24,44
19,44
65,44
17,44
6,44
33,44
40,44
43,44
112,44
73,44
51,44
25,44
-14,44
-67,44
-54,44
-93,44
-46,44
-24,44
22,44
32,44
-2,44
-17,44
57,44
66,44
91,44
93,44
53,44
80,44
70,44
58,44
19,44
52,44
41,44
50,44
121,44
102,44
106,44
37,44
40,44
112,44
107,44
76,44
107,44
115,44
37,44
103,44
141,44
130,44
183,44
155,44
106,44
140,44
121,44
85,44
89,44
99,44
117,44
122,44
122,44
135,44
81,44
85,44
72,44
87,44
91,44
131,44
76,44
45,44
40,44
28,44
-7,44
9,44
-17,44
-9,44
-13,44
-28,44
-52,44
-84,44
-33,44
23,44
-24,44
10,44
52,44
33,44
56,44
82,44
39,44
91,44
70,44
27,44
12,44
67,44
51,44
68,44
45,44
43,44
7,44
-36,44
65,44
36,44
4,44
6,44
-27,44
-33,44
-33,44
-39,44
-75,44
-53,44
-93,44
-170,44
-174,44
-133,44
-60,44
-107,44
-73,44
-9,44
-41,44
-42,44
34,44
2,44
-42,44
-9,44
7,44
-10,44
-10,44
-20,44
-18,44
24,44
-8,44
-40,44
-18,44
11,44
23,44
50,44
38,44
21,44
-19,44
-23,44
-22,44
-9,44
85,44
50,44
2,44
-14,44
33,44
-22,44
24,44
9,44
-40,44
-6,44
-104,44
-59,44
16,44
22,44
-3,44
18,44
-7,44
-14,44
25,44
34,44
53,44
68,44
108,44
114,44
84,44
91,44
80,44
37,44
37,44
25,44
40,44
67,44
98,44
107,44
119,44
117,44
136,44
113,44
74,44
93,44
66,44
35,44
-1,44
-4,44
8,44
52,44
34,44
32,44
52,44
85,44
56,44
71,44
45,44
43,44
41,44
96,44
133,44
73,44
91,44
56,44
5,44
-12,44
40,54
98,54
135,54
44,54
32,54
4,54
-71,54
-69,54
5,54
41,54
48,54
91,54
42,54
5,54
-34,54
-69,54
-10,54
59,54
72,54
49,54
73,54
34,54
-25,54
-34,54
-33,54
59,54
67,54
26,54
29,54
-1,54
-2,54
23,54
17,54
41,54
71,54
42,54
-1,54
35,54
80,54
107,54
125,54
133,54
147,54
161,54
164,54
130,54
106,54
150,54
212,54
211,54
184,54
160,54
80,54
82,54
32,54
27,54
76,54
107,54
100,54
74,54
107,54
101,54
22,54
-25,54
10,54
-24,54
6,54
-11,54
-24,54
-36,54
-9,54
49,54
73,54
76,54
83,54
85,54
97,54
152,54
187,54
120,54
86,54
141,54
135,54
135,54
100,54
134,54
125,54
83,54
101,54
59,54
70,54
69,54
-9,54
-13,54
43,54
57,54
97,54
54,54
35,54
2,54
25,54
27,54
28,54
49,54
21,54
10,54
-7,54
33,54
39,54
37,54
81,54
84,54
195,54
196,54
116,54
121,54
176,54
125,54
116,54
141,54
153,54
182,54
177,54
138,54
153,54
137,54
161,54
218,54
149,54
183,54
112,54
84,54
39,54
59,54
88,54
55,54
3,54
-40,54
-38,54
-72,54
-86,54
-51,54
-41,54
-45,54
23,54
106,54
57,54
56,54
12,54
69,54
108,54
54,54
96,54
118,54
100,54
102,54
104,54
107,54
117,54
65,54
76,54
74,54
73,54
89,54
109,54
124,54
154,54
96,54
39,54
48,54
-23,54
-24,54
-2,54
-37,54
-23,54
-57,54
-6,54
-2,54
4,54
21,54
57,54
51,54
50,54
68,54
19,54
-61,54
-33,54
57,54
38,54
92,54
144,54
98,54
50,54
98,54
108,54
132,54
133,54
81,54
61,54
84,54
77,54
57,54
58,54
7,54
35,54
11,54
26,54
76,54
72,54
-5,54
-17,54
-76,54
-113,54
-58,54
-38,54
-24,54
-30,54
-24,54
-46,54
-23,54
4,54
8,54
3,54
-19,54
9,54
23,54
57,54
116,54
76,54
61,54
75,54
76,54
97,54
65,54
49,54
69,54
49,54
66,54
37,54
29,54
26,54
57,54
55,54
45,54
54,54
96,54
32,54
66,54
51,54
58,54
25,54
53,54
44,54
53,54
20,54
37,54
51,54
44,54
34,54
-19,54
7,54
12,54
22,54
107,54
88,54
105,54
148,54
84,54
58,54
104,54
21,54
2,54
33,54
56,54
33,54
12,54
82,54
41,54
25,54
59,54
4,54
-23,54
-52,54
-98,54
-130,54
-90,54
-91,54
-101,54
-76,54
-69,54
-34,54
-13,54
-26,54
-13,54
-1,54
-41,54
-6,54
10,54
44,54
52,54
18,54
-1,54
-36,54
8,54
41,54
70,54
43,54
24,54
11,54
-40,54
-28,54
-37,54
-34,54
1,54
-23,54
21,54
26,54
33,54
25,54
7,54
23,54
24,54
-4,54
-53,54
