raw,attention
58,54
37,54
26,54
26,54
18,54
5,54
4,54
2,54
-2,54
-1,54
18,54
37,54
12,54
-17,54
-9,54
5,54
0,54
-21,54
-13,44
16,44
8,44
-17,44
-36,44
-7,44
26,44
40,44
43,44
34,44
21,44
11,44
8,44
28,44
59,44
89,44
102,44
89,44
64,44
18,44
1,44
21,44
51,44
70,44
59,44
34,44
36,44
41,44
37,44
36,44
48,44
55,44
28,44
8,44
16,44
20,44
22,44
33,44
49,44
28,44
-2,44
38,44
92,44
70,44
19,44
8,44
28,44
50,44
51,44
59,44
75,44
49,44
23,44
36,44
53,44
57,44
51,44
55,44
64,44
59,44
23,44
0,44
12,44
36,44
40,44
32,44
26,44
22,44
41,44
70,44
80,44
70,44
49,44
50,44
66,44
76,44
81,44
89,44
97,44
80,44
36,44
2,44
17,44
44,44
59,44
64,44
42,44
19,44
38,44
44,44
29,44
27,44
35,44
17,44
-13,44
-26,44
-18,44
-7,44
-8,44
11,44
34,44
12,44
0,44
5,44
19,44
45,44
48,44
39,44
56,44
71,44
96,44
73,44
25,44
25,44
39,44
52,44
75,44
67,44
37,44
25,44
38,44
64,44
69,44
45,44
37,44
35,44
27,44
19,44
6,44
6,44
20,44
53,44
58,44
24,44
3,44
-5,44
0,44
18,44
21,44
16,44
25,44
28,44
13,44
9,44
12,44
13,44
10,44
24,44
26,44
23,44
43,44
24,44
-4,44
-5,44
6,44
17,44
25,44
16,44
-17,44
4,44
45,44
21,44
-7,44
3,44
22,44
33,44
34,44
43,44
44,44
21,44
-6,44
0,44
41,44
81,44
61,44
23,44
9,44
28,44
50,44
55,44
66,44
64,44
21,44
8,44
19,44
10,44
6,44
25,44
44,44
18,44
-10,44
16,44
57,44
58,44
26,44
19,44
23,44
20,44
18,44
18,44
8,44
7,44
33,44
55,44
53,44
42,44
37,44
48,44
54,44
33,44
5,44
-40,44
-40,44
4,44
1,44
-53,44
-94,44
-84,44
-43,44
-10,44
-12,44
-51,44
-42,44
21,44
59,44
53,44
57,44
67,44
65,44
72,44
69,44
65,44
68,44
75,44
93,44
101,44
54,44
4,44
-3,44
25,44
53,44
43,44
24,44
39,44
57,44
44,44
29,44
25,44
19,44
34,44
72,44
69,44
52,44
57,44
83,44
96,44
57,44
8,44
-3,44
18,44
