raw_data,attention
128,63
-13,63
-6,63
109,63
-54,63
100,63
9,63
-41,63
80,63
-82,63
56,63
36,63
-55,63
96,63
-24,63
4,63
25,63
-104,63
61,63
5,63
18,63
80,63
-41,63
93,63
19,63
-38,63
37,63
-87,63
52,63
70,63
-52,63
90,63
-18,63
41,63
73,63
-61,63
98,63
-13,63
8,63
89,63
-39,63
124,63
28,63
-12,63
117,63
-44,63
64,63
22,63
-27,63
123,63
7,63
67,63
100,63
-40,63
89,63
6,63
7,63
84,63
-43,63
121,63
42,63
-2,63
108,63
-40,63
80,63
99,63
-2,63
116,63
-28,63
17,63
68,63
-54,63
88,63
0,63
16,63
121,63
-27,63
98,63
67,63
-12,63
137,63
-29,63
50,63
60,63
-19,63
155,63
6,63
38,63
57,63
-88,63
27,63
144,63
171,63
72,63
-152,63
-40,63
55,63
43,63
44,63
-4,63
16,63
24,63
22,63
71,63
-6,63
20,63
53,63
-12,63
26,63
-27,63
-53,63
9,63
-56,63
8,63
9,63
-34,63
26,63
-30,63
29,63
33,63
-43,63
85,63
23,63
43,63
56,63
12,63
114,63
49,63
70,63
118,63
26,63
97,63
123,63
44,63
115,63
57,63
99,63
96,63
23,63
105,63
51,63
86,63
116,63
27,63
119,63
71,63
52,63
113,63
52,63
91,63
82,63
60,63
154,63
76,63
89,63
122,63
21,63
105,63
67,63
75,63
128,63
16,63
103,63
61,63
41,63
65,63
-26,63
18,63
6,63
-69,63
0,63
-69,63
-17,63
7,63
-46,63
44,63
-3,63
-13,63
37,63
-3,63
67,63
1,63
-22,63
26,63
-46,63
-4,63
4,63
-2,63
55,63
2,63
-13,63
75,63
-4,63
-3,63
17,63
-87,63
-7,63
-25,63
-9,63
50,63
-11,63
73,63
0,63
-41,63
44,63
-18,63
6,63
23,63
-24,63
58,63
11,63
22,63
41,63
3,63
65,63
11,63
-22,63
8,63
-11,63
51,63
68,63
-11,63
20,63
-46,63
13,63
33,63
-14,63
87,63
19,63
17,63
75,63
-8,63
49,63
42,63
2,63
72,63
16,63
54,63
29,63
1,63
92,63
35,63
81,63
26,63
-36,63
105,63
67,63
68,63
123,63
85,63
105,63
86,63
87,63
121,63
37,63
99,63
61,63
16,63
86,63
29,63
77,63
56,63
-7,63
80,63
21,63
41,63
75,63
7,63
81,63
33,63
23,63
69,63
4,63
82,63
44,63
0,63
100,63
26,63
45,63
49,63
34,63
83,63
16,63
1,63
40,63
-29,63
33,63
28,63
12,63
60,63
-22,63
19,63
16,63
-40,63
33,63
-24,63
19,63
19,63
-90,63
-4,63
-36,63
-46,63
-3,63
-62,63
-24,63
-29,63
-65,63
7,63
-7,63
9,63
2,63
-24,63
52,63
7,63
56,63
66,63
-12,63
41,63
32,63
22,63
34,63
-19,63
99,63
39,63
-24,63
