Delta,Theta,Alpha,Beta,Gamma,Attention
6.22207045569,4.97427299885,4.85265752057,10.8666724474,4.53014070151,1
4.11659244823,2.43954760614,2.01252506364,4.94620367336,2.30565972532,1
5.17149343265,2.57576372573,1.03046651546,2.26755560582,1.1063970614,1
6.2026314255,2.46316083542,0.476390254491,0.74444302558,0.339790731136,1
6.77207307424,2.39806734761,0.315938697538,0.37275972638,0.145061897367,1
7.02062280315,2.3071139788,0.254518064868,0.272111441139,0.0899998258431,1
7.1382552703,2.21132578544,0.232536082111,0.25668770097,0.0786232541352,1
6.9744521488,2.05660449342,0.238673452465,0.284698253666,0.0918672102362,1
6.51481549521,1.8653679716,0.307089508812,0.381179134604,0.14487120429,1
5.42166512527,1.67580637507,0.527955845865,0.655632636832,0.299701973636,1
4.00583335324,1.91260850194,1.05534717043,1.4764135144,0.69993125177,1
4.25057420134,3.44221835466,2.05936652636,3.95429245051,1.59208334248,1
4.33098036542,3.87097472544,2.45465247013,5.73722672106,1.96786526265,1
4.35311902387,3.98605994198,3.33544670418,7.11270301356,2.37209936672,1
3.34421126161,3.08907795077,3.6799713114,6.01320066977,2.25013643597,1
2.96008060921,2.745368104,4.34222534707,5.24722805007,2.41113462337,1
2.86016717264,2.60574299158,4.87887880494,4.64934426331,2.66839717894,1
3.77620218486,3.11332246486,6.51165971234,5.63450879703,3.79122773392,1
4.52374512066,3.40580610559,7.29061701195,7.05208235562,4.88704914053,1
4.09231039965,3.12135505568,6.38188281846,7.71020080706,5.24204213955,1
3.20803193975,2.45592734852,4.62057887724,7.17748904469,4.8291507365,1
3.6694805423,2.61465125447,4.09930083546,8.10313378981,5.35879213006,1
4.83802429421,3.15401629836,4.00865200634,9.35311188665,5.59185711271,1
6.48530900593,4.57523118384,4.91885530481,11.8153247997,5.78844291452,1
4.97185913986,4.73136424035,4.51397645573,9.91101631888,3.99104613078,1
2.77531119162,4.08639456391,3.51660177929,6.79028294373,2.61958076565,1
1.69188745461,3.7012571407,3.15277325786,5.20887219027,2.2466836615,1
1.41971332319,3.36997338742,3.32791318153,4.6442468057,2.27196325615,1
1.6975534839,2.92196152566,3.63013343099,4.38984243214,2.30076074361,1
2.2881271199,2.70731677357,3.75175659663,4.18421825596,2.31422737422,1
3.05254727533,2.940763074,3.73110473688,4.15712564088,2.43727905612,1
4.526888569,3.3210351249,3.73035789657,4.33124586834,2.57724694483,1
3.9139827567,1.29891308131,1.61143307829,1.71574854777,0.91068146965,1
4.57158459818,0.685738882639,0.945291438209,0.851407861827,0.371968659157,1
4.9865157638,0.510394194054,0.636281098825,0.525771239575,0.198261467482,1
4.69751200832,0.436190763115,0.4243840467,0.357171649079,0.131474357814,1
4.23675599981,0.436371792184,0.305015275172,0.282307263855,0.113350883481,1
3.82277104567,0.552082668968,0.262671487976,0.274821708942,0.125272307335,1
4.14367564196,0.906565182318,0.332791481878,0.359180218783,0.174649646294,1
4.02391296908,0.881187295336,0.288608883682,0.29824971866,0.131897704753,1
4.94500334889,0.793049395481,0.248708308398,0.255729598033,0.0932608215164,1
6.04795335911,0.76625674612,0.239477540083,0.258493094449,0.0800810263065,1
6.78668650283,0.753808284988,0.245654605476,0.294844006163,0.0862986545998,1
6.18892592739,0.683515878734,0.242437449839,0.340426484226,0.105341502719,1
4.8659716813,0.683601607322,0.264987572279,0.445025602052,0.154550123609,1
4.11557131078,1.04631742332,0.410069929477,0.774582655415,0.290420161405,1
