Delta,Theta,Alpha,Beta,Gamma,Attention
2.25141459069,4.07749751342,1.84520532765,2.62549965957,2.67446311692,2
1.64871375447,3.23383895622,1.07704545505,1.82907433715,2.29119531321,2
1.73878728879,2.70423345589,0.949276009252,1.75523023992,2.56281116038,2
1.94628237224,2.11921143741,1.28884635731,1.85592799865,2.94342202984,2
1.73949199607,1.51269325611,1.70596729482,1.72824745501,2.82370103412,2
1.47765609427,1.22741879648,2.02738154349,1.65949409454,2.69940002148,2
1.35796456565,1.12289795827,2.01536680437,1.65828643895,2.59129663725,2
1.44920954151,1.39527184834,1.89059533908,1.87395777877,2.69866272054,2
1.6185114223,1.86943289691,1.78330206074,2.18662891488,2.92600501374,2
1.65092116264,2.07478201919,1.68538313521,2.38551452492,3.10498389083,2
1.49318151233,1.81812946512,1.65737745248,2.28397009327,3.22002103156,2
1.6735925814,1.37565915378,1.98023621356,2.03545623811,3.37481725356,2
2.82414652118,0.868761590832,1.14208280911,0.932079797358,1.66763910813,2
3.30317242084,0.723229339275,0.421235760875,0.316116402158,0.443098890066,2
4.09150705164,0.74684650222,0.223486707643,0.175852095164,0.17001759657,2
4.06752387221,0.588799420272,0.121683936745,0.104556488031,0.0764153095213,2
3.94578925697,0.452292925878,0.0832881076295,0.0698249747165,0.0440150047815,2
3.88875070426,0.372220765254,0.0888574539186,0.0594005834233,0.0327291884544,2
3.66301048574,0.383440251323,0.164063489702,0.0765425428651,0.0313825388131,2
3.45282185695,0.621105982113,0.376944934643,0.151887545207,0.0440057904422,2
3.55399811363,1.2606735478,0.810979637273,0.337508545547,0.0851251462408,2
4.56206542006,2.1954946107,1.21888840591,0.627886648891,0.174073589993,2
3.50383521601,1.34511485062,0.522071097797,0.415855118965,0.141173278467,2
3.52545846964,0.97340632455,0.206798493745,0.311176082477,0.127117955989,2
4.16878293787,0.996063460921,0.124479710083,0.296924970727,0.142094708687,2
5.08228017397,1.13680414055,0.136862295142,0.324424091097,0.191472191669,2
4.35987324492,1.021728732,0.178463055916,0.317378378657,0.246568075366,2
3.38079391878,1.02078776487,0.352619291687,0.459518123645,0.422137280933,2
3.91749392497,1.70560237722,1.02478850043,1.20035167572,1.15238531161,2
4.27087499551,1.72007605858,1.55374839521,1.85471513254,1.94567333967,2
4.26152650107,1.1820976972,1.59216457286,2.15943848887,2.69074439351,2
