delta,theta,alpha,beta,gama,Raw Data,Color
2.66280343752e-06,2.66280343752e-06,2.77474990459e-05,0.00660112925518,0.021645395198,229,blue
3.17343723001e-05,3.14363678343e-05,0.000314765360106,0.0624865166278,0.131723501212,68,blue
0.000186241494076,0.00018213284148,0.00173041534368,0.267447629167,0.22589510966,-149,blue
0.000731608405618,0.0007033640646,0.00624590559243,0.678441648248,-0.256817341003,368,blue
0.0022039972524,0.00207317711611,0.016913433831,1.09167171894,-1.44678297903,-180,blue
0.0055081111729,0.0050434271341,0.0370812368775,0.973780618148,-1.50057412095,80,blue
0.0119994366761,0.010637245874,0.0689522116676,-0.234168930538,1.70988649079,168,blue
0.0235405699247,0.0200879743288,0.111805800292,-2.58004057242,5.8491844645,-180,blue
0.0425276391548,0.034719693655,0.160426374652,-5.218841362,4.37659800246,336,blue
0.0718934911148,0.0557854728785,0.204403650232,-6.54544470526,-4.82895159322,-107,blue
0.115095429481,0.0842842915764,0.228797052132,-4.94081322949,-13.2276955636,-40,blue
0.176086189559,0.120770324315,0.21624246277,0.160573216691,-9.21137422084,216,blue
0.25925753298,0.165159916245,0.150159165724,7.49481948858,7.03054284469,-204,blue
0.369353788031,0.216550580499,0.0185662595752,14.1158277226,20.4520907207,296,blue
0.511368361282,0.273082214083,-0.181990577257,16.630887596,16.0817193106,-12,blue
0.690440249271,0.331872235875,-0.44301630451,12.9563470367,-4.41177164637,-106,blue
0.911757755295,0.389041187621,-0.741949267237,3.58505485419,-23.3071915326,312,blue
1.18046330163,0.439825407385,-1.04219633004,-8.41621643956,-23.5825212197,-277,blue
1.50155180489,0.478766013794,-1.29585555535,-18.6992615834,-4.19271105133,168,blue
1.87975931608,0.499962847865,-1.44913777128,-23.5143918045,19.5693270502,71,blue
2.31944091847,0.497380335882,-1.44995900557,-21.231065252,28.7542681102,-300,blue
2.82443943491,0.465191590962,-1.25669399063,-12.8274769776,15.5020553025,310,blue
3.39794474379,0.398142744958,-0.846794893449,-1.26227024458,-10.5520561062,-234,blue
4.04234766567,0.291922053532,-0.223820210912,9.85200456978,-28.8361427124,53,blue
4.75910159522,0.143526485702,0.578549270595,17.6231221173,-23.9639375144,136,blue
5.5486044997,-0.0483834731221,1.49652230866,20.7027898103,0.348883205182,-237,blue
6.4101113772,-0.283154166543,2.44063923163,19.3078865609,23.1886541402,378,blue
7.34168944037,-0.557846661469,3.30440737412,14.6338564783,25.1641265868,-28,blue
8.3402340601,-0.866989753703,3.97629804748,8.11999977841,6.64323389408,176,blue
9.40156632653,-1.20238394373,4.35372470381,0.969099238883,-13.711601425,487,blue
10.5206276544,-1.55296905929,4.3571549048,-5.95589604085,-18.6334607811,41,blue
11.6917803359,-1.90477549466,3.94230853426,-11.9842366625,-8.27728629572,565,blue
12.9092098134,-2.24099139584,3.10845517568,-16.477910419,3.89150811376,232,blue
14.1674041646,-2.54219456814,1.90117064366,-18.8379282781,7.70579587059,231,blue
15.4616734745,-2.78680180069,0.408690118422,-18.650543106,5.14770423322,678,blue
16.7886737036,-2.95177166861,-1.24786245328,-15.7953442682,3.41566216135,153,blue
18.1469137964,-3.01356366165,-2.92886330332,-10.3896846803,3.79862281672,522,blue
19.5372280993,-2.9493326894,-4.49289725008,-2.68918986407,0.939078248386,339,blue
20.9631821468,-2.73833191791,-5.81330117218,6.80355619203,-7.51658696424,163,blue
22.4313743177,-2.36348245991,-6.7921585292,17.0048172819,-14.1194748395,604,blue
23.9516073766,-1.81303782739,-7.36964346563,26.018078525,-8.24884595853,49,blue
25.5369198975,-1.08223955169,-7.5272270146,31.3824366316,9.4453757805,273,blue
27.203470515,-0.174848357272,-7.28432098151,30.8463283734,22.6537446017,241,blue
28.9702605922,0.895559072615,-6.6892006391,23.3225602623,14.72249162,-181,blue
30.8586833315,2.10463517116,-5.80603954443,9.570570339,-10.448483498,288,blue
32.8918986801,3.41675543382,-4.70047343465,-7.7125612297,-27.9868868388,-225,blue
35.0940473194,4.78506302175,-3.42629118368,-24.4759278666,-17.7608985128,-122,blue
37.4893290908,6.15215075044,-2.01566452685,-36.4252598873,11.2320238036,87,blue
40.1009790844,7.45144026334,-0.474820358635,-40.3312066775,28.4201884638,-452,blue
42.9501844665,8.60928683053,1.21378466763,-35.0928853964,15.5317065107,57,blue
46.0549891479,9.54779606634,3.08270704485,-22.1683847591,-12.3405342685,-277,blue
49.4292302077,10.1882870063,5.16508619355,-5.19065549745,-24.2322214336,-379,blue
53.0815452093,10.4552834652,7.47640460229,11.1451968786,-8.85069053229,-33,blue
57.0144791457,10.2808619245,9.99505052187,22.5660914036,13.9215638153,-586,blue
61.2237125782,9.60914205714,12.6448316705,26.5813206827,18.0117816069,-118,blue
65.6974329004,8.40068267093,15.2828362639,23.2586291845,1.31112879457,-263,blue
70.4158733224,6.63653749549,17.6958186931,15.1222598918,-14.5905014334,-529,blue
75.3510426568,4.32172586749,19.6074830852,6.14698572659,-12.0152336309,-37,blue
80.4666561412,1.48787610327,20.6976406909,0.142512108139,3.06838801639,-524,blue
85.718268154,-1.80518019313,20.6325855969,-0.846067551852,11.6938539393,-168,blue
91.0536096859,-5.46903892081,19.1044509045,2.62003523576,6.33483417567,-94,blue
96.4131346687,-9.38769907236,15.8758074042,7.72036695039,-2.66133094351,-533,blue
101.730771627,-13.4199469164,10.8244681854,10.7463306598,-4.00442131979,39,blue
106.934857811,-17.4031622717,3.98257748082,8.81527708985,-0.327831226134,-441,blue
111.949218158,-21.1585009308,-4.43600856739,1.15347109263,-1.11938558227,-273,blue
116.694351637,-24.4973305757,-14.025118778,-10.5205291919,-6.14016435861,22,blue
121.088694969,-27.2287155004,-24.1958039126,-22.5694137546,-4.98886728107,-465,blue
125.049945771,-29.1676659388,-34.2071395814,-30.698307162,5.94957701888,106,blue
128.496431083,-30.1438084612,-43.2170708399,-31.4855980965,14.4698547494,-260,blue
131.348499598,-30.0101019124,-50.3498847877,-23.7233372149,7.01867451426,-212,blue
133.52990986,-28.6512067918,-54.7749078585,-9.08928090095,-11.1068701406,237,blue
134.969189069,-25.9911089216,-55.7893723299,8.21586876868,-18.6060180607,-338,blue
135.600945918,-21.9996035296,-52.8973283376,22.8836058763,-4.0485827782,133,blue
135.367117656,-16.6972828118,-45.8763712051,30.4542346579,17.2005270107,-107,blue
134.218114805,-10.15873829,-34.8248253873,28.9623647219,19.0876257217,-286,blue
132.113820379,-2.51376142357,-20.1834990081,19.5810490163,-2.86407880033,266,blue
129.02441107,6.05360868781,-2.72802804579,6.08325860062,-23.4187583718,-312,blue
124.93098963,15.3082785714,16.469833429,-6.56862282873,-16.7960777198,56,blue
