delta,theta,alpha,beta,gama,Color
-2.38140674238e-05,-2.38140674238e-05,-0.000248152305878,-0.0590354267013,-0.193579778889,blue
-0.000299317913369,-0.000296652790461,-0.00297664080281,-0.597281091928,-1.30411206547,blue
-0.00188226399563,-0.00184378357278,-0.0176404959408,-2.83469326118,-3.04613843623,blue
-0.00798876529023,-0.00770867683458,-0.0695094789384,-8.32685027196,-0.445135683858,blue
-0.0260188365827,-0.0246373060486,-0.206563265228,-16.577672592,12.3274500306,blue
-0.0699658036396,-0.0647343611529,-0.49687485218,-22.1033645595,25.0209303259,blue
-0.162833290211,-0.146521525098,-1.01126943474,-14.7509176306,7.71101243417,blue
-0.33875759981,-0.294958000466,-1.79211728145,14.2544283226,-49.3217507801,blue
-0.644629786917,-0.540175145431,-2.81527692016,62.9987459211,-91.1782920032,blue
-1.14108944532,-0.914871972992,-3.95636367031,113.065876053,-35.9166750969,blue
-1.90282334826,-1.4505009413,-4.97367444193,133.55851531,110.39948051,blue
-3.01815349837,-2.17253578292,-5.51800867352,95.6936684853,205.871091422,blue
-4.58794470444,-3.09524631659,-5.17469951809,-8.61452537757,103.15091219,blue
-6.72389757345,-4.21649542298,-3.53631983114,-154.909864676,-155.606282426,blue
-9.5463154708,-5.51311100267,-0.297087625227,-289.70330744,-326.643235052,blue
-13.1814462307,-6.93737126308,4.64647444288,-350.353490646,-203.584809659,blue
-17.7585047528,-8.41508026511,11.1081471077,-293.332376956,137.316973098,blue
-23.4064816917,-9.84560759234,18.5581125551,-117.502778082,381.089734326,blue
-30.2508348226,-11.1041272122,26.1197113892,129.609604367,289.108290952,blue
-38.4101175467,-12.0460998739,32.6277386792,367.00069861,-52.0027889242,blue
-47.992462794,-12.5137542363,36.7509801382,511.290040125,-321.851604285,blue
-59.0916619253,-12.3440102882,37.1718747358,510.344487435,-294.500007938,blue
-71.782600367,-11.3772243114,32.8034946396,363.808830004,-46.5952592062,blue
-86.1161192207,-9.46640202853,23.0105369854,120.581151374,162.402757026,blue
-102.113683079,-6.48680898097,7.79355407234,-144.584969102,179.652623168,blue
-119.762313065,-2.34593571301,-12.1013466622,-361.773408664,86.1862717175,blue
-139.010162731,3.00638113634,-35.1734088316,-487.784302191,37.5357898051,blue
-159.76300925,9.56806849325,-59.2685110113,-510.702431733,42.5303197758,blue
-181.881842128,17.2757042171,-81.7830538089,-440.24330634,-25.1139072865,blue
-205.181656074,25.9968452653,-99.9467102626,-294.569000267,-199.270350736,blue
-229.431496914,35.5245158396,-111.148306992,-93.679707149,-300.023968182,blue
-254.355771534,45.5745607904,-113.262683525,137.753348207,-125.649915761,blue
-279.636806613,55.7864918815,-104.936075268,363.617634631,252.756437023,blue
-304.918610755,65.7283311153,-85.7929591698,534.962135315,486.403069005,blue
-329.811755167,74.9057968318,-56.5373652388,600.120624745,301.221275777,blue
-353.899247804,82.7759830015,-18.9349854931,524.511698434,-176.747003207,blue
-376.743244682,88.7654497422,24.3227577459,310.636284937,-514.983787114,blue
-397.892421325,92.2923841127,69.8571733938,6.45298652446,-407.531211294,blue
-416.889814992,92.7922216589,113.915792745,-305.028114304,23.5046994124,blue
-433.280943568,89.7458574818,152.725212684,-532.865054015,375.668880477,blue
-446.62200972,82.7093372025,182.844122309,-611.179553236,376.450568435,blue
-456.488006121,71.3437213364,201.47878212,-523.613572397,108.168070139,blue
-462.480547221,55.4436769377,206.729165141,-308.360559038,-147.848583878,blue
-464.235266115,34.9632775672,197.743384508,-41.7116389589,-215.81908561,blue
-461.428632239,10.0374932274,174.769513493,192.277827267,-140.083762928,blue
-453.78406508,-19.0020685537,139.105899302,332.601343582,-48.9930234589,blue
-441.077239181,-51.6184498649,92.9620587742,359.833145746,9.30964302037,blue
-423.140497807,-87.0687036274,39.2509049129,295.983302901,67.7754158666,blue
-399.866316659,-124.41207604,-18.6615211804,187.998057717,131.548532061,blue
