delta,theta,alpha,beta,gama,Color
3.37210915669e-07,3.37210915669e-07,3.51387542503e-06,0.000835950866376,0.00274111991591,blue
5.26747446808e-06,5.22973591128e-06,5.28731956484e-05,0.0110087131742,0.0268316647329,blue
3.89085137683e-05,3.82484560327e-05,0.00037134558657,0.0642665456328,0.0939680049846,blue
0.000186551840827,0.000180998884768,0.00166821277478,0.224926643219,0.105842486857,blue
0.000668284658452,0.000637645667005,0.00550849107435,0.53052798252,-0.20434793827,blue
0.00194157673081,0.00181472446487,0.0144912749465,0.875704899205,-0.801277487271,blue
0.0048241864584,0.00439854320199,0.0319767022075,0.947466668159,-0.800917089977,blue
0.0106260640762,0.00940968422736,0.0612184663107,0.334391466968,0.720659117118,blue
0.0212758823224,0.0182129071757,0.103929707382,-1.19019287624,2.82074809868,blue
0.0394268704147,0.0324637055025,0.1585207783,-3.36363393453,2.65483451939,blue
0.0685301977852,0.0539820613192,0.218465850259,-5.32386764582,-1.19138911412,blue
0.11287143316,0.0845578818687,0.271402369378,-5.83811006457,-5.67754706203,blue
0.177570907776,0.125704195001,0.299527246854,-3.85055893368,-5.54649308358,blue
0.268550209885,0.178380508231,0.281609511378,0.861238230766,0.516928219102,blue
0.392467642836,0.242712488669,0.19658191015,7.2614238934,7.27543422068,blue
0.556625692343,0.317735497504,0.0282831413274,13.1652431684,7.97771920452,blue
0.76885372289,0.401188832617,-0.22941678268,15.9616832155,1.68808884346,blue
1.03737004645,0.489385675308,-0.568083518475,13.7142170102,-5.67786324314,blue
1.37062883094,0.577180469833,-0.961788697835,6.16269836765,-7.74386789031,blue
1.77715772265,0.658049644452,-1.36665584486,-4.87750325078,-3.91907178593,blue
2.26539021429,0.724292250279,-1.72346423513,-15.992226488,1.26534923231,blue
2.84349477139,0.767347013566,-1.9634583004,-23.3908366186,3.8542412175,blue
3.51920166336,0.778213311828,-2.01697967162,-24.3722204585,3.89933584681,blue
4.29962807878,0.747956016391,-1.82400161308,-18.3949820156,3.29698431521,blue
5.19110326234,0.668269255387,-1.34518601325,-7.28169248735,2.18254725067,blue
6.19899647199,0.532070510544,-0.571807938534,5.51493044197,-0.81733304575,blue
7.32755116013,0.334093845067,0.467135598111,16.2349357258,-5.16449078702,blue
8.57972947619,0.0714501242645,1.70208381692,22.139099444,-7.20910277618,blue
9.95707144463,-0.255877663189,3.02530915081,22.3046068844,-3.77579686026,blue
11.4595746305,-0.644632810446,4.29887484476,17.638950246,3.49180515889,blue
13.085601363,-1.08800158269,5.36771981917,10.223586968,8.67387872087,blue
14.8318188697,-1.57547029962,6.07665144596,2.35578394514,7.08928087234,blue
16.6931741681,-2.09284305597,6.2893475495,-4.27497986741,0.0144006340551,blue
18.6629020516,-2.6224370888,5.90702755045,-8.96117927192,-6.44925673516,blue
20.7325625325,-3.14346658606,4.88433885483,-11.8273425071,-7.16402573194,blue
22.8921032822,-3.63261712254,3.24023376801,-13.3319763719,-2.48154820529,blue
25.1299423835,-4.06480288799,1.06214872935,-13.7437578837,2.77643867492,blue
27.433067378,-4.41408768962,-1.49742565741,-12.8896167992,4.34117384182,blue
29.7871465814,-4.65474060521,-4.23199778737,-10.3022305154,2.1930425648,blue
32.1766494535,-4.76238720591,-6.89884197198,-5.66176599465,-0.420661449736,blue
34.5849758266,-4.71520669232,-9.24172323474,0.74519413507,-0.898418819555,blue
36.9945967513,-4.49511713972,-11.016191889,7.83507963793,0.237883747708,blue
39.3872115764,-4.08888698974,-12.0147296119,13.9419837243,0.589235492958,blue
41.7439239575,-3.48911396691,-12.0890594525,17.3548088443,-0.976592903548,blue
44.0454336518,-2.69502258146,-11.1672955808,16.9328671593,-2.86909543763,blue
46.2722369332,-1.71304174132,-9.26417092147,12.5448627799,-2.47842081699,blue
48.4048286323,-0.557131628731,-6.48324887481,5.18090114777,0.806730749252,blue
50.4239007661,0.751163929246,-3.01077074396,-3.28636723439,4.39127902667,blue
52.310532988,2.18295348452,0.898409894965,-10.620985655,4.57616377221,blue
54.0463693209,3.70252459081,4.94158606194,-14.8803057905,0.354100509151,blue
55.6137785678,5.26815498487,8.7938186201,-15.004563708,-4.82255564878,blue
56.9960038327,6.83319898675,12.1361906308,-11.1300356268,-5.81506064037,blue
58.1773145593,8.34743582257,14.6842330907,-4.51528670155,-1.14951451114,blue
59.143173069,9.75865230738,16.2139117186,2.8580680758,4.67821919504,blue
59.8804163593,11.0144082388,16.5825616615,8.83344750006,5.47728554109,blue
60.3774430679,12.0639110997,15.7424822611,11.6254589163,0.440602964265,blue
60.6243915349,12.8599155473,13.745624382,10.2978443293,-4.34869289977,blue
60.6132998884,13.3605654901,10.7388424613,5.12780428925,-2.92773424494,blue
60.3382461644,13.5311049128,6.95029955718,-2.27116244515,2.76126761772,blue
59.7954644636,13.3453859041,2.6685259725,-9.27216776471,4.50252464439,blue
58.9834279118,12.7871044476,-1.78367708423,-13.0775245011,-1.65894013,blue
57.9028909947,11.8507069981,-6.07777490242,-11.8312152506,-8.70606384447,blue
56.5568897466,10.5419299837,-9.90751861817,-5.50212322263,-5.95697816192,blue
54.9507022695,8.87795289506,-13.0136263057,3.92439406068,6.66646402143,blue
53.091773003,6.88716131111,-15.2028125467,13.1016463592,15.6439401726,blue
50.9896052898,4.60853167636,-16.3596065175,18.5847366985,8.5768291698,blue
48.6556281806,2.09066432621,-16.4502899019,18.1772062476,-9.69616793897,blue
46.1030420924,-0.609498414486,-15.5192277534,11.7859846967,-20.2706620865,blue
43.3466445423,-3.42822576853,-13.6787194499,1.42791288265,-10.9468497987,blue
40.4026325291,-6.29677685518,-11.0941414215,-9.5873882643,9.35890132013,blue
37.2883786933,-9.14334963646,-7.96644533603,-17.9027491056,20.0663637566,blue
34.0221910149,-11.8951284268,-4.51395199078,-21.218994281,11.4687485893,blue
30.6230786069,-14.4803431419,-0.955074170817,-18.8546292903,-5.93109801696,blue
27.1105422523,-16.8302599508,2.50662497716,-11.7261122238,-14.9491845513,blue
23.5043906034,-18.8810470323,5.69383083984,-1.96727231292,-10.1698101659,blue
19.8245689212,-20.5754807172,8.46253554313,7.63156543137,0.162357414846,blue
16.0909848207,-21.8644665024,10.7046209954,14.3321642741,6.99804356521,blue
12.3233198791,-22.7083506562,12.3465657479,16.2699107934,8.89909987036,blue
8.5408251419,-23.077993865,13.3455083584,13.1848035935,7.5119850159,blue
4.76210911939,-22.9555730897,13.6842679783,6.69848449329,1.65723431418,blue
1.00493088822,-22.3350805525,13.3668728364,-0.182717482173,-8.81579179191,blue
-2.71399398965,-21.2225022308,12.4156959625,-4.32745067144,-16.4117166404,blue
-6.37917550994,-19.6356761708,10.8706340894,-4.00921099749,-10.5785071355,blue
-9.97652292293,-17.603842921,8.79014020677,0.10076457838,8.41731654873,blue
-13.4935111019,-15.1669058295,6.25343437042,5.13038149043,24.4641467867,blue
-16.9193394475,-12.3744251011,3.36285605295,7.42455275751,19.8010051805,blue
-20.2450826468,-9.28437543149,0.245151876694,4.50827544018,-4.93105388674,blue
-23.4638294783,-5.96169946469,-2.9494246658,-3.43172765137,-28.0682075516,blue
-26.570801029,-2.47668936974,-6.05102318665,-13.3660546251,-27.2524164231,blue
-29.5634391386,1.09676709628,-8.87753493676,-20.7183537151,-2.27741044831,blue
-32.4414639393,4.68302741409,-11.2453623528,-21.5630389846,24.0888848157,blue
-35.20690705,8.20656299767,-12.9831149822,-14.6399115916,28.6646594214,blue
-37.8641275739,11.5937959362,-13.9471206084,-2.12513613057,9.98787685133,blue
-40.4198145161,14.774849753,-14.0370853174,11.2879218397,-12.779081725,blue
-42.8829747674,17.6851687796,-13.2098847628,20.556741509,-20.9241923875,blue
-45.2649067735,20.2669651016,-11.489469371,22.5912802033,-13.0630915318,blue
