delta,theta,alpha,beta,gama
2.24419678359e-06,2.24419678359e-06,2.33854467941e-05,0.00556339714519,0.0182426256472
2.57419527203e-05,2.54907961182e-05,0.000254824570507,0.0501753447812,0.102857732442
0.000147365545304,0.000144015112235,0.00136437203762,0.207709890383,0.159943932728
0.00057139086246,0.000548870792554,0.00485809766803,0.518574905296,-0.210468836681
0.00171477318821,0.00161187289484,0.0131187204529,0.840957057637,-1.03406816457
0.00429745690892,0.00393434096601,0.0289356751124,0.804265394959,-1.00251788994
0.00943157738969,0.00836851378121,0.0545449593433,0.00642003027031,1.22357431291
0.0186975359173,0.0159960404533,0.0903007602214,-1.6398024828,3.91285003402
0.0341891743736,0.0280460763698,0.133200630347,-3.66361169158,2.72815596249
0.0585171210394,0.0457480494425,0.175694803871,-5.0834676006,-3.3264297675
0.0947757736374,0.0701368129243,0.205402980527,-4.75689357812,-8.15309351172
0.146487049577,0.10184009438,0.20625539558,-1.92663844308,-4.69040414354
0.217528625719,0.140874477801,0.161160332371,3.22295903634,5.1079307352
0.312048546366,0.186469888802,0.0558436190645,9.27958199311,10.6881197684
0.434366459946,0.236939129591,-0.11683569729,13.859796594,5.39503068653
0.588864174845,0.289608590011,-0.352955406421,14.4742670917,-4.75338578607
0.779871255417,0.340825317713,-0.634854497132,9.71383635203,-8.37707243261
1.01154964128,0.386048724862,-0.93048328096,0.181133743466,-3.04719559661
1.28777638262,0.420024503577,-1.19532652747,-11.3899959445,2.4920036061
1.6120224973,0.437031688025,-1.37703780167,-21.0083671092,1.09481689597
1.98723337655,0.431196366227,-1.42235529195,-24.95116577,-2.81996792221
2.4157222829,0.396866910759,-1.28537684538,-21.2770451476,-0.321978158573
2.89908436555,0.329036441319,-0.936036765028,-10.6930294512,7.66214265208
3.43813134597,0.223786456407,-0.367576794753,3.58173880987,9.70339154088
4.03284299616,0.0787186859229,0.398140204338,16.9286728364,-0.488381555714
4.68233476753,-0.106655155097,1.30850145289,25.024109719,-13.2221226984
5.3848479738,-0.330587721589,2.28197509106,25.4672471151,-13.186740236
6.13776674933,-0.588856438319,3.21415460633,18.6477737801,0.871259162178
6.93765532213,-0.874639153094,3.98758533497,7.44512049012,13.1883317516
7.78030379967,-1.17853398834,4.4843738879,-4.08459896806,10.1247258258
8.660777991,-1.48873696809,4.600277235,-12.3643239105,-2.77112232954
9.57347796581,-1.79137269613,4.25879834855,-15.5227467893,-8.4722324636
10.5122087773,-2.07096598731,3.42364914976,-13.7582168082,-1.16097313665
11.470263347,-2.31103789014,2.10793141595,-8.86399771377,6.57033909835
12.4405181164,-2.49480178786,0.378632281071,-3.26095500409,1.92421699714
13.4155412864,-2.6059300786,-1.64454768539,0.996411695634,-9.48141678651
14.3877104041,-2.62936040283,-3.79646033771,2.860125584,-10.5717594596
15.3493325213,-2.55211059172,-5.87963332244,2.41656727197,3.50272824942
16.2927599991,-2.36406938395,-7.68227370157,0.587545545818,17.0273633988
17.2104983922,-2.05872555317,-8.99946046016,-1.36734331094,12.7260434579
18.0953060873,-1.63379551491,-9.65530032301,-2.32787658972,-6.13323347436
18.9402884058,-1.09170923716,-9.52355131564,-1.64471413675,-18.920728858
19.7389887587,-0.439919526594,-8.54428947432,0.699386490864,-12.0394976917
20.4854756178,0.308989214542,-6.7345976656,4.0798954912,5.81842049647
21.1744209229,1.13740503536,-4.19188079848,7.37613385726,15.2512124676
21.8011676294,2.02301061771,-1.08913627889,9.29781010167,8.72296769082
22.3617909219,2.9393263208,2.33772088935,8.86045984296,-3.33884514655
22.8531575646,3.85646660266,5.80949645605,5.83209351782,-7.77802353717
23.2729795045,4.74208358092,9.028448359,0.900532270682,-3.90630136385
23.6198525187,5.56245702857,11.7056123547,-4.55676400963,-0.317284808109
23.8932712659,6.28368374994,13.587957687,-8.98768156348,-0.893724676721
24.0936174383,6.87292012592,14.4826974633,-11.2028933279,-0.612065131889
24.222123191,7.29963453165,14.2764256229,-10.705092872,4.27137428935
24.2808117215,7.53682487096,12.9472394806,-7.7439792771,8.13356915577
24.2724144202,7.56215436792,10.5686389676,-3.16675556216,3.12813582651
24.2002673856,7.35896429229,7.304807237,1.8466795843,-7.91775090643
24.0682004361,6.91713615229,3.39778339172,6.10716844209,-12.182295757
23.8804356219,6.23378340381,-0.852229324159,8.71596073241,-2.76797028556
23.6415016671,5.31374549626,-5.11174727729,9.22101855923,10.5999903294
23.3561582337,4.16984887659,-9.04210698838,7.5932946922,12.0936932368
23.0293210636,2.82290343513,-12.3284916313,4.13521590599,-0.239965278441
22.6659852239,1.30141818104,-14.707331799,-0.531703095361,-11.2015369466
22.2711478661,-0.358965443071,-15.9895281975,-5.40460769496,-7.53745540571
21.8497288119,-2.11631645726,-16.0772877029,-9.14291613811,4.89992153615
21.4064872315,-3.92351623032,-14.9728996396,-10.3746490689,9.025305772
20.9459389757,-5.72958490753,-12.7784371306,-8.22134174196,-0.47945873409
20.4722854271,-7.48118210444,-9.68618755753,-2.80762999023,-9.87421961602
19.9893645282,-9.12422475095,-5.96059168185,4.52062341748,-5.02590895065
19.5006246932,-10.6055705543,-1.91350165005,11.4326787888,8.8493025672
19.0091122833,-11.8747228465,2.1246240641,15.3022538246,13.3261576667
18.5174635008,-12.8855103056,5.83461032143,14.186433367,1.19619954653
18.027901071,-13.5976842691,8.93664068397,7.76510916334,-13.3570152195
17.5422452451,-13.9783680305,11.2139651591,-2.20398268773,-12.7413984078
17.0619471155,-14.0032980686,12.5301235961,-12.2904761344,1.49684834881
16.5881453322,-13.6578108689,12.8381415629,-18.6670847615,11.3322826249
16.1217442911,-12.937540571,12.1809414857,-18.754341312,6.21200751537
15.6635103717,-11.8488037844,10.6831029995,-12.4392516428,-3.99922924278
15.2141771747,-10.4086637553,8.53494559402,-2.22769025668,-4.02599384637
14.7745415659,-8.64468503365,5.9706285507,7.79414878306,5.0946556266
14.3455303144,-6.59440001617,3.24262021708,13.7477182278,7.73503115791
13.9282244374,-4.30450768131,0.595399377335,13.6972286994,-3.57311779857
13.5238362757,-1.82982215791,-1.75859374597,8.51001702802,-16.0110493158
13.1336417115,0.768013502932,-3.65799692953,1.39803759227,-12.248317595
12.758874704,3.42203194484,-5.00446406733,-3.68257189472,6.43501927643
12.4005894439,6.06163940761,-5.76643166738,-4.03432919691,20.2199379838
12.059491997,8.61447105624,-5.97479051207,0.358877112215,14.2707782668
11.7357486064,11.0083661398,-5.71152729425,6.75643373983,-3.96816067162
11.4287929794,13.1734335654,-5.09311708885,11.0562757122,-14.7598984327
11.1371605375,15.0441759776,-4.25105574058,9.96252640003,-9.82332852122
10.8583636838,16.5616172656,-3.31242552398,2.74078470035,0.071053719377
10.5888063946,17.6753547147,-2.38344500725,-8.3695103309,1.91902120208
10.3237326467,18.3454490212,-1.53838054566,-19.205263864,-1.8146581351
10.0572069108,18.5440694487,-0.815167541146,-25.5353676495,1.23631286188
9.78212651024,18.256817529,-0.217911653328,-24.7763194989,12.4779164188
9.49026410076,17.4836596592,0.274683381113,-16.8554444146,16.4573969864
9.17233603025,16.2394087571,0.696839884012,-4.016299849,0.960014528939
8.81808698836,14.5537056774,1.08163466279,10.1547295892,-22.5679626504
8.4163803595,12.4704694641,1.44801443057,21.9783516049,-27.8329697512
7.95529010994,10.0468139432,1.79145659022,28.7520664169,-4.61703610991
7.42219353605,7.35145451281,2.0802350232,29.3423183991,25.7189731558
6.80386236322,4.46264936649,2.25824915761,24.2033400646,31.5951706063
6.08654711445,1.46573758655,2.25419776256,14.9376592612,6.46877259052
5.25604928639,-1.54964519212,1.99575155859,3.6601368926,-23.2098035046
4.29777520673,-4.49257782978,1.42644673028,-7.56460807012,-27.2582093988
3.19676100127,-7.2739881409,0.522395279195,-17.0618283292,-4.51715200156
1.93765598845,-9.8098012969,-0.694231620206,-23.650075967,18.2229659753
0.504656612051,-12.0239836297,-2.14757529258,-26.5853688596,17.992788118
-1.11860742253,-13.8513543131,-3.70808214808,-25.470124485,-0.180073493445
-2.94922454999,-15.2400353846,-5.20078512155,-20.2543362878,-13.1882908489
-5.00517894886,-16.1534227523,-6.42143365756,-11.3968793889,-8.44769765939
-7.30554614816,-16.5715833496,-7.1589955584,-0.108437758246,4.16385916283
-9.87070054562,-16.4920098701,-7.22214016453,11.5527264047,8.31637885092
-12.7225276775,-15.9296909797,-6.46661104238,20.9727118525,1.70886696207
-15.8846319412,-14.9164824699,-4.82003641005,25.7101811547,-4.40438586399
-19.3825360028,-13.4998010709,-2.30086444296,24.3987224334,-2.50742056975
-23.2438739276,-11.7406981226,0.971361390861,17.3914130561,2.00427485395
-27.4985726835,-9.71138954464,4.77645124354,6.82337924523,0.89214196708
-32.1790080391,-7.49233322931,8.80577767061,-3.99908104513,-3.99983707958
-37.320126831,-5.16897087659,12.6858601407,-11.7403090501,-3.93220194854
-42.9595388601,-2.82827755314,16.0114449516,-14.3104193806,3.03694931535
-49.1375825383,-0.55527122626,18.3850119577,-11.6966422428,8.48277164342
-55.8973664289,1.57036656943,19.4587932442,-5.90697553171,5.07735209871
-63.2847929326,3.47740965873,18.9748760654,-0.0191338294912,-3.63828375579
-71.3485679309,5.10581183801,16.7990032375,3.23973237155,-8.19034907473
-80.1401919093,6.40893040594,12.944251242,2.727276803,-4.98374510507
-89.7139317043,7.35516107817,7.58158745324,-0.683445155675,0.63946975281
-100.126785538,7.92890945776,1.03537369373,-4.71500926339,2.62324984169
-111.438461327,8.13084680846,-6.23667794095,-6.98698796337,1.78526423746
-123.711384512,7.97743458567,-13.677880569,-6.24978171162,2.95124613559
-137.010739668,7.49974806888,-20.6783473971,-2.86359094877,6.30264044133
-151.404535888,6.74167567673,-26.6278247326,1.6635105817,5.50545858985
-166.963683501,5.75759981457,-30.9704805457,5.65447219074,-3.71217760938
-183.762080628,4.6096747965,-33.2564828243,8.06234823038,-15.1141954675
-201.876715929,3.3648243015,-33.1855851015,8.65893351152,-15.6920828359
-221.38779534,2.09158893026,-30.6386606218,7.697022202,0.0285303271377
-242.378899425,0.856959639476,-25.6941731217,5.46986392398,20.5333684951
-264.937173024,-0.276663817939,-18.6278443844,2.1652346463,25.6966257707
-289.153540776,-1.25424982648,-9.8951941513,-1.90443956196,7.18395781291
-315.122935288,-2.03051488379,-0.0981335501034,-5.96950006762,-20.4049360546
-342.944524929,-2.57179504623,10.0616846681,-8.77469168986,-31.7144063549
