raw_data,attention
-26,57
-114,57
-117,57
-85,57
-12,57
98,57
-53,57
-89,57
-20,57
-114,57
-26,57
-138,57
-218,57
-234,57
-108,57
-51,57
-7,57
-90,57
-122,57
-56,57
-34,57
-97,57
-62,57
128,57
-33,57
-82,57
45,57
39,57
44,57
167,57
-30,57
1,57
-17,57
-116,57
-102,57
-87,57
-84,57
37,57
153,57
267,57
294,57
325,57
245,57
291,57
97,57
129,57
88,57
-10,57
-85,57
-169,57
-132,57
-177,57
-339,57
-107,57
-60,57
-219,57
-115,57
-259,57
-280,57
-299,57
-388,57
-263,57
-301,57
-258,57
-286,57
-229,57
-182,57
-266,57
-34,57
123,57
138,57
346,57
419,57
-9,57
183,57
262,57
310,57
355,57
397,57
344,57
226,57
235,57
264,57
361,57
419,57
246,57
329,57
281,57
241,57
336,57
345,57
315,57
179,57
60,57
98,57
124,57
41,57
-57,57
20,57
-84,57
-150,57
-273,57
-433,57
-413,57
-546,57
-538,57
-469,57
-294,57
-408,57
-326,57
-506,57
-616,57
-398,57
-309,57
-328,57
-169,57
5,57
-39,57
59,57
70,57
-71,57
-82,57
-90,57
-291,57
-285,57
-330,57
-296,57
-237,57
-132,57
-264,57
-247,57
-233,57
-348,57
-459,57
-632,57
-489,57
-498,57
-468,57
-376,57
-234,57
27,57
197,57
144,57
385,57
392,57
295,57
284,57
70,57
181,57
241,57
-106,57
-133,57
28,57
-172,57
-316,57
-386,57
-355,57
-408,57
-453,57
-315,57
-347,57
-293,57
-190,57
-249,57
-261,57
-242,57
-293,57
-343,57
-246,57
-246,57
-226,57
-217,57
-146,57
-56,57
-3,57
-19,57
-56,57
160,57
101,57
-3,57
229,57
317,57
304,57
232,57
236,57
440,57
699,57
541,57
657,57
756,57
580,57
530,57
465,57
295,57
454,57
482,57
253,57
261,57
177,57
4,57
-33,57
-49,57
-36,57
44,57
104,57
178,57
138,57
176,57
102,57
227,57
196,57
377,57
537,57
557,57
420,57
360,57
161,57
436,57
306,57
401,57
546,57
405,57
448,57
362,57
208,57
247,57
211,57
448,57
404,57
379,57
578,57
651,57
