raw_data,attention
89,37
74,37
98,37
87,37
92,37
60,37
88,37
28,37
39,37
80,37
98,37
112,37
80,37
4,37
59,37
6,37
25,37
75,37
85,37
49,37
49,37
0,37
20,37
69,37
51,37
2,37
28,37
24,37
4,37
28,37
25,37
21,37
50,37
19,37
49,37
67,37
40,37
75,37
33,37
23,37
18,37
68,37
115,37
74,37
49,37
41,37
54,37
33,37
24,37
17,37
75,37
82,37
43,37
35,37
64,37
93,37
57,37
41,37
55,37
37,37
10,37
54,37
34,37
25,37
28,37
73,37
27,37
39,37
57,37
73,37
50,37
48,37
41,37
27,37
37,37
86,37
65,37
69,37
60,37
17,37
69,37
23,37
33,37
71,37
84,37
36,37
58,37
66,37
27,37
22,37
20,37
58,37
44,37
83,37
85,37
54,37
58,37
123,37
91,37
103,37
160,37
160,37
167,37
243,37
373,37
452,37
513,37
504,37
519,37
443,37
471,37
376,37
261,37
266,37
260,37
84,37
51,37
50,37
-41,37
-38,37
-71,37
-132,37
-124,37
-173,37
-203,37
-202,37
-242,37
-259,37
-273,37
-279,37
-264,37
-282,37
-265,37
-284,37
-247,37
-229,37
-247,37
-249,37
-214,37
-188,37
-182,37
-193,37
-55,37
11,37
2,37
-7,37
33,37
38,37
56,37
33,37
22,37
-10,37
52,37
57,37
26,37
86,37
133,37
71,37
83,37
84,37
71,37
91,37
74,37
136,37
107,37
107,37
123,37
129,37
81,37
89,37
56,37
87,37
107,37
68,37
157,37
132,37
100,37
98,37
74,37
52,37
66,37
85,37
76,37
66,37
76,37
64,37
73,37
98,37
89,37
57,37
85,37
49,37
80,37
125,37
71,37
77,37
88,37
98,37
115,37
115,37
104,37
74,37
64,37
45,37
82,37
49,37
36,37
74,37
58,37
54,37
35,37
23,37
65,37
59,37
33,37
41,37
35,37
42,37
60,37
113,37
88,37
37,37
90,37
69,37
26,37
52,37
64,37
81,37
40,37
10,37
-6,37
53,37
35,37
40,37
49,37
68,37
80,37
38,37
21,37
28,37
17,37
11,37
39,37
37,37
34,37
34,37
-1,37
26,37
9,37
17,37
8,37
37,37
24,37
20,37
-1,37
-18,37
-22,37
16,37
22,37
-23,37
-34,37
3,37
20,37
-5,37
-10,37
-13,37
16,37
6,37
-1,37
27,37
36,37
64,37
-13,37
-21,37
58,37
11,37
57,37
93,37
113,37
83,37
58,37
112,37
59,37
116,37
100,37
128,37
192,37
204,37
278,37
330,37
336,37
506,37
563,37
564,37
585,37
541,37
533,37
436,37
403,37
310,37
227,37
160,37
91,37
45,37
-14,37
-40,37
-93,37
-166,37
-199,37
-236,37
-279,37
-260,37
-244,37
-301,37
-267,37
-270,37
-279,37
-266,37
-263,37
-266,37
-263,37
-225,37
-237,37
-219,37
-184,37
-193,37
-202,37
-217,37
-158,37
-164,37
-151,37
-114,37
-82,37
-152,37
-107,37
-83,37
-71,37
-5,37
-19,37
10,37
4,37
-13,37
18,37
-4,37
11,37
41,37
44,37
40,37
57,37
53,37
50,37
13,37
33,37
33,37
-25,37
24,37
60,37
72,37
65,37
71,37
36,37
12,37
36,37
69,37
60,37
104,37
107,37
96,37
49,37
81,37
119,37
105,37
69,37
92,37
98,37
105,37
39,37
77,37
97,37
44,37
39,37
43,37
49,37
76,37
84,37
84,37
42,37
57,37
56,37
59,37
42,37
39,37
45,37
35,37
12,37
66,37
103,37
115,37
92,37
83,37
74,37
58,37
45,37
33,37
83,37
53,37
45,37
57,37
73,37
69,37
100,37
40,37
55,37
65,37
33,37
44,37
29,37
16,37
26,37
17,37
41,37
33,37
66,37
80,37
87,37
50,37
59,37
64,37
59,37
52,37
29,37
4,37
35,37
26,37
26,37
76,37
77,37
75,37
64,37
48,37
39,37
17,37
42,37
64,37
82,37
9,37
5,37
-12,37
3,37
18,37
49,37
56,37
101,37
72,37
51,37
13,37
65,37
75,37
56,37
55,37
87,37
59,37
71,37
26,37
-12,37
43,37
32,37
23,37
49,37
21,37
58,37
80,37
42,37
54,37
53,37
75,37
40,37
11,37
39,37
71,37
-4,37
4,37
22,37
-6,37
-1,37
11,37
4,37
-40,37
26,37
22,37
-17,37
24,37
69,37
49,37
9,37
64,37
17,37
-6,37
-6,37
-35,37
-28,37
-6,37
24,37
11,37
-22,37
41,37
33,37
3,37
49,37
29,37
64,37
56,37
42,37
33,37
25,37
32,37
25,37
33,37
58,37
71,37
66,37
11,37
70,37
24,37
18,37
51,37
27,37
77,37
29,37
80,37
40,37
7,37
7,37
24,37
-21,37
36,37
35,37
-3,37
-2,37
-9,37
24,37
29,37
85,37
33,37
55,37
8,37
3,37
25,37
43,37
-5,37
27,37
34,37
-25,37
-7,37
23,37
1,37
17,37
0,37
40,37
42,37
44,37
-9,37
10,37
42,37
25,37
65,37
49,37
44,37
28,37
24,37
64,37
66,37
50,37
56,37
87,37
45,37
108,37
181,37
211,37
260,37
298,37
391,37
438,37
528,37
579,37
585,37
488,37
445,37
407,37
342,37
296,37
209,37
172,37
116,37
98,37
33,37
1,37
-52,37
-102,37
-90,37
-124,37
-166,37
-165,37
-227,37
-241,37
-273,37
-307,37
-312,37
-265,37
-269,37
-262,37
-210,37
-252,37
-284,37
-284,37
-209,37
-258,37
-245,37
-230,37
-203,37
-219,37
-161,37
-137,37
-123,37
-133,37
-130,37
-141,37
-103,37
-33,37
-35,37
-19,37
-43,37
1,37
-17,37
-51,37
-34,37
12,37
19,37
-21,37
11,37
16,37
48,37
-50,37
20,37
0,37
-26,37
-21,37
-5,37
-4,37
-25,37
3,37
32,37
66,37
41,37
49,37
53,37
34,37
35,37
73,37
87,37
17,37
71,37
117,37
81,37
121,37
90,37
97,37
81,37
54,37
65,37
70,37
53,37
26,37
