raw_data,attention
209,0
326,0
262,0
314,0
330,0
246,0
331,0
466,0
290,0
188,0
198,0
130,0
118,0
180,0
253,0
227,0
103,0
128,0
182,0
156,0
202,0
247,0
188,0
135,0
5,0
28,0
43,0
-19,0
37,0
82,0
154,0
82,0
97,0
96,0
98,0
149,0
122,0
91,0
77,0
7,0
73,0
102,0
70,0
100,0
104,0
28,0
-4,0
39,0
-13,0
-30,0
-21,0
21,0
8,0
-10,0
-9,0
-53,0
-72,0
-115,0
-106,0
-145,0
-106,0
17,0
17,0
13,0
116,0
121,0
81,0
37,0
18,0
54,0
82,0
49,0
-28,0
53,0
32,0
-18,0
-81,0
-56,0
-21,0
-38,0
-6,0
-40,0
56,0
75,0
-8,0
4,0
-20,0
-41,0
21,0
-82,0
-52,0
-91,0
-49,0
-52,0
-66,0
-124,0
-50,0
22,0
-41,0
-23,0
-34,0
-91,0
-51,0
-39,0
-37,0
-20,0
-65,0
-74,0
-67,0
-59,0
38,0
18,0
16,0
-8,0
-87,0
-14,0
-71,0
-45,0
7,0
-8,0
-19,0
2,0
-17,0
33,0
26,0
12,0
-6,0
-33,0
-14,0
16,43
74,43
80,43
58,43
22,43
11,43
35,43
12,43
-23,43
45,43
43,43
-50,43
54,43
124,43
5,43
16,43
9,43
-37,43
-4,43
-18,43
25,43
49,43
7,43
-25,43
-24,43
-11,43
37,43
38,43
-24,43
-34,43
52,43
21,43
11,43
21,43
49,43
8,43
-43,43
4,43
125,43
99,43
67,43
72,43
12,43
49,43
29,43
8,43
65,43
22,43
-94,43
-51,43
53,43
24,43
71,43
36,43
162,43
120,43
56,43
65,43
53,43
27,43
-39,43
-125,43
-37,43
26,43
-5,43
-25,43
-37,43
-75,43
-68,43
-139,43
-11,43
85,43
77,43
56,43
56,43
-34,43
-36,43
66,43
34,43
68,43
-18,43
-9,43
-39,43
-17,43
35,43
121,43
107,43
53,43
-4,43
50,43
98,43
0,43
-24,43
6,43
17,43
21,43
11,43
40,43
56,43
1,43
5,43
55,43
49,43
62,43
25,43
-6,43
23,43
60,43
-13,43
5,43
10,43
-39,43
52,43
4,43
-12,43
1,43
68,43
-51,43
-46,43
2,43
68,43
12,43
64,43
-2,43
41,43
-74,43
-74,43
112,43
64,43
21,43
6,43
90,43
4,43
-101,43
17,43
48,43
84,43
54,43
33,43
41,43
10,43
-30,43
135,43
69,43
-10,43
67,43
77,43
65,43
38,43
87,43
105,43
21,43
-13,43
32,43
-67,43
21,43
49,43
2,43
9,43
37,43
43,43
73,43
32,43
20,43
43,43
87,43
52,43
54,43
102,43
144,43
67,43
6,43
36,43
-70,43
-69,43
44,43
-14,43
58,43
50,43
-6,43
-13,43
22,43
11,43
54,43
93,43
120,43
-7,43
-54,43
-12,43
48,43
60,43
71,43
89,43
51,43
11,43
9,43
-88,43
45,43
131,43
44,43
80,43
135,43
-39,43
-58,43
-41,43
32,43
-14,43
-9,43
59,43
11,43
-57,43
38,43
33,43
21,43
10,43
22,43
18,43
20,43
70,43
48,43
-39,43
18,43
72,43
10,43
61,43
50,43
40,43
41,43
65,43
43,43
58,43
37,43
37,43
2,57
135,57
68,57
-3,57
76,57
-14,57
4,57
24,57
-13,57
-46,57
26,57
4,57
-70,57
-37,57
-2,57
-41,57
20,57
75,57
103,57
92,57
22,57
60,57
61,57
75,57
106,57
192,57
153,57
113,57
193,57
135,57
105,57
120,57
116,57
179,57
199,57
150,57
140,57
181,57
86,57
74,57
1,57
44,57
51,57
38,57
24,57
56,57
8,57
-33,57
105,57
58,57
109,57
71,57
-1,57
22,57
82,57
19,57
42,57
69,57
45,57
64,57
38,57
-26,57
26,57
73,57
51,57
6,57
51,57
57,57
7,57
54,57
-70,57
33,57
-11,57
37,57
22,57
53,57
114,57
33,57
-35,57
21,57
43,57
-51,57
5,57
83,57
44,57
10,57
-19,57
41,57
4,57
-1,57
60,57
26,57
-56,57
35,57
102,57
39,57
-73,57
35,57
40,57
-20,57
-210,57
-131,57
-45,57
-22,57
38,57
57,57
40,57
119,57
155,57
52,57
13,57
123,57
151,57
103,57
122,57
96,57
124,57
6,57
98,57
92,57
96,57
91,57
101,57
18,57
20,57
99,57
125,57
55,57
38,57
90,57
114,57
59,57
28,57
50,57
58,57
-10,57
55,57
11,57
-58,57
18,57
-33,57
41,57
70,57
24,57
26,57
5,57
-51,57
-4,57
66,57
82,57
86,57
43,57
52,57
22,57
4,57
151,57
112,57
9,57
60,57
82,57
97,57
56,57
4,57
56,57
49,57
22,57
-7,57
-25,57
33,57
-13,57
37,57
-67,57
7,57
60,57
82,57
106,57
109,57
44,57
-3,57
-18,57
-1,57
43,57
68,57
28,57
52,57
56,57
18,57
13,57
58,57
-115,57
-202,57
-162,57
-92,57
-73,57
37,57
43,57
141,57
74,57
56,57
33,57
5,57
2,57
24,57
106,57
28,57
54,57
102,57
88,57
52,57
21,57
48,57
48,57
-19,57
-90,57
-58,57
57,57
36,57
7,57
80,57
118,57
28,57
19,57
86,57
56,57
12,57
5,57
76,57
35,57
57,57
2,57
99,57
129,57
86,57
26,57
100,57
67,57
140,57
205,57
234,57
275,57
317,57
307,57
368,57
397,57
359,57
406,57
378,57
411,57
347,57
352,57
305,57
246,57
217,57
219,57
180,57
141,57
136,57
85,57
20,57
-140,57
-186,57
-105,57
-70,57
-21,57
-60,57
-11,57
-11,57
-140,57
-49,57
-50,57
-26,57
-19,57
-26,57
-77,57
-34,57
29,57
103,57
122,57
155,57
101,57
85,57
67,57
82,57
55,57
130,57
96,57
81,57
64,57
59,57
57,57
93,57
55,57
133,57
67,57
85,57
71,57
39,57
10,57
-2,57
129,57
64,57
87,57
118,57
75,57
2,57
75,57
93,57
56,57
89,57
92,57
50,57
85,57
123,57
106,57
125,57
99,57
58,57
64,57
18,57
106,57
91,57
56,57
57,57
80,57
1,57
-5,57
89,57
55,57
80,57
33,57
83,57
87,57
-14,57
-54,57
3,57
18,57
-21,57
19,57
34,57
51,57
-3,57
53,57
104,57
76,57
59,57
-29,57
54,57
-19,57
-20,57
72,57
100,57
90,57
35,57
77,57
56,57
52,57
81,57
6,57
71,57
43,57
-39,57
38,57
50,57
45,57
38,57
38,57
86,57
22,57
7,57
9,57
39,57
-5,57
-40,57
21,57
23,57
106,57
108,57
39,57
105,57
86,57
128,57
70,57
10,57
5,57
41,57
53,57
-41,57
55,57
25,57
53,57
35,57
38,57
68,57
-60,57
-51,57
-44,57
-38,57
-14,57
19,57
35,57
32,57
34,57
90,57
90,57
-13,57
38,57
33,57
92,57
61,57
75,57
87,57
17,57
-5,57
34,57
12,57
-60,57
29,57
59,57
92,57
55,57
117,57
34,57
24,57
41,57
97,57
71,57
43,57
10,57
65,57
112,57
48,57
50,57
-13,57
96,57
49,57
64,57
35,57
72,57
54,57
-4,57
-22,57
19,57
109,57
41,57
56,57
73,57
69,57
121,57
38,57
-42,57
-8,57
-20,57
