raw_data,attention
39,44
16,44
22,44
7,44
-29,44
-19,44
13,44
8,44
11,44
71,44
48,44
91,44
43,44
12,44
33,44
42,44
51,44
49,44
58,44
18,44
35,44
9,44
-65,44
-34,44
24,44
54,44
-11,44
-14,44
22,44
25,44
28,44
27,44
66,44
23,44
-19,44
-13,44
64,44
26,44
54,44
55,44
6,44
19,44
6,44
36,44
54,44
43,44
19,44
-13,44
-55,60
74,60
104,60
22,60
29,60
45,60
69,60
23,60
68,60
108,60
99,60
58,60
7,60
16,60
22,60
36,60
16,60
39,60
54,60
43,60
16,60
10,60
-18,60
7,60
24,60
-43,60
18,60
181,60
90,60
48,60
148,60
118,60
-9,60
17,60
88,60
117,60
102,60
45,60
33,60
37,60
16,60
-20,60
49,60
73,60
2,60
-10,60
25,60
12,60
5,60
1,60
24,60
52,60
-7,60
-25,60
-35,60
4,60
-44,60
-18,60
26,60
-24,60
-7,60
18,60
36,60
58,60
56,60
68,60
51,60
51,60
35,60
25,60
40,60
38,60
3,60
-28,60
25,60
57,60
21,60
50,60
27,60
9,60
68,60
92,60
83,60
83,60
82,60
29,60
80,60
87,60
33,60
67,60
60,60
50,60
-2,60
25,60
22,60
23,60
64,60
59,60
80,60
72,60
19,60
-17,60
25,60
-20,60
27,60
81,60
67,60
26,60
49,60
54,60
37,60
-9,60
-7,60
27,60
-8,60
64,60
81,60
35,60
65,60
36,60
-36,60
-41,60
8,60
54,60
60,60
60,60
83,60
40,60
40,60
17,60
12,60
27,60
68,60
86,60
60,60
53,60
44,60
8,60
-21,60
-46,60
23,60
43,60
39,60
59,60
75,60
10,60
1,60
-23,60
-4,60
32,60
32,60
37,60
35,60
83,60
69,60
74,60
69,60
53,60
36,60
10,60
-38,60
-24,60
60,60
96,60
60,60
67,60
25,60
-21,60
-10,60
38,60
50,60
98,60
100,60
49,60
5,60
-20,60
38,60
40,60
10,60
77,60
74,60
23,60
-6,60
-10,60
-34,60
-33,60
9,60
65,60
45,60
34,60
51,60
56,60
22,60
-7,60
23,60
53,60
37,60
49,60
120,60
135,60
106,60
118,60
38,60
22,60
16,60
43,60
68,60
82,60
124,60
91,60
164,60
169,60
152,60
176,60
169,60
114,60
65,60
69,60
80,60
71,60
135,60
114,60
112,60
51,60
18,60
-1,60
-6,60
-34,60
-55,60
-85,60
-25,60
3,60
7,60
-35,60
-53,60
-72,60
-68,60
-43,60
-19,60
-28,60
-13,60
-12,60
-7,60
7,60
10,60
26,60
-3,60
6,60
7,60
-56,60
-37,60
-69,60
-83,60
-29,60
-50,60
-53,60
-54,60
2,60
35,60
-21,60
-21,60
51,60
57,60
54,60
58,60
39,60
55,60
58,60
18,60
83,60
48,60
40,60
42,60
72,60
48,60
17,60
60,60
66,60
33,60
24,60
54,60
90,60
8,60
137,60
115,60
82,60
75,60
40,60
18,60
56,60
108,60
86,60
102,60
72,60
52,60
41,60
35,60
7,60
27,60
57,60
45,60
68,60
64,60
59,60
11,60
10,60
20,60
18,60
49,60
26,60
36,60
64,60
26,60
33,60
76,60
74,60
42,60
26,60
25,60
1,60
-44,60
-91,60
16,60
10,60
16,60
2,60
7,60
-34,60
-36,60
6,60
8,60
64,60
75,60
27,60
41,60
11,60
59,60
66,60
114,60
105,60
54,60
71,60
53,60
52,60
37,60
19,60
-19,60
-44,60
-65,60
-67,60
-9,60
18,60
123,60
120,60
97,60
86,60
92,60
89,60
60,60
91,60
156,60
147,60
152,60
146,60
101,60
125,60
115,60
91,60
129,60
130,60
70,60
55,60
51,60
58,60
77,60
28,60
32,60
13,60
3,60
6,60
-23,60
1,60
21,60
-27,60
-59,60
-55,60
-49,60
-54,60
-53,60
-69,60
-59,60
-69,60
-53,60
-87,60
-50,60
-17,60
-33,60
-56,60
-44,60
-20,60
-23,60
-23,60
-26,60
3,60
12,60
-8,60
5,60
1,60
-7,60
-50,60
19,60
80,60
57,60
0,60
0,60
19,60
34,60
5,60
5,60
103,60
86,60
52,60
20,60
6,60
23,60
42,60
38,60
59,60
51,60
51,60
48,60
33,60
48,60
105,60
35,60
-17,60
-29,60
20,60
-11,60
34,60
44,60
18,60
-8,60
32,60
93,60
27,60
20,60
68,60
102,60
39,60
10,60
48,60
10,60
1,60
21,60
66,60
38,60
64,60
59,60
32,60
34,60
50,60
45,60
36,60
89,60
60,60
74,60
60,60
68,60
43,60
43,60
92,60
88,60
64,60
83,60
92,60
109,60
136,60
75,60
52,60
73,60
44,60
33,60
91,60
129,60
80,60
83,60
121,60
68,60
117,60
163,60
133,60
39,60
50,60
86,60
102,60
68,60
120,60
123,60
66,60
-4,60
-21,60
36,60
64,60
-4,60
-22,60
42,60
21,60
-4,60
6,60
-8,60
-51,60
-51,67
-44,67
-36,67
7,67
2,67
20,67
11,67
12,67
18,67
-29,67
-71,67
-50,67
-24,67
65,67
36,67
2,67
24,67
2,67
-5,67
-11,67
19,67
7,67
24,67
27,67
49,67
40,67
58,67
60,67
22,67
86,67
89,67
56,67
56,67
44,67
10,67
58,67
81,67
55,67
4,67
48,67
89,67
72,67
132,67
156,67
97,67
100,67
100,67
121,67
138,67
108,67
120,67
97,67
148,67
108,67
99,67
115,67
77,67
83,67
82,67
116,67
20,67
-2,67
9,67
26,67
-21,67
-11,67
32,67
-8,67
-37,67
-26,67
-12,67
-21,67
-6,67
-51,67
3,67
3,67
17,67
-4,67
2,67
16,67
23,67
2,67
6,67
-5,67
-44,67
-4,67
-8,67
-49,67
-9,67
-6,67
-8,67
13,67
-3,67
22,67
41,67
-5,67
-8,67
-7,67
-20,67
-26,67
6,67
91,67
98,67
52,67
43,67
-7,67
-85,67
-26,67
54,67
48,67
-6,67
0,67
-6,67
-27,67
-27,67
4,67
45,67
58,67
65,67
89,67
99,67
54,67
22,67
40,67
108,67
138,67
121,67
112,67
96,67
36,67
52,67
25,67
26,67
38,67
-18,67
-45,67
-46,67
8,67
100,67
68,67
52,67
64,67
54,67
56,67
106,67
67,67
129,67
103,67
96,67
86,67
102,67
86,67
45,67
29,67
-11,67
-22,67
-13,67
40,67
-5,67
-4,67
-24,67
-12,67
-25,67
-17,67
-35,67
-43,67
-19,67
13,67
48,67
98,67
70,67
57,67
86,67
9,67
-27,67
11,67
56,67
8,67
34,67
34,67
44,67
20,67
-5,67
26,67
24,67
12,67
-12,67
-2,67
-37,67
-7,67
29,67
33,67
52,67
89,67
67,67
103,67
91,67
61,67
89,67
22,67
34,67
33,67
8,67
52,67
58,67
19,67
17,67
53,67
24,67
38,67
57,67
69,67
58,67
29,67
34,67
120,67
77,67
77,67
57,67
60,67
65,67
57,67
69,67
81,67
10,67
-8,67
44,67
73,67
52,67
38,67
56,67
29,67
-4,67
24,67
55,67
55,67
8,67
49,67
70,67
82,67
26,67
-29,67
-12,67
17,67
38,67
135,67
168,67
123,67
67,67
26,67
10,67
21,67
12,67
29,67
58,67
76,67
43,67
21,67
42,67
11,67
-8,67
39,67
91,67
37,67
52,67
57,67
56,67
70,67
84,67
101,67
82,67
51,67
36,67
22,67
37,67
32,67
11,67
22,67
70,67
103,67
90,67
118,67
73,67
32,67
49,67
25,67
-10,67
43,67
45,67
58,67
64,67
125,67
107,67
28,67
-19,67
42,67
53,67
34,67
51,67
74,67
24,67
27,67
26,67
61,67
50,67
-3,67
-66,67
-37,67
-22,67
-6,67
-5,67
-9,67
71,67
40,67
17,67
43,67
38,67
3,67
28,67
39,67
64,67
22,67
-13,67
-24,67
-50,67
-44,67
23,67
39,67
10,67
39,67
57,67
35,67
1,67
73,67
7,67
-21,67
43,67
24,67
51,67
26,67
-11,67
-3,67
-28,67
-29,67
41,67
59,67
59,67
87,67
74,67
64,67
74,67
36,67
19,67
-19,67
-1,67
55,67
57,67
22,67
-12,67
-1,67
43,67
-18,67
-6,67
20,67
8,67
-18,67
-11,67
-4,67
25,67
48,67
66,67
23,67
85,67
89,67
58,67
22,67
-7,67
48,67
85,67
58,67
45,67
52,67
26,67
52,67
-29,67
7,67
19,67
80,67
11,67
91,67
34,67
17,67
71,67
67,67
33,67
108,67
135,67
61,67
35,67
102,67
76,67
58,67
81,67
55,67
-35,67
-50,67
132,67
146,67
84,67
74,67
103,67
113,67
-1,67
-3,67
93,67
131,67
19,67
51,67
97,67
33,67
38,67
20,67
-35,67
19,67
4,67
-21,67
17,67
21,67
-23,67
-39,67
-70,67
-54,67
-94,67
-56,67
-45,67
-52,67
-70,67
-94,67
-23,67
73,67
38,67
2,67
-40,67
-50,67
-22,67
26,67
71,67
64,67
67,67
26,67
-36,67
-66,67
23,67
11,67
43,67
18,67
17,67
22,67
13,67
21,67
-7,67
53,67
54,67
68,67
100,67
60,67
5,67
45,67
86,67
139,67
103,67
116,67
144,67
131,67
98,67
76,67
76,67
131,67
130,67
72,67
72,67
114,67
100,67
57,67
81,67
49,67
58,67
99,67
123,67
54,67
72,67
122,67
125,67
71,67
92,67
134,67
67,67
34,67
74,67
87,67
65,67
42,67
24,67
-50,67
-28,67
-12,67
-38,67
-4,67
18,67
8,67
-13,67
22,67
-5,64
-12,64
-69,64
-12,64
1,64
8,64
41,64
-22,64
-43,64
-73,64
-92,64
-122,64
-52,64
-52,64
-73,64
-89,64
-38,64
39,64
23,64
-26,64
-1,64
7,64
-38,64
22,64
57,64
36,64
64,64
51,64
9,64
52,64
81,64
40,64
51,64
12,64
-8,64
25,64
43,64
9,64
49,64
54,64
24,64
-18,64
23,64
4,64
9,64
55,64
145,64
92,64
91,64
88,64
83,64
87,64
34,64
89,64
99,64
90,64
13,64
35,64
34,64
-2,64
-67,64
-17,64
-37,64
50,64
38,64
-7,64
-12,64
-19,64
-9,64
34,64
67,64
25,64
60,64
98,64
52,64
54,64
56,64
36,64
11,64
-12,64
35,64
32,64
86,64
59,64
89,64
70,64
57,64
75,64
96,64
74,64
26,64
9,64
-19,64
1,64
18,64
44,64
57,64
124,64
88,64
48,64
65,64
76,64
40,64
37,64
8,64
21,64
16,64
71,64
82,64
75,64
60,64
38,64
11,64
-1,64
-35,64
19,64
7,64
-35,64
-33,64
12,64
18,64
1,64
-25,64
29,64
81,64
74,64
72,64
53,64
-3,64
-51,64
-53,64
-3,64
-29,64
32,64
21,64
-20,64
38,64
113,64
76,64
81,64
65,64
72,64
86,64
49,64
76,64
128,64
131,64
59,64
64,64
72,64
22,64
-24,64
20,64
19,64
-21,64
21,64
21,64
0,64
-27,64
-17,64
26,64
-36,64
-23,64
-7,64
-21,64
-3,64
-23,64
-6,64
0,64
-4,64
44,64
71,64
43,64
70,64
68,64
18,64
34,64
-17,64
-29,64
-59,64
-84,64
-29,64
-20,64
-1,64
4,64
23,64
8,64
18,64
18,64
61,64
112,64
84,64
51,64
57,64
74,64
75,64
74,64
49,64
40,64
80,64
98,64
101,64
23,64
17,64
10,64
-2,64
-12,64
40,64
-2,64
37,64
23,64
-1,64
51,64
66,64
80,64
85,64
9,64
-6,64
68,64
146,64
51,64
52,64
65,64
50,64
102,64
97,64
162,64
231,64
81,64
4,64
24,64
24,64
6,64
22,64
-7,64
-35,64
-23,64
-29,64
-5,64
-2,64
-65,64
-71,64
19,64
92,64
70,64
135,64
120,64
49,64
3,64
43,64
66,64
96,64
105,64
-12,64
-20,64
50,64
33,64
13,64
18,64
-17,64
-42,64
-9,64
-18,64
44,64
43,64
35,64
50,64
12,64
90,64
76,64
34,64
101,64
139,64
92,64
65,64
56,64
25,64
37,64
8,64
57,64
7,64
-29,64
28,64
19,64
-74,64
-73,64
-42,64
16,64
-4,64
23,64
73,64
67,64
22,64
99,64
80,64
