raw_data,attention
18,0
9,0
2,0
-41,0
-70,0
-37,0
-17,0
-7,0
-6,0
-2,0
20,0
35,0
73,0
26,0
-10,0
41,0
11,0
-53,0
1,0
16,0
0,0
57,0
26,0
72,0
76,0
33,0
4,0
-41,0
-22,0
-20,0
-2,0
-7,0
12,0
-29,0
-53,0
-39,0
-40,0
-30,0
-6,0
-24,0
-20,0
-24,0
-21,0
18,0
58,0
36,0
50,0
50,0
24,0
34,0
65,0
49,0
81,0
-67,0
-71,0
-83,0
-73,0
-72,0
-27,0
-25,0
-23,0
-2,0
24,0
-3,0
3,0
25,0
28,0
-19,0
-19,0
41,0
52,0
66,0
69,0
48,0
68,0
86,0
81,0
98,0
120,0
100,0
125,0
144,0
91,0
114,0
125,40
66,40
64,40
55,40
51,40
71,40
88,40
119,40
69,40
37,40
52,40
39,40
27,40
50,40
35,40
34,40
43,40
29,40
61,40
51,40
50,40
60,40
91,40
84,40
44,40
72,40
108,40
107,40
118,40
165,40
172,40
-3,40
23,40
32,40
34,40
55,40
39,40
43,40
50,40
52,40
44,40
39,40
68,40
48,40
21,40
32,40
25,40
45,40
28,40
10,40
42,40
71,40
97,40
87,40
85,40
73,40
58,40
51,40
69,40
84,40
64,40
53,40
38,40
66,40
81,40
132,40
3,40
22,40
50,40
56,40
39,40
37,40
23,40
13,40
16,40
64,40
118,40
114,40
117,40
92,40
70,40
64,40
54,40
24,40
18,40
9,40
-5,40
-29,40
-35,40
-23,40
-29,40
20,40
10,40
27,40
25,40
229,40
305,40
305,40
353,40
395,40
390,40
410,40
375,40
324,40
336,40
281,40
213,40
183,40
146,40
167,40
119,40
55,40
67,40
-6,40
-51,40
-114,40
-147,40
-155,40
-244,40
-258,40
-233,40
-279,40
-269,40
-261,40
-284,40
59,40
66,40
55,40
58,40
71,40
65,40
70,40
75,40
42,40
55,40
74,40
83,40
57,40
65,40
35,40
28,40
66,40
44,40
-2,40
4,40
40,40
6,40
-22,40
-5,40
-24,40
1,40
23,40
48,40
32,40
33,40
28,40
23,40
26,40
69,40
50,40
-36,40
-35,40
-52,40
-100,40
-146,40
-104,40
-87,40
-123,40
-108,40
-97,40
-93,40
-103,40
-100,40
-89,40
-99,40
-83,40
-77,40
-66,40
-60,40
-70,40
-33,40
-1,40
-36,40
32,40
70,40
73,40
85,40
109,40
122,40
122,40
16,40
52,40
24,40
67,40
80,40
85,40
101,40
101,40
108,40
82,40
45,40
98,40
80,40
39,40
53,40
40,40
13,40
-17,40
-26,40
-11,40
5,40
10,40
9,40
10,40
36,40
-1,40
3,40
16,40
29,40
35,40
28,40
65,40
66,40
70,40
105,40
54,40
73,40
41,40
50,40
34,40
35,40
68,40
91,40
81,40
120,40
131,40
117,40
99,40
71,40
44,40
68,40
19,40
28,40
67,40
59,40
86,40
82,40
99,40
74,40
73,40
69,40
22,40
35,40
37,40
23,40
113,40
101,40
91,40
72,40
60,40
45,40
26,40
49,40
36,40
38,40
56,40
6,40
4,40
25,40
-4,40
1,40
26,40
22,40
26,40
-2,40
0,40
-2,40
-18,40
-6,40
20,40
38,40
43,40
44,40
51,40
-19,40
-6,40
-10,40
35,40
34,40
43,40
41,40
23,40
16,40
29,40
23,40
39,40
80,40
81,40
56,40
65,40
76,40
84,40
96,40
106,40
58,40
37,40
57,40
53,40
41,40
54,40
23,40
42,40
41,40
48,40
32,40
25,40
43,40
23,40
32,40
21,40
-14,40
-2,40
-30,40
-25,40
-2,40
12,40
22,40
2,40
34,40
87,40
45,40
56,40
86,40
65,40
41,40
43,40
27,40
37,40
23,40
16,40
40,40
67,40
48,40
58,40
40,40
34,40
77,40
91,40
92,40
56,40
72,40
39,40
49,40
35,40
19,40
-3,40
-6,40
0,40
-20,40
-6,40
2,40
10,40
9,40
48,40
50,40
72,40
64,40
81,40
48,40
53,40
89,40
101,40
72,40
82,40
108,40
58,40
61,40
70,40
87,40
81,40
90,40
85,40
80,40
85,40
33,40
65,40
55,40
73,40
49,40
66,40
58,40
42,40
60,40
38,40
37,40
50,40
67,40
57,40
53,40
28,40
26,40
17,40
12,40
16,40
-5,40
24,40
41,40
29,40
43,40
50,40
51,40
38,40
45,40
45,40
41,40
60,40
60,40
51,40
45,40
56,40
33,40
38,40
44,40
70,40
65,40
76,40
65,40
65,40
88,40
51,40
40,40
34,40
11,40
16,40
21,40
19,40
20,40
10,40
20,40
21,40
3,40
-10,40
-14,40
4,40
89,40
73,40
53,40
57,40
35,40
11,40
29,40
21,40
25,40
33,40
34,40
19,40
40,40
38,40
35,40
-17,40
-55,40
-51,40
-61,40
-70,40
-35,40
8,40
-25,40
7,40
17,40
-17,40
-8,40
17,40
8,40
-27,40
-9,40
-2,40
28,40
23,40
57,40
39,40
25,40
48,40
27,40
21,40
1,40
29,40
13,40
20,40
39,40
28,40
20,40
42,40
33,40
27,40
18,40
-12,40
7,40
33,40
53,40
76,40
58,40
66,40
50,40
53,40
33,40
53,40
25,40
21,40
-4,40
-13,40
-53,40
-56,40
-24,40
-50,40
-77,40
-71,40
-68,40
-30,40
-19,40
34,40
41,40
21,40
17,40
29,40
38,40
57,40
85,40
70,40
68,40
76,40
49,40
11,40
29,40
27,40
18,40
22,40
19,40
34,40
29,40
-18,40
20,40
11,40
10,40
22,40
66,40
54,40
57,40
51,40
52,40
38,40
26,40
29,40
17,40
-9,40
-35,40
-105,40
-133,40
-103,40
-74,40
-67,40
-44,40
-54,40
-50,40
-11,40
4,40
8,40
12,40
20,40
-5,40
9,40
18,40
50,40
27,40
19,40
35,40
9,40
4,40
24,40
33,40
42,40
65,40
59,40
32,40
34,40
3,40
12,40
11,40
23,40
22,40
-5,40
-19,40
-13,40
-19,40
-42,40
-23,40
-40,40
-20,40
-30,40
-23,40
7,40
20,40
314,40
310,40
296,40
226,40
231,40
219,40
183,40
180,40
168,40
124,40
131,40
76,40
41,40
-3,40
-38,40
-68,40
-102,40
-125,40
-147,40
-189,40
-194,40
-253,40
-292,40
-281,40
-267,40
-241,40
-267,40
-244,40
-218,40
-226,40
-185,40
-156,40
-154,40
117,40
102,40
104,40
115,40
83,40
80,40
68,40
51,40
44,40
45,40
59,40
72,40
38,40
20,40
16,40
10,40
-10,40
-11,40
27,40
20,40
-2,40
-10,40
3,40
40,40
33,40
35,40
38,40
28,40
45,40
57,40
34,40
53,40
41,40
21,40
8,40
11,40
19,40
16,40
17,40
-2,40
16,40
2,40
-8,40
9,40
-2,40
-28,40
3,40
-14,40
-42,40
-40,40
-53,40
-69,40
-22,40
-7,40
-4,40
18,40
12,40
-17,40
-17,40
6,40
12,40
24,40
12,40
-4,40
3,40
37,40
26,40
42,40
6,40
7,40
-3,40
-12,40
-1,40
35,40
25,40
7,40
57,38
32,38
70,38
68,38
75,38
69,38
66,38
58,38
67,38
11,38
25,38
20,38
23,38
26,38
36,38
57,38
70,38
66,38
23,38
17,38
58,38
52,38
38,38
56,38
51,38
27,38
21,38
32,38
41,38
26,38
11,38
1,38
6,38
20,38
32,38
60,38
39,38
20,38
23,38
26,38
39,38
53,38
41,38
21,38
33,38
-5,38
12,38
-35,38
-61,38
-97,38
-133,38
-146,38
-163,38
-170,38
-167,38
-150,38
-138,38
-155,38
-130,38
-154,38
-178,38
-173,38
-172,38
-126,38
-98,38
-78,38
-99,38
-77,38
-60,38
-70,38
-21,38
1,38
-9,38
9,38
-21,38
3,38
24,38
-1,38
-19,38
3,38
58,38
61,38
43,38
65,38
75,38
55,38
83,38
66,38
42,38
53,38
33,38
36,38
41,38
58,38
90,38
60,38
66,38
40,38
22,38
37,38
26,38
80,38
76,38
106,38
118,38
96,38
85,38
84,38
89,38
