raw_data,attention
1604,0
1712,0
1732,0
1784,0
1831,0
1753,0
1658,0
1541,0
1450,0
1360,0
1260,0
1163,0
1140,0
1111,0
1051,0
1004,0
963,0
907,0
851,0
792,0
739,0
689,0
642,0
598,0
556,0
519,0
483,0
451,0
420,0
390,0
360,0
330,0
294,0
262,0
219,0
188,0
180,0
161,0
133,0
104,0
112,0
113,0
125,0
134,0
128,0
109,0
70,0
48,0
10,0
-19,0
-21,0
8,0
33,0
9,0
-1,0
-34,0
-86,0
-138,0
-187,0
-267,0
-470,0
-533,0
-570,0
-722,0
-738,0
-779,0
-1270,0
-1490,0
-1748,0
-2003,0
-2010,0
-2025,0
-1993,0
-1917,0
-1862,0
-1748,0
-1643,0
-1538,0
-1431,0
-1330,0
-1996,0
-2048,0
-2048,0
-2048,0
-2048,0
129,0
163,0
187,0
209,0
200,0
189,0
196,0
184,0
195,0
197,0
154,0
146,0
166,0
166,0
135,0
113,0
105,0
75,0
35,0
1,0
-38,0
-102,0
-169,0
-202,0
-228,0
-261,0
-243,0
-235,0
-330,0
-283,0
-225,0
-280,0
-199,0
-178,0
-250,0
-263,0
-306,0
-280,0
-247,0
-179,0
-86,0
-146,0
-118,0
-231,0
-345,0
-407,0
-430,0
-395,0
-439,0
-316,0
-324,0
-355,0
-329,0
-358,0
-343,0
-273,0
-291,0
-411,0
-397,0
-340,0
-310,0
-193,0
-154,0
27,0
86,0
43,0
123,0
241,0
296,0
323,0
343,0
341,0
321,0
388,0
298,0
297,0
419,0
421,0
380,0
405,0
422,0
416,0
424,0
419,0
419,0
376,0
289,0
204,0
135,0
-22,0
-90,0
-61,0
-210,0
-433,0
-529,0
-803,0
-984,0
-1032,0
-1051,0
-1101,0
-1221,0
-1425,0
-1543,0
-1609,0
-1598,27
-1523,27
-1522,27
-1457,27
-1364,27
-1262,27
-1206,27
-971,27
-839,27
-856,27
-891,27
-937,27
-857,27
-963,27
-1021,27
-1044,27
-1026,27
-844,27
-627,27
-553,27
-462,27
-315,27
-243,27
-189,27
-56,27
77,27
156,27
285,27
384,27
440,27
412,27
362,27
417,27
452,27
564,27
778,27
871,27
989,27
1128,27
1203,27
1255,27
1281,27
1228,27
1312,27
1239,27
1259,27
1299,27
1288,27
1233,27
1282,27
1250,27
1257,27
1235,27
1226,27
1160,27
1060,27
1049,27
1026,27
971,27
896,27
868,27
806,27
733,27
699,27
673,27
636,27
587,27
532,27
519,27
427,27
348,27
324,27
299,27
232,27
197,27
49,27
-92,27
-252,27
-418,27
-477,27
-504,27
-363,27
-171,27
-108,27
-9,27
55,27
22,27
19,27
124,27
124,27
