delta,theta,alpha,beta,gama,Color
1.55E-06,1.55E-06,1.61E-05,0.003833844,0.012571343,blue
1.82E-05,1.80E-05,0.000179965,0.035614076,0.074282536,blue
0.00010751,0.000105154,0.000999791,0.155362233,0.138809802,blue
0.000433829,0.000417556,0.00372653,0.420276886,-0.067713737,blue
0.001356694,0.001279933,0.010575442,0.768805091,-0.698267342,blue
0.003534538,0.003254492,0.024511196,0.92212168,-1.026596069,blue
0.008032725,0.00718577,0.048471018,0.462054841,0.219990077,blue
0.016430731,0.014211682,0.084138575,-0.870686046,2.748675716,blue
0.030921112,0.025730332,0.130519902,-2.839733855,3.495154135,blue
0.054387383,0.043310358,0.182623977,-4.622393058,-0.359983487,blue
0.090447277,0.068537057,0.230610388,-5.106044734,-6.42354687,blue
0.143454313,0.102798961,0.259823648,-3.445547799,-7.513962531,blue
0.218460722,0.147035465,0.252107699,0.424199031,0.230525131,blue
0.321150478,0.201475786,0.188575298,5.593582417,10.45604824,blue
0.457749304,0.265399079,0.053612254,10.39333253,11.47728217,blue
0.63491615,0.336942265,-0.16049189,12.93855636,-0.078286192,blue
0.859620956,0.412979494,-0.44915493,11.81578542,-13.09492512,blue
1.139013828,0.489092934,-0.79232847,6.676196647,-13.08988848,blue
1.480286986,0.559644659,-1.153478571,-1.498708012,0.755538714,blue
1.890523693,0.617945641,-1.481454263,-10.59890257,13.48337831,blue
2.376525243,0.656508576,-1.715532181,-18.00575232,11.23371138,blue
2.944611581,0.667370914,-1.793284402,-21.39717964,-2.582110452,blue
3.600404277,0.642483669,-1.66021033,-19.43672168,-11.64295253,blue
4.348614289,0.574170922,-1.279557304,-12.1438296,-6.455518163,blue
5.192855598,0.455657628,-0.640699454,-0.937051521,4.771161638,blue
6.135494538,0.281645081,0.235247435,11.57970344,7.449720976,blue
7.177538491,0.048901165,1.293490542,22.10131487,-0.440623743,blue
8.318567509,-0.243171748,2.447783147,27.42818693,-6.333681438,blue
9.556713578,-0.592029115,3.586807766,25.50001032,-0.743361967,blue
10.88868853,-0.991577912,4.584182835,16.30506058,8.840931649,blue
12.30985096,-1.431920492,5.311016645,2.186485967,7.208493329,blue
13.81429502,-1.899298099,5.649592975,-12.73769765,-7.184694975,blue
15.39494609,-2.376270357,5.506733901,-23.89859698,-17.27297941,blue
17.04365673,-2.842145037,4.825552167,-27.83448818,-7.75621709,blue
18.75130279,-3.273650164,3.594532978,-23.37579583,13.75790139,blue
20.50788354,-3.645822141,1.853104773,-12.02861637,22.99592721,blue
22.3026324,-3.933067158,-0.306904678,2.553331122,7.493159921,blue
24.12414657,-4.110341061,-2.744293778,15.79022397,-17.05982443,blue
25.96054007,-4.154388912,-5.276142303,23.64413064,-23.81717817,blue
27.79961728,-4.044988797,-7.689999169,23.83794281,-5.659638161,blue
29.62905528,-3.766151198,-9.760170654,16.46390338,16.926857,blue
31.43658171,-3.307226761,-11.26717474,3.870374369,19.98958149,blue
33.21013922,-2.663871729,-12.01884464,-10.06216352,2.797646444,blue
34.93803235,-1.838819512,-11.87110064,-21.03646666,-13.94539668,blue
36.60905724,-0.842407416,-10.74613797,-25.57243681,-13.55085333,blue
38.21262076,0.307189332,-8.645780853,-22.05608536,-0.55266761,blue
39.7388554,1.584052083,-5.658126198,-11.31811314,8.579741123,blue
41.17873097,2.954958127,-1.956282181,3.471555669,6.139284253,blue
42.52416097,4.380161904,2.211168864,17.66782255,-0.543247894,blue
43.76810087,5.814498892,6.537505595,26.61332403,-1.765169142,blue
44.90463344,7.208775824,10.68168174,27.253793,1.713723951,blue
45.92903362,8.511394373,14.29657286,19.29683539,1.725429096,blue
46.83780626,9.670145773,17.05913485,5.415635173,-4.334158446,blue
47.62869449,10.63410952,18.69974604,-9.649845676,-8.868353544,blue
48.30066126,11.35558898,19.02805347,-20.79593053,-4.008965928,blue
48.85384919,11.79201594,17.9528893,-24.42726771,7.109711394,blue
49.28951936,11.9077506,15.49421576,-19.78059351,12.74645787,blue
49.6099673,11.67570335,11.785691,-9.160636218,6.246616643,blue
49.81841679,11.07871169,7.067308513,3.044215533,-5.796744591,blue
49.91889371,10.11061525,1.668488878,12.17572869,-11.13143484,blue
49.91608203,8.776981642,-4.017103554,15.17595664,-5.824692916,blue
49.81516455,7.095447947,-9.562945088,11.71218246,2.416144379,blue
49.62165438,5.095659605,-14.54451357,4.105433843,4.770538902,blue
49.34122814,2.818807174,-18.57449159,-3.844288648,1.595923712,blue
48.97957533,0.316778073,-21.33511379,-8.576621229,-0.158313175,blue
48.54227688,-2.349048716,-22.60476159,-8.278107862,2.411606996,blue
48.03471848,-5.109333514,-22.27654241,-3.560118406,4.306940758,blue
47.46203523,-7.888600343,-20.36741069,2.938914488,0.383743113,blue
46.82908155,-10.60731499,-17.0171889,7.83930972,-6.345443026,blue
46.14042577,-13.18416203,-12.47758689,8.637121049,-7.691834921,blue
45.40037263,-15.53845324,-7.092068671,4.91490385,-1.120063184,blue
44.61301363,-17.59259711,-1.268207336,-1.458362802,6.075097398,blue
43.78229754,-19.27456183,4.555127903,-7.272216476,5.605449089,blue
42.91211016,-20.52026452,9.942973667,-9.594259842,-0.961568961,blue
42.00635399,-21.27581638,14.49893969,-7.226479291,-4.022226702,blue
41.0690205,-21.49955102,17.89652665,-1.257260532,1.094284707,blue
40.10425136,-21.16376284,19.90459814,5.536133391,7.009648009,blue
39.11638463,-20.25608742,20.40498241,10.07366565,3.444473929,blue
38.10998072,-18.78046571,19.40077577,10.4090947,-8.293323416,blue
37.08981963,-16.75764786,17.01463199,6.518283797,-14.67110206,blue
36.06086426,-14.2252018,13.47717875,0.145689554,-5.618741866,blue
35.02819136,-11.2369997,9.106595793,-6.096333732,11.96750527,blue
33.99689184,-7.862172108,4.281102026,-9.895532324,19.979034,blue
32.97193892,-4.183541431,-0.593363064,-10.15501605,8.807541581,blue
31.95802703,-0.295560769,-5.117526754,-7.282128936,-11.16088939,blue
30.95939106,3.698203054,-8.932261953,-2.787747931,-20.04081821,blue
29.97961515,7.687983845,-11.74829146,1.521482125,-9.79081904,blue
29.02143762,11.56104843,-13.36962945,4.319758575,7.699950482,blue
28.08655912,15.20515174,-13.70881586,5.171128646,14.7001676,blue
27.17545979,18.51210457,-12.79271667,4.467947176,6.89749329,blue
26.28722876,21.38133232,-10.75847962,3.031649881,-4.225759254,blue
25.41940898,23.7232975,-7.840053129,1.641287046,-6.668380515,blue
24.5678595,25.46265838,-4.346455829,0.72737155,-1.153692111,blue
23.72663853,26.54104272,-0.633645018,0.332747936,2.616259534,blue
22.88791095,26.91932692,2.927639513,0.276815522,-0.353494342,blue
22.04188036,26.57932183,5.985285969,0.35429671,-4.748595812,blue
21.17673957,25.52478097,8.237530137,0.427462198,-3.176998489,blue
20.27862757,23.78166471,9.460135024,0.391486371,3.729828808,blue
19.33157672,21.3976182,9.526575032,0.108101498,8.16526463,blue
18.31743573,18.44065424,8.419463486,-0.567645066,4.885545958,blue
17.21576546,14.99707709,6.232400129,-1.621372878,-2.781410876,blue
16.00372293,11.16873305,3.162412469,-2.678249366,-7.387444916,blue
14.65595688,7.069709038,-0.506092249,-3.004190607,-5.863188534,blue
13.14452899,2.822611644,-4.424557947,-1.890950727,-1.584046641,blue
11.4388601,-1.445441635,-8.209128714,0.705510603,1.499121665,blue
9.505692541,-5.606985974,-11.47322946,3.733338638,3.828566233,blue
7.309055777,-9.538393267,-13.86162454,5.283331799,7.227991485,blue
4.810221525,-13.12394258,-15.08337921,3.564006863,8.857041038,blue
1.967639714,-16.25964051,-14.94089477,-1.842319534,2.798865859,blue
-1.263140585,-18.85664989,-13.35210886,-9.19831627,-10.46323361,blue
-4.929550854,-20.84418837,-10.36325794,-14.94053102,-19.75054243,blue
-9.082066383,-22.17177586,-6.150358751,-15.20807056,-13.14179837,blue
-13.77424246,-22.8107418,-1.008709888,-7.951056102,7.336149232,blue
-19.06272481,-22.75494508,4.668965164,5.476307377,24.55829974,blue
-25.00724306,-22.0206975,10.42391478,20.25802684,22.49604057,blue
-31.67059481,-20.64591083,15.76957305,29.92031458,2.557584895,blue
-39.11861959,-18.68850709,20.23330711,29.31929571,-18.11269154,blue
-47.42015822,-16.22415466,23.3980696,17.35097458,-23.90557503,blue
-56.64700741,-13.34343044,24.94010544,-2.129184046,-14.03631953,blue
-66.87389274,-10.14854133,24.65906049,-21.80026204,1.249452282,blue
-78.17847694,-6.749743184,22.49767422,-34.06394248,13.39035223,blue
-90.64140541,-3.261586957,18.54940726,-34.32156791,19.98921294,blue
-104.3463859,0.200882851,13.05349312,-22.80608582,18.73510436,blue
-119.3803037,3.525850607,6.377905669,-4.263270454,5.303691111,blue
-135.8333767,6.608248439,-1.008332768,14.20068739,-17.33374767,blue
-153.7993549,9.352961302,-8.571191329,26.0604644,-32.46790258,blue
-173.375758,11.67762843,-15.75299893,27.84062329,-22.42137355,blue
-194.6641443,13.51497229,-22.01571565,20.15383948,9.209224122,blue
-217.7704041,14.81460075,-26.88265556,7.003381151,34.7622979,blue
-242.8050807,15.54423678,-29.97551907,-6.214985417,29.04350362,blue
-269.8837239,15.69034737,-31.04399164,-15.01916147,-2.3180096,blue
-299.1272669,15.25817675,-29.98557528,-17.38403735,-27.28570932,blue
-330.6624062,14.27121694,-26.853983,-13.96417396,-22.39951576,blue
-364.6219751,12.7701565,-21.85545819,-7.205397503,1.818559891,blue
-401.14531,10.8113473,-15.3334992,-0.026374459,15.58239173,blue
-440.378616,8.464837693,-7.743368743,5.287412497,6.501764296,blue
-482.4753369,5.812031372,0.381545167,7.650642792,-7.577528401,blue
-527.5965296,2.943042951,8.468951466,7.199978873,-4.748605332,blue
-575.9112414,-0.046163422,15.94964457,4.959886065,11.00136361,blue
-627.596873,-3.056752785,22.29934282,2.354202312,15.45250013,blue
-682.8395171,-5.990015651,27.07739698,0.673453011,-2.48141141,blue
-741.8342665,-8.750292971,29.95942988,0.576071134,-23.78641131,blue
-804.7854935,-11.24775093,30.76129328,1.781281692,-21.4384633,blue
-871.907096,-13.40093097,29.45238173,3.156518748,5.751450368,blue
-943.4227095,-15.1390069,26.15717163,3.255489888,29.54059091,blue
-1019.565878,-16.40369161,21.14477085,1.100020004,23.78194741,blue
-1100.580182,-17.15074833,14.80722172,-3.185921651,-5.996962071,blue
-1186.719327,-17.35107935,7.628180093,-8.262540994,-28.93088004,blue
-1278.247205,-16.9913851,0.14436485,-12.09911202,-22.6448264,blue
-1375.437933,-16.07440113,-7.097155426,-12.89285243,4.195742853,blue
-1478.575903,-14.61872866,-13.58227682,-9.905872709,23.80908173,blue
-1587.955825,-12.6582806,-18.87004095,-3.802962108,19.21053686,blue
-1703.88281,-10.24136929,-22.62613159,3.646751007,-1.167935693,blue
-1826.67246,-7.429456668,-24.64660707,10.33302863,-16.21824825,blue
-1956.650976,-4.295583826,-24.86965604,14.63340653,-14.4438198,blue
-2094.15528,-0.922508351,-23.37447866,15.8704089,-2.122640724,blue
-2239.533142,2.599407003,-20.367831,14.21701454,7.429833282,blue
-2393.143337,6.17450427,-16.16001105,10.25753798,8.363921805,blue
-2555.355818,9.704288523,-11.13300841,4.608354772,4.792143448,blue
-2726.551907,13.08998241,-5.704194516,-2.13512013,1.862010932,blue
-2907.124511,16.23511576,-0.289295173,-9.189265922,-0.986636971,blue
-3097.478363,19.048081,4.731684202,-15.3922707,-6.087922988,blue
-3298.030302,21.44458824,9.042496086,-19.27500428,-10.20362698,blue
-3509.209575,23.34996408,12.41051053,-19.44417966,-6.349563644,blue
-3731.458153,24.70124862,14.69733111,-15.14078853,5.765182094,blue
-3965.231049,25.44905079,15.860115,-6.73633819,15.3265763,blue
-4210.996613,25.55912,15.94437775,4.068454662,10.95194908,blue
