lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,delta,theta,poorSignalLevel,meditation,attention
16656,11640,14268,9124,6584,2348,15837,30573,0,53,47
16656,11640,14268,9124,6584,2348,15837,30573,0,53,47
5652,4277,5951,4559,1960,1614,6848,16833,0,70,48
21486,4706,15629,3870,7656,729,2503,2387,0,74,75
12980,16217,19920,4752,5109,2760,140215,98313,0,94,53
2672,4307,3690,3342,1480,1414,11553,5268,0,47,23
43681,8535,11864,4315,11704,2525,43632,68741,0,40,77
43681,8535,11864,4315,11704,2525,43632,68741,0,40,77
11592,5521,4618,4946,5175,1614,23889,35715,0,8,16
38693,9717,10993,13609,5855,1404,1538078,271639,0,3,17
105332,5939,3082,5620,777,4906,661065,426505,0,21,1
38977,19310,3933,1333,844,1251,687683,58660,0,35,1
38977,19310,3933,1333,844,1251,687683,58660,0,35,1
38977,19310,3933,1333,844,1251,687683,58660,0,35,1
49780,48158,8682,12638,4112,11386,1405020,705732,0,27,1
32553,82190,11928,6128,4805,8551,1264866,716112,0,3,1
31294,45810,5401,5649,4163,6778,1563588,573999,0,1,1
49678,9993,3141,3565,745,1476,922007,116289,0,43,14
188343,16287,32207,11762,4923,9098,678296,323351,0,61,23
55382,41016,53308,28387,11689,29632,223777,303668,0,43,21
121253,14715,9229,6246,8035,22684,764037,358842,0,30,26
185520,22594,35021,23298,16198,47926,540126,419125,0,20,24
15259,25075,8442,4299,882,1729,767968,46056,0,27,29
8394,14065,10258,5274,4069,3615,38640,40903,0,34,56
46045,4667,1392,2276,1560,5523,473683,169327,0,34,61
28241,3465,1619,3221,1937,7494,298271,85236,0,34,50
28207,3718,1368,3659,1740,14767,139318,180610,0,24,11
4266,2424,5232,7069,2263,2302,10329,5131,0,38,100
9026,2225,9295,4483,5625,2017,13944,10427,0,35,100
1802,5664,2086,1165,573,6013,627497,30075,0,17,48
1184,3503,3457,4455,6600,4490,17968,12199,0,17,41
