lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,delta,theta,meditation,attention
6371,4086,2865,1924,1241,1076,210349,15817,48,30
6371,4086,2865,1924,1241,1076,210349,15817,48,30
2954,1599,2124,1521,1745,522,57751,14756,43,7
6335,5118,5452,1602,966,303,107594,38585,27,1
23068,50839,18271,25951,28975,40782,163129,504113,24,4
23068,50839,18271,25951,28975,40782,163129,504113,24,4
48671,12129,10334,36956,8691,2635,1445792,42394,91,21
48671,12129,10334,36956,8691,2635,1445792,42394,91,21
63310,23364,16750,46476,37604,34753,740694,252694,40,38
22534,5757,2458,6400,4357,2283,811533,30215,69,11
22534,5757,2458,6400,4357,2283,811533,30215,69,11
115350,33459,6191,32092,28702,9358,563023,169560,64,4
35728,13632,11090,5255,2785,5745,554035,20981,77,4
37207,26154,54274,12259,8482,4610,882171,33358,90,7
12192,7031,10333,9913,2327,1072,162437,50759,75,27
15373,55571,25218,31195,10530,4440,223380,109457,57,30
29664,45106,101288,87730,30367,9555,429895,109550,54,41
11322,34068,135135,32392,19471,2159,1701804,109035,30,47
70520,38400,50323,39379,24084,7450,2187440,100593,34,29
145929,14234,9035,36616,16234,5805,199405,111590,83,30
145929,14234,9035,36616,16234,5805,199405,111590,83,30
18504,26438,5543,5604,2564,1282,785241,34854,80,27
7648,8199,10103,7793,6135,4579,638862,29112,90,21
7648,8199,10103,7793,6135,4579,638862,29112,90,21
7389,26347,21306,37060,6427,6108,774113,151804,41,23
5910,6813,4102,6437,2550,4235,885985,67845,30,17
53122,26222,15633,44012,32074,29275,472684,168286,21,35
3811,9395,7579,8954,3354,2124,56709,34821,23,38
3811,9395,7579,8954,3354,2124,56709,34821,23,38
4752,19714,6919,60546,35598,13970,1840368,145241,75,30
85180,59115,32324,14652,20043,8813,449613,200004,56,26
2072,8511,3071,13419,4845,1123,389694,13260,61,26
7776,13103,9441,7369,6467,1472,53416,12074,78,48
9587,18483,7476,8452,3225,949,16562,55402,60,60
9587,18483,7476,8452,3225,949,16562,55402,60,60
55469,19317,20545,41759,25611,6033,1092368,494412,50,11
55469,19317,20545,41759,25611,6033,1092368,494412,50,11
23374,9848,13295,9383,5802,2628,40501,28814,67,29
15421,17420,17330,20334,3503,5184,466463,147148,35,7
37674,17653,70553,29749,28199,8481,345201,259429,8,10
12993,22236,48914,13874,18366,4048,673277,149400,34,20
26929,9898,7861,9431,8181,3712,213219,127603,56,20
8134,15412,11788,11190,7484,4147,769026,89290,47,8
36816,22790,13841,41624,56088,17905,1251315,124917,47,8
82823,55722,63049,46785,23118,13523,260437,32109,53,11
82823,55722,63049,46785,23118,13523,260437,32109,53,11
82823,55722,63049,46785,23118,13523,260437,32109,53,11
259225,54491,51315,153736,132741,129487,673267,383186,16,27
259225,54491,51315,153736,132741,129487,673267,383186,16,27
53900,6407,33702,22065,10355,5007,596094,50931,47,29
22394,11605,9131,11624,4433,4870,471682,37560,66,21
60247,115347,41984,29687,28354,19153,872748,1045899,48,11
14435,36040,37767,24223,24468,2697,716397,328019,35,3
44143,119055,78263,45210,20506,7358,1014861,998476,35,4
44143,119055,78263,45210,20506,7358,1014861,998476,35,4
53166,22057,23901,10900,2550,1173,178358,74727,61,1
8661,21120,23099,16269,3541,2976,606589,49790,60,26
9199,5084,18253,8172,2221,800,187401,40205,50,35
9199,5084,18253,8172,2221,800,187401,40205,50,35
88358,61079,35606,43913,37399,7127,1678157,114044,78,38
88358,61079,35606,43913,37399,7127,1678157,114044,78,38
18996,33189,31932,20622,13051,14318,1499385,423224,24,17
4646,6484,5044,1911,1579,2461,242224,21754,1,1
43471,82801,59541,42184,15312,5455,1260344,245527,21,1
19216,7808,6612,4182,2633,481,1035692,42480,21,1
19216,7808,6612,4182,2633,481,1035692,42480,21,1
4332,11012,6062,9738,3669,1675,348892,24641,64,40
128040,18487,48519,31194,17931,3558,418965,84461,87,43
4447,36840,11881,12902,4801,599,273356,101316,66,23
67160,20484,11975,20152,7360,3137,184808,63675,78,21
8821,14422,18051,3973,747,147,134585,73164,77,14
31823,40340,33563,21698,5010,1955,189062,251175,57,8
104677,59324,143881,102550,38570,84116,2397795,406849,27,1
5341,3066,1963,966,587,1127,111787,17577,57,3
58035,82401,55761,32465,21913,13051,1957716,145213,63,16
58035,82401,55761,32465,21913,13051,1957716,145213,63,16
10601,13196,9966,6249,10100,12094,210643,69704,51,29
33081,60107,201520,48104,38346,14107,1288505,545299,21,24
22192,67753,15160,21150,1877,1031,738316,383298,1,21
59358,49422,45204,42177,6264,4349,190237,236751,13,27
8873,1040,4842,4897,3544,4076,195604,27126,41,30
83365,3982,17650,31181,11991,7283,593282,121836,50,38
6230,1045,1025,902,374,279,20360,12404,56,29
2334,4634,2871,1739,1488,1494,145546,131577,37,11
2334,4634,2871,1739,1488,1494,145546,131577,37,11
798,4105,4755,6301,1500,2281,86969,23916,44,16
3749,10151,1734,780,774,665,124240,35467,50,14
42759,17117,38096,11385,1819,3191,303542,271021,80,21
42759,17117,38096,11385,1819,3191,303542,271021,80,21
13859,4072,2284,2043,2217,1144,9377,4963,78,26
4963,10478,1937,2407,1547,500,12280,27875,91,23
4963,10478,1937,2407,1547,500,12280,27875,91,23
10441,8389,7608,3336,4116,1161,77388,7974,80,27
978,4863,3779,1837,1428,1431,3702,10202,83,37
13098,29873,12932,4248,3599,1144,65523,24012,69,20
31653,27079,19281,14837,27985,5057,556733,234451,63,13
785,3846,4944,3904,1672,982,22323,25521,60,30
7637,2561,4929,6412,1080,2964,16496,7670,54,63
29469,9706,23370,5195,2662,666,42556,36154,87,38
17222,14185,8533,3513,3144,1874,168622,32595,91,21
17222,14185,8533,3513,3144,1874,168622,32595,91,21
