raw_data,attention
1,0
-45,0
0,0
5,0
7,0
-34,0
-10,0
-10,0
10,0
-22,0
9,0
28,0
-9,0
-56,0
-52,0
3,0
49,0
83,0
100,0
73,0
38,0
29,0
65,0
131,0
171,0
199,0
187,0
216,0
164,0
219,0
183,0
145,0
147,0
81,0
67,0
49,0
-5,0
-3,0
-20,0
-9,0
21,0
6,0
-33,0
18,0
24,0
-22,0
20,0
80,0
130,0
72,0
41,0
25,0
8,0
42,0
22,0
29,0
67,0
58,0
70,0
68,0
32,0
75,0
83,0
42,0
60,0
72,0
60,0
60,0
97,0
144,0
114,0
109,0
129,0
132,0
168,0
130,0
107,0
92,0
108,0
104,0
193,0
176,0
220,0
195,0
170,0
157,0
169,0
147,0
60,0
118,0
73,0
-6,0
-33,0
9,0
-8,0
-41,0
-49,0
-38,0
-91,0
-110,0
-69,0
5,0
19,0
-4,0
41,0
33,0
6,0
1,0
65,0
22,0
17,0
86,0
129,0
130,0
118,0
131,0
106,0
-42,0
-29,0
-41,0
-34,0
-49,0
4,0
-30,0
-40,0
-51,0
-61,0
-65,0
-83,0
-81,0
-88,0
-92,0
-97,0
-121,0
-124,0
-193,0
-234,0
-185,0
-134,0
-163,0
-87,0
-33,0
-44,0
-44,0
3,0
65,0
117,0
169,0
164,0
134,0
169,0
199,0
35,0
35,0
1,0
-43,0
-92,0
-121,0
-66,0
-59,0
10,0
67,0
74,0
72,0
86,0
113,0
48,0
51,0
83,0
90,0
54,0
43,0
29,0
-21,0
-27,0
-18,0
-34,0
-8,0
41,0
83,0
67,0
55,0
81,0
32,0
-17,0
65,0
75,0
49,0
42,0
-7,0
-4,0
72,0
68,0
32,0
52,0
33,0
9,0
19,0
58,0
60,0
104,0
117,0
73,0
75,0
161,0
196,0
166,0
209,0
246,0
225,0
172,0
156,0
50,0
33,0
52,0
66,0
85,0
129,0
133,0
76,0
40,0
25,0
29,0
23,0
37,0
18,0
11,0
73,0
42,0
-5,0
-25,0
28,0
80,0
58,0
58,0
27,0
33,0
18,0
3,0
25,0
3,0
26,0
26,0
61,0
84,0
98,0
41,0
44,0
86,0
57,0
36,0
106,0
68,0
98,0
102,0
107,0
41,0
28,0
56,0
56,0
53,0
69,0
58,0
22,0
8,0
10,0
13,0
21,0
48,0
89,0
55,0
35,0
-22,0
-25,0
-4,0
20,0
64,0
76,0
71,0
84,0
68,0
84,0
121,0
118,0
70,0
84,0
150,0
128,0
152,0
137,0
136,0
144,0
100,0
85,0
86,0
56,0
42,0
71,0
48,0
64,0
80,0
120,0
96,0
98,0
39,0
26,0
68,0
57,0
38,0
92,0
60,0
6,0
-24,0
-8,0
-26,0
12,0
20,0
74,0
60,0
12,0
-11,0
-53,0
-52,0
-22,0
-37,0
-4,0
28,0
36,0
-5,0
60,0
65,0
42,0
57,0
91,0
59,0
118,0
150,0
132,0
83,0
58,0
24,0
83,0
124,0
113,0
97,0
87,0
44,0
24,0
8,0
-12,0
-10,0
42,0
8,0
-9,0
5,0
25,0
51,0
17,0
18,0
24,0
38,0
18,0
21,0
12,0
-21,0
-34,0
-23,0
-9,0
58,0
108,0
55,0
67,0
122,0
103,0
96,0
66,0
36,0
-60,0
-72,0
-77,0
-28,0
-9,0
-33,0
-9,0
13,0
48,0
51,0
71,0
72,0
25,0
38,0
71,0
108,0
118,0
71,0
19,0
27,0
86,0
42,0
12,0
42,0
38,0
32,0
55,0
45,0
25,0
13,0
25,0
35,0
67,0
70,0
71,0
27,0
56,0
23,0
-1,0
-34,0
-69,0
-45,0
-44,0
-107,0
-115,0
-106,0
-92,0
-75,0
-26,0
-3,0
11,0
1,0
-8,0
-114,0
-72,0
-88,0
-119,0
-85,0
85,0
41,0
45,0
59,0
27,0
4,0
43,0
29,0
39,0
22,0
73,0
74,0
41,0
55,0
42,0
16,0
25,0
58,0
73,0
130,0
162,0
192,0
195,0
209,0
205,0
112,0
91,0
112,0
135,0
130,0
129,0
101,0
75,0
76,0
80,0
35,0
29,0
4,0
11,0
-2,0
-34,0
0,0
-4,0
8,0
23,0
-13,0
-13,0
36,0
49,0
23,0
36,0
57,0
28,0
18,0
-24,0
-24,0
23,0
65,0
113,0
131,0
133,0
81,0
64,0
72,0
-24,0
-17,0
-38,0
6,0
59,0
93,0
119,0
118,0
92,0
55,0
37,0
-20,0
-6,0
-19,0
-26,0
6,0
48,0
107,0
85,0
73,0
133,0
91,0
106,0
97,0
150,0
156,0
155,0
116,0
157,0
132,0
29,0
16,0
-4,0
2,0
-44,0
-33,0
28,0
-20,0
11,0
-12,0
-45,0
-68,0
-58,0
-90,0
-89,0
-46,0
-53,0
0,0
19,0
35,0
75,0
130,0
103,0
42,0
-4,0
58,0
92,0
76,0
119,0
115,0
144,0
97,0
113,0
116,0
97,0
-35,0
32,0
67,0
76,0
117,0
117,0
64,0
13,0
-21,0
-34,0
-12,0
-23,0
1,0
37,0
33,0
-35,0
-53,0
2,0
19,0
-35,0
-12,0
43,0
85,0
119,0
130,0
123,0
85,0
27,0
6,0
52,0
39,0
41,0
35,0
6,0
4,0
17,0
20,0
7,0
32,0
0,0
-3,0
16,0
9,0
-23,0
-12,0
10,0
-6,0
-2,0
39,0
67,0
86,0
55,0
33,0
83,0
70,0
43,0
32,0
61,0
29,0
-23,0
-20,0
-18,0
-35,0
-106,0
99,0
71,0
87,0
144,0
148,0
147,0
123,0
105,0
48,0
-1,0
-61,0
-66,0
-55,0
-27,0
20,0
57,0
60,0
-5,0
-8,0
5,0
3,0
38,0
50,0
5,0
-19,0
16,0
43,0
50,0
88,0
112,0
99,0
70,0
44,0
50,0
54,0
37,0
66,0
36,0
18,0
40,0
73,0
92,0
99,0
139,0
197,0
131,0
123,0
157,0
164,0
72,0
44,0
69,0
25,0
-2,0
-9,0
-46,0
-36,0
-27,0
-22,0
