raw_data,attention
-289,0
-33,0
-123,0
-216,0
19,0
-220,0
-72,0
-55,0
-231,0
66,0
-2,0
-210,0
91,0
-99,0
-33,0
76,0
-153,0
105,0
11,0
-46,0
116,0
-130,0
66,0
29,0
-107,0
131,0
-90,0
44,0
113,0
-98,0
157,0
-42,0
-9,0
135,0
-133,0
160,0
9,0
-52,0
195,0
-98,0
135,0
59,0
-75,0
181,0
-72,0
85,0
90,0
-120,0
183,0
-30,0
28,0
125,0
-108,0
153,0
2,0
-20,0
178,0
-88,0
123,0
87,0
-60,0
161,0
-49,0
99,0
144,0
-43,0
225,0
-4,0
26,0
157,0
-85,0
176,0
21,0
-19,0
214,0
-69,0
167,0
93,0
-61,0
195,0
-43,0
87,0
76,0
-109,0
156,0
-58,0
3,0
77,0
-126,0
130,0
29,0
-12,0
145,0
-71,0
133,0
67,0
-60,0
139,0
-93,0
52,0
113,0
-106,0
137,0
-56,0
9,0
153,0
-99,0
146,0
8,0
-33,0
168,0
-108,0
144,0
53,0
-103,0
140,0
-108,0
77,0
83,0
-123,0
153,0
-60,0
22,0
124,0
-120,0
138,0
22,0
-23,0
136,0
-119,0
76,0
48,0
-61,0
164,0
-82,0
84,0
124,0
-89,0
184,0
-38,0
25,0
133,0
-115,0
166,0
4,0
-49,0
170,0
-106,0
124,0
45,0
-73,0
198,0
-74,0
98,0
116,0
-94,0
216,0
23,0
85,0
167,0
-88,0
139,0
153,0
-109,0
128,0
19,0
-78,0
172,0
-62,0
124,0
87,0
-73,0
211,0
-28,0
68,0
123,0
-84,0
180,0
10,0
20,0
145,0
-72,0
145,0
44,0
-20,0
173,0
-67,0
104,0
116,0
-56,0
192,0
-27,0
52,0
136,0
-116,0
136,0
-13,0
-7,0
165,0
-109,0
144,0
25,0
-49,0
215,0
-35,0
161,0
92,0
-72,0
197,0
-58,0
53,0
97,0
-141,0
132,0
-39,0
2,0
131,0
-76,0
161,0
74,0
9,0
192,0
-58,0
105,0
105,0
-53,0
177,0
-43,0
67,0
123,0
-115,0
166,0
-27,0
3,0
179,0
-89,0
149,0
36,0
-46,0
167,0
-115,0
91,0
65,0
-99,0
179,0
-41,0
75,0
144,0
-73,0
193,0
17,0
48,0
156,0
-97,0
135,0
16,0
-55,0
133,0
-97,0
75,0
73,0
-100,0
144,0
-70,0
19,0
106,0
-122,0
117,0
-50,0
-8,0
144,0
-101,0
181,0
34,0
-53,0
179,0
-72,0
118,0
60,0
-69,0
178,0
-75,0
56,0
83,0
-151,0
113,0
-35,0
-13,0
134,0
-109,0
132,0
53,0
-13,0
154,0
-91,0
87,0
90,0
-78,0
167,0
-71,0
4,0
99,0
-136,0
112,0
-67,0
-52,0
93,0
-171,0
99,0
-29,0
-109,0
122,0
-131,0
102,0
51,0
-85,0
153,0
-92,0
42,0
85,0
-141,0
146,0
-39,0
-10,0
104,0
-158,0
92,0
28,0
-69,0
120,0
-119,0
76,0
70,0
-68,0
152,0
-107,0
17,0
108,0
-106,0
154,0
-26,0
-18,0
136,0
-125,0
117,0
-12,0
-42,0
163,0
-110,0
116,0
43,0
-97,0
149,0
-97,0
33,0
65,0
-137,0
131,0
-54,0
6,0
121,0
-124,0
119,0
27,0
-50,0
149,0
-87,0
85,0
96,0
-66,0
149,0
-60,0
54,0
118,0
-113,0
176,0
-7,0
-6,0
201,0
-50,0
184,0
38,0
-58,0
168,0
-71,0
130,0
69,0
-81,0
187,0
-44,0
88,0
105,0
-93,0
187,0
10,0
33,0
131,0
-106,0
138,0
34,0
5,0
200,0
-26,0
145,0
115,0
-53,0
192,0
-34,0
66,0
160,0
-66,0
155,0
-22,0
9,0
188,0
-78,0
176,0
44,0
123,23
80,23
-62,23
169,23
-67,23
60,23
96,23
-104,23
144,23
-39,23
19,23
128,23
-104,23
156,23
-28,23
-61,23
153,23
-105,23
134,23
56,23
-54,23
186,23
-67,23
119,23
113,23
-69,23
184,23
17,23
84,23
114,23
-119,23
121,23
-7,23
-11,23
118,23
-105,23
104,23
81,23
-55,23
144,23
-86,23
34,23
73,23
-129,23
136,23
-49,23
27,23
167,23
-70,23
185,23
32,23
-4,23
187,23
-73,23
122,23
42,23
-55,23
169,23
-82,23
96,23
90,23
-71,23
170,23
-20,23
69,23
106,23
-138,23
147,23
24,23
-26,23
136,23
-102,23
113,23
67,23
-38,23
179,23
-68,23
80,23
85,23
-81,23
182,23
-43,23
43,23
168,23
-91,23
156,23
-22,23
-40,23
134,23
-145,23
99,23
32,23
-66,23
179,23
-51,23
103,23
84,23
-129,23
134,23
-58,23
9,23
72,23
-122,23
117,23
-30,23
-37,23
90,23
-140,23
88,23
36,23
-74,23
124,23
-114,23
33,23
57,23
-125,23
128,23
-68,23
12,23
131,23
-114,23
147,23
-17,23
-30,23
155,23
-124,23
90,23
23,23
-86,23
115,23
-125,23
69,23
54,23
-113,23
139,23
-72,23
12,23
88,23
-129,23
123,23
4,23
6,23
161,23
-70,23
136,23
82,23
-41,23
146,23
-65,23
113,23
105,23
-108,23
166,23
-35,23
10,23
119,23
-124,23
103,23
-42,23
-49,23
115,23
-147,23
100,23
35,23
-52,23
208,23
-58,23
96,23
77,23
-75,23
154,23
-70,23
51,23
106,23
-126,23
125,23
8,23
20,23
162,23
-77,23
129,23
82,23
-4,23
179,23
-53,23
88,23
112,23
-102,23
134,23
-60,23
1,23
138,23
-98,23
170,23
24,23
0,23
166,23
-101,23
149,23
39,23
-66,23
188,23
-55,23
101,23
99,23
-58,23
184,23
-24,23
72,23
147,23
-91,23
151,23
22,23
10,23
145,23
-108,23
99,23
38,23
-88,23
117,23
-118,23
50,23
98,23
-97,23
132,23
-87,23
-18,23
101,23
-107,23
164,23
-5,23
-28,23
164,23
-69,23
137,23
39,23
-68,23
179,23
-57,23
103,23
90,23
-67,23
189,23
-24,23
60,23
105,23
-108,23
130,23
-20,23
-14,23
149,23
-73,23
150,23
80,23
-33,23
170,23
-57,23
66,23
59,23
-91,23
151,23
-43,23
36,23
149,23
-88,23
184,23
33,23
-1,23
181,23
-103,23
123,23
41,23
-71,23
179,23
-65,23
89,23
100,23
-93,23
156,23
-46,23
43,23
101,23
-102,23
144,23
2,23
-22,23
114,23
-132,23
104,23
57,23
-44,23
145,23
-83,23
58,23
89,23
-113,23
129,23
-72,23
-33,23
60,23
-162,23
121,23
-10,23
-8,23
200,23
-70,23
144,23
27,23
-66,23
197,23
-72,23
83,23
64,23
-98,23
164,23
-58,23
37,23
101,23
-106,23
116,23
-5,23
-19,23
117,23
-76,23
131,23
70,23
-55,23
140,23
-99,23
61,23
113,23
-62,23
186,23
-23,23
41,23
140,23
-119,23
117,23
-39,23
-43,23
160,23
-107,23
114,23
49,23
-61,23
165,23
-85,23
77,23
64,23
-120,23
145,23
-52,23
26,23
96,23
-136,23
105,23
-11,23
-19,23
105,23
-121,23
99,23
43,23
-49,23
153,23
-75,23
58,23
84,23
-98,23
164,23
-51,23
34,23
141,23
-99,23
179,23
32,23
-13,23
153,23
-106,23
112,23
36,23
-66,23
147,23
-99,23
72,23
82,23
-98,23
195,23
1,23
68,23
167,23
-77,23
134,23
-9,23
-20,23
108,23
-109,23
97,23
43,23
-54,23
136,23
-91,23
88,23
121,23
-72,23
154,23
-35,23
52,23
139,23
-88,23
137,23
-9,23
-26,23
148,23
-98,23
103,23
28,23
-81,23
161,23
-41,23
118,23
55,23
-90,23
171,23
-22,23
51,23
99,23
-81,23
170,23
26,23
-1,23
147,23
-76,23
136,23
72,23
-30,23
188,23
-52,23
117,23
146,23
-77,23
161,23
-43,23
24,23
153,23
-93,23
152,23
8,23
-26,23
170,23
-77,23
144,23
58,23
-54,23
169,23
-73,23
97,23
87,23
-88,23
166,23
-37,23
67,23
116,23
-108,23
148,23
-1,23
-1,23
147,23
-86,23
108,23
60,23
-45,23
146,23
-57,23
102,23
122,23
-65,23
172,23
-25,23
42,23
156,23
-92,23
165,23
4,23
-20,23
141,23
-131,23
117,23
11,23
-86,23
154,23
-100,23
74,23
32,23
-125,23
120,23
-88,23
22,23
72,23
-157,23
114,23
-42,23
-49,23
82,23
-147,23
71,23
35,23
-26,23
180,23
-91,23
45,23
75,23
-116,23
52,23
91,23
-125,23
157,23
-6,23
32,23
128,23
-100,23
162,23
38,23
-24,23
135,23
-99,23
97,23
75,23
-59,23
150,23
-81,23
18,23
88,23
-115,23
122,23
-49,23
-11,23
109,23
-124,23
107,23
-34,23
-68,23
146,23
-85,23
133,23
44,23
-101,23
177,23
-24,23
101,23
125,23
-87,23
151,23
-7,23
45,23
131,23
-103,23
123,23
17,23
-9,23
147,23
-89,23
112,23
89,23
-41,23
165,23
-67,23
67,23
117,23
-75,23
176,23
-19,23
12,23
167,23
-82,23
149,23
22,23
-27,23
168,23
-77,23
121,23
50,23
-57,23
184,23
-59,23
80,23
93,23
-97,23
148,23
-36,23
22,23
122,23
-107,23
152,23
28,23
-26,23
147,23
-98,23
92,23
64,23
-67,23
155,23
-65,23
67,23
138,23
-70,23
161,23
-5,23
22,23
171,23
-58,23
180,23
43,23
-18,23
181,23
-89,23
90,23
52,23
-91,23
164,23
-26,23
86,23
104,23
-67,23
211,23
12,23
52,23
163,23
-69,23
146,23
37,23
-23,23
125,23
-92,23
90,23
64,23
-42,23
178,23
-52,23
64,23
121,23
-102,23
125,23
-49,23
-33,23
98,23
-123,23
124,23
-20,23
-72,23
128,23
-129,23
96,23
25,23
-123,23
120,23
-85,23
19,23
43,23
-116,23
147,23
-22,23
25,23
124,23
-101,23
148,23
60,23
8,23
185,23
-73,23
100,23
72,23
-72,23
147,23
-57,23
44,23
112,23
-89,23
181,23
3,23
24,23
160,23
-92,23
135,23
4,23
-68,23
146,23
-108,23
99,23
42,23
-124,23
108,23
-85,23
76,23
112,23
-66,23
198,23
22,23
58,23
151,23
-84,23
147,23
59,23
0,23
153,23
-91,23
102,23
61,23
-89,23
129,23
-106,23
3,23
101,23
-74,23
166,23
-38,23
5,23
149,23
-97,23
103,23
-19,23
-83,23
140,23
-107,23
87,23
32,23
-99,23
146,23
-75,23
53,23
97,23
-103,23
163,23
-17,23
28,23
139,23
-71,23
172,23
71,23
35,23
169,23
-45,23
104,23
74,23
-65,23
147,23
-69,23
54,23
128,23
-86,23
170,23
-21,23
6,23
125,23
-141,23
114,23
3,23
-62,23
133,23
-103,23
90,23
56,23
-65,23
179,23
-14,23
118,23
112,23
-53,23
194,23
-71,27
169,27
26,27
10,27
200,27
-56,27
151,27
53,27
-68,27
160,27
-81,27
83,27
66,27
-116,27
103,27
-77,27
-23,27
11,27
-156,27
98,27
-2,27
4,27
149,27
-84,27
134,27
55,27
-57,27
154,27
-49,27
96,27
103,27
-49,27
164,27
-42,27
21,27
135,27
-94,27
130,27
-21,27
-27,27
153,27
-99,27
136,27
56,27
-60,27
186,27
-89,27
55,27
66,27
-86,27
178,27
-6,27
85,27
125,27
-92,27
146,27
3,27
-12,27
129,27
-114,27
98,27
