raw_data,attention
6,69
-4,69
-39,69
-35,69
19,69
9,69
25,69
37,69
34,69
16,69
26,69
28,69
18,69
36,69
6,69
2,69
19,69
-5,69
50,69
34,69
44,69
8,69
53,69
-3,69
40,69
44,69
5,69
36,69
49,69
60,69
86,69
75,69
75,69
65,69
83,69
71,69
67,69
69,69
89,69
86,69
71,69
27,69
72,69
80,69
43,69
85,69
100,69
85,69
37,69
50,69
50,69
45,69
40,69
36,69
41,69
18,69
-6,69
38,69
72,69
74,69
107,69
76,69
55,69
44,69
42,69
17,69
21,69
5,69
-28,69
1,69
48,69
50,69
64,69
69,69
49,69
58,69
40,69
48,69
65,69
36,69
37,69
92,69
58,69
74,69
90,69
44,69
17,69
-3,69
45,69
80,69
44,69
40,69
21,69
-6,69
11,69
34,69
37,69
10,69
35,69
28,69
38,69
42,69
17,69
21,69
19,69
13,69
37,69
64,69
38,69
35,69
68,69
44,69
36,69
38,69
37,69
9,69
37,69
36,69
25,69
-17,69
0,69
45,69
12,69
-12,69
4,69
43,69
51,69
68,69
98,69
82,69
28,69
26,69
50,69
18,69
43,69
52,69
58,69
50,69
19,69
37,69
76,69
43,69
6,69
56,69
-1,69
56,69
109,69
61,69
-49,69
10,69
29,69
-38,69
-27,69
10,69
3,69
2,69
2,69
-4,69
-12,69
-28,69
22,69
-37,69
12,69
20,69
-30,69
49,69
60,69
40,69
48,69
29,69
9,69
-35,69
-37,69
43,69
65,69
44,69
40,69
-7,69
57,69
99,69
-8,69
-19,69
107,69
67,69
61,69
-9,69
86,69
49,69
41,69
52,69
32,69
120,69
56,69
4,69
41,69
20,69
32,69
107,69
60,69
43,69
25,69
87,69
24,69
54,69
-34,69
99,69
22,69
60,69
-49,69
69,69
40,69
-20,69
-83,69
-6,69
-86,69
4,69
57,69
-42,69
232,69
-39,69
57,69
2,69
-103,69
60,69
54,69
25,69
12,69
-17,69
90,69
22,69
70,69
58,69
43,69
102,69
129,69
80,69
73,69
43,69
21,69
33,69
65,69
145,69
189,69
17,69
-18,69
-5,69
12,69
-8,69
-1,69
21,69
36,69
-77,69
-44,69
26,69
-19,69
-1,69
23,69
66,69
27,69
-41,69
6,69
-22,69
-4,69
12,69
29,69
50,69
115,69
58,69
25,69
42,69
-19,69
1,69
-2,69
24,69
67,69
24,69
33,69
11,90
12,90
-9,90
-2,90
-2,90
21,90
33,90
75,90
67,90
37,90
40,90
22,90
72,90
9,90
88,90
68,90
11,90
40,90
68,90
60,90
21,90
27,90
59,90
36,90
28,90
