raw_data,attention
35,88
1,88
1,88
-28,88
-11,88
-33,88
-21,88
-10,88
-45,88
-67,88
-123,88
-147,88
-131,88
-141,88
-115,88
-132,88
-194,88
-252,88
-210,88
-212,88
-471,88
-867,88
-705,88
-664,88
363,88
356,88
347,88
359,88
276,88
257,88
237,88
188,88
136,88
208,88
257,88
201,88
224,88
274,88
236,88
188,88
145,88
119,88
81,88
64,88
3,88
-138,88
-309,88
-265,88
-338,88
-350,88
-378,88
-397,88
-414,88
-473,88
347,88
387,88
340,88
325,88
373,88
381,88
344,88
352,88
363,88
331,88
325,88
364,88
408,88
390,88
503,88
507,88
535,88
565,88
535,88
553,88
552,88
403,88
281,88
321,88
323,88
427,88
429,88
568,88
593,88
545,88
569,88
592,88
577,88
546,88
54,88
60,88
76,88
67,88
24,88
49,88
33,88
25,88
-40,88
-66,88
-101,88
-110,88
-193,88
-251,88
-218,88
-155,88
-154,88
-72,88
-12,88
-12,88
-37,88
-69,88
-86,88
-217,88
-213,88
-230,88
-198,88
-170,88
-178,88
-209,88
-198,88
-130,88
-141,88
-120,88
-70,88
-54,88
7,88
19,88
25,88
41,88
-62,88
-138,88
-81,88
-37,88
-50,88
-4,88
134,88
141,88
216,88
267,88
327,88
316,88
248,88
258,88
294,88
313,88
296,88
333,88
263,88
211,88
272,88
250,88
281,88
329,88
331,88
131,88
176,88
164,88
112,88
130,88
114,88
106,88
82,88
44,88
-27,88
-27,88
-42,88
-29,88
-24,88
-14,88
83,88
135,88
114,88
157,88
137,88
89,88
64,88
80,88
92,88
117,88
132,88
18,88
-140,88
-263,88
-373,88
180,88
189,88
218,88
263,88
301,88
285,88
241,88
167,88
75,88
12,88
-22,88
20,88
134,88
154,88
197,88
216,88
214,88
209,88
231,88
298,88
284,88
265,88
341,88
361,88
310,88
313,88
331,88
298,88
217,88
233,88
-28,88
25,88
93,88
2,88
-42,88
-61,88
-190,88
-194,88
-171,88
-172,88
-99,88
-62,88
-82,88
-40,88
-18,88
-8,88
-36,88
-8,88
-29,88
-169,88
-264,88
-245,88
-174,88
-150,88
-6,88
6,88
-57,88
104,88
107,88
93,88
