raw_data,attention
-17,51
60,51
53,51
166,51
41,51
-45,51
-29,51
53,51
100,51
-12,51
39,51
58,51
43,51
-311,51
-359,51
-50,51
12,51
-158,51
211,51
212,51
369,51
362,51
121,51
296,51
-78,51
-22,51
-3,51
-122,51
-168,51
-60,51
265,51
-35,51
-13,51
-27,51
44,51
-17,51
-49,51
-69,51
85,51
458,51
389,51
-26,51
-118,51
359,51
116,51
-299,51
204,51
-153,51
-202,51
37,51
-146,51
-75,51
107,51
314,51
-275,51
-145,51
-17,51
59,51
-115,51
184,51
-141,51
-313,51
-53,51
-129,51
-162,51
-86,51
-7,51
86,51
132,51
-18,51
55,51
349,51
263,51
188,51
-39,51
210,51
-254,51
-25,51
-4,51
-206,51
57,51
-41,51
-84,51
-243,51
25,51
96,51
-91,51
-18,51
18,51
135,51
140,51
90,51
181,51
53,51
51,51
145,51
42,51
39,51
116,51
74,51
-27,51
-77,51
-204,51
49,51
119,51
-66,51
-338,51
225,51
-28,51
-387,51
124,51
301,51
389,51
375,51
349,51
262,51
289,51
220,51
98,51
139,51
201,51
140,51
129,51
129,51
112,51
233,51
251,51
219,51
145,51
169,51
144,51
165,51
170,51
179,51
208,51
250,51
199,51
203,51
212,51
199,51
204,51
161,51
130,51
122,51
148,51
248,51
229,51
153,51
154,51
107,51
85,51
182,51
200,51
218,51
280,51
329,51
200,51
138,51
101,51
182,51
32,51
5,51
28,51
70,51
98,51
195,51
155,51
161,51
80,51
12,51
-27,51
6,51
-26,51
-39,51
-152,51
-120,51
-225,51
-279,51
-234,51
-68,51
10,51
88,51
121,51
55,51
17,51
-53,51
-43,51
34,51
106,21
58,21
-11,21
-49,21
71,21
64,21
88,21
86,21
38,21
27,21
43,21
23,21
21,21
-104,21
-38,21
-86,21
-103,21
-5,21
75,21
26,21
-26,21
-42,21
-29,21
-90,21
-42,21
22,21
5,21
-69,21
-122,21
-83,21
-89,21
-183,21
-233,21
-164,21
-178,21
-194,21
-225,21
-258,21
-280,21
-241,21
-281,21
-275,21
-273,21
-289,21
-278,21
-296,21
-302,21
-297,21
-277,21
-312,21
-372,21
-345,21
-226,21
-259,21
-242,21
-199,21
-166,21
-185,21
-165,21
-147,21
-182,21
-132,21
-88,21
-41,21
0,21
26,21
76,21
83,21
106,21
164,21
120,21
209,21
274,21
128,21
212,21
154,21
114,21
125,21
114,21
152,21
139,21
198,21
277,21
251,21
299,21
281,21
241,21
200,21
193,21
171,21
181,21
119,21
102,21
139,21
106,21
21,21
16,21
36,21
38,21
84,21
139,21
220,21
211,21
134,21
151,21
161,21
117,21
102,21
113,21
116,21
68,21
42,21
71,21
93,21
60,21
20,21
-35,21
-57,21
-17,21
6,21
42,21
74,21
108,21
87,21
32,21
56,21
75,21
51,21
53,21
53,21
67,21
105,21
49,21
106,21
101,21
71,21
83,21
90,21
76,21
67,21
43,21
69,21
59,21
37,21
19,21
33,21
65,21
75,21
39,21
57,21
49,21
12,21
-11,21
-8,21
27,21
39,21
33,21
13,21
20,21
-13,21
-34,21
33,21
-12,21
-18,21
29,21
50,21
6,21
4,21
86,21
45,21
36,21
77,21
54,21
2,21
-14,21
-7,21
-18,21
-22,21
-21,21
-39,21
3,21
-11,21
-90,21
-54,21
-11,21
-28,21
-3,21
8,21
-3,21
5,21
-23,21
-40,21
-10,21
8,21
-3,21
10,21
36,21
45,21
86,21
66,21
69,21
59,21
51,21
85,21
64,21
29,21
84,21
69,21
74,21
58,21
80,21
80,21
100,21
105,21
98,21
103,21
101,21
108,21
109,21
53,21
97,21
68,21
45,21
38,21
18,21
22,21
32,21
36,21
21,21
9,21
57,21
81,21
82,21
70,21
81,21
39,21
9,21
-13,21
11,21
21,21
44,21
73,21
103,21
76,21
50,21
50,21
34,21
25,21
32,21
42,21
-8,21
-33,21
0,21
4,21
1,21
5,21
7,21
37,21
58,21
50,21
58,21
58,21
58,21
28,21
-2,21
52,21
80,21
98,21
77,21
84,21
104,21
57,21
19,21
52,21
42,21
43,21
22,21
25,21
53,21
81,21
128,21
136,21
134,21
99,21
74,21
55,21
66,21
75,21
93,21
101,21
69,21
50,21
59,21
53,21
70,21
100,21
107,21
133,21
103,21
90,21
105,21
81,21
80,21
52,21
27,21
43,21
18,21
6,21
-14,21
-5,21
40,21
8,21
8,21
12,21
13,21
40,21
51,21
52,21
17,21
-3,21
3,21
2,21
-9,21
-26,21
-12,21
-58,21
-89,21
-119,21
-110,21
-101,21
-91,21
-34,21
-19,21
-20,21
18,21
55,21
73,21
56,21
67,21
53,21
53,21
53,21
82,21
98,21
48,21
106,21
129,21
198,21
269,21
336,21
368,21
323,21
307,21
322,21
364,21
395,21
378,21
424,21
406,21
349,21
391,21
340,21
284,21
279,21
227,21
177,21
173,21
189,21
119,21
106,21
89,21
84,21
89,21
77,21
56,21
-3,21
-10,21
3,21
3,21
-27,21
-78,21
-89,21
-108,21
-119,21
-53,21
-84,21
-108,21
-68,21
-83,21
-50,21
-67,21
-39,21
-42,21
-93,21
-116,21
-155,21
-167,21
-103,21
-146,21
-164,21
-116,21
-125,21
-188,21
-141,21
-55,21
28,21
-5,21
-21,21
-50,21
-42,21
-99,21
-66,21
-101,21
-115,21
-77,21
-38,21
-94,21
-20,21
2,21
-9,21
-34,21
19,21
53,21
20,21
-6,21
-70,21
-73,21
-81,21
-77,21
-42,21
-20,21
-50,21
-72,21
-33,21
-42,21
-84,21
-52,21
12,21
-3,21
11,21
39,21
33,21
55,21
88,21
138,21
61,21
2,21
2,21
38,21
-75,21
-44,21
-40,21
-85,21
-113,21
7,21
-5,21
38,21
13,21
-39,21
-27,21
-23,21
-18,21
-21,21
9,21
-38,21
-66,21
-2,21
53,21
70,21
39,21
36,21
50,21
10,21
-20,21
4,21
-27,21
-11,21
-29,21
38,21
35,21
23,21
64,21
0,21
1,21
35,21
55,21
0,21
38,21
3,21
-4,21
-20,21
11,21
10,21
22,21
-14,21
-1,21
-17,21
0,21
35,21
35,21
42,21
-13,21
-9,21
12,21
5,21
6,21
33,21
6,21
-92,21
-29,21
10,21
22,21
36,27
53,27
-1,27
22,27
82,27
121,27
106,27
114,27
70,27
9,27
-59,27
-90,27
-99,27
-114,27
-73,27
-22,27
20,27
-4,27
-17,27
-94,27
-125,27
16,27
44,27
185,27
116,27
26,27
-54,27
-135,27
-107,27
-56,27
33,27
48,27
27,27
55,27
199,27
161,27
97,27
108,27
71,27
-21,27
52,27
52,27
-12,27
-113,27
-53,27
42,27
117,27
162,27
115,27
13,27
-1,27
24,27
163,27
236,27
202,27
97,27
50,27
33,27
19,27
108,27
27,27
147,27
1,27
68,27
81,27
241,27
186,27
67,27
189,27
152,27
-66,27
-62,27
43,27
-66,27
-133,27
-125,27
-229,27
-131,27
58,27
122,27
-205,27
6,27
-82,27
-274,27
-357,27
-170,27
-169,27
-162,27
-153,27
-90,27
-60,27
-149,27
2,27
-116,27
-118,27
-133,27
-67,27
-133,27
-86,27
13,27
34,27
-93,27
-180,27
-125,27
-50,27
-25,27
8,27
16,27
-98,27
-132,27
-126,27
28,27
211,27
227,27
204,27
184,27
162,27
135,27
91,27
116,27
129,27
117,27
99,27
157,27
135,27
130,27
73,27
99,27
18,27
-12,27
37,27
23,27
-12,27
19,27
116,27
70,27
-11,27
37,27
96,27
72,27
77,27
56,27
26,27
33,27
67,27
73,27
81,27
80,27
115,27
86,27
65,27
72,27
66,27
65,27
86,27
92,27
86,27
90,27
0,27
39,27
6,27
21,27
4,27
-28,27
-21,27
77,27
130,27
71,27
115,27
83,27
5,27
-57,27
-66,27
-22,27
11,27
37,27
35,27
64,27
125,27
141,27
50,27
40,27
89,27
84,27
21,27
45,27
114,27
240,27
291,27
283,27
280,27
198,27
130,27
59,27
70,27
87,27
76,27
38,27
-82,27
-130,27
-129,27
-34,27
73,27
52,27
168,27
133,27
69,27
-12,27
