raw_data,attention
73,0
57,0
119,0
48,0
35,0
27,0
27,29
6,29
6,29
4,29
-8,29
22,29
37,29
28,29
49,29
55,29
29,29
16,29
40,29
91,29
83,29
59,29
84,29
109,29
89,29
98,29
133,29
166,29
203,29
199,29
210,29
250,29
262,29
253,29
248,29
260,29
283,29
259,29
282,29
311,29
268,29
294,29
267,29
296,29
276,29
265,29
243,29
243,29
253,29
240,29
256,29
279,29
292,29
266,29
-316,29
-328,29
-297,29
-313,29
-278,29
-266,29
-290,29
-296,29
-307,29
-278,29
-267,29
-218,29
-170,29
-156,29
-131,29
-113,29
-72,29
-49,29
-26,29
-25,29
-37,29
-6,29
-27,29
-11,29
-7,29
-9,29
10,29
34,29
36,29
52,29
66,29
120,29
147,29
117,29
102,29
102,29
72,29
75,29
77,29
69,29
75,29
86,29
122,29
104,29
90,29
123,29
118,29
130,29
121,29
101,29
105,29
112,29
118,29
128,29
161,29
148,29
123,29
122,29
108,29
114,29
108,29
66,29
83,29
42,29
66,29
70,29
61,29
70,29
72,29
54,29
42,29
48,29
60,29
19,29
12,29
57,29
105,29
122,29
121,29
124,29
138,29
107,29
56,29
67,29
96,29
50,29
34,29
35,29
35,29
58,29
43,29
43,29
16,29
38,29
27,29
6,29
-2,29
12,29
9,29
5,29
20,29
12,29
16,29
-1,29
0,29
0,29
28,29
36,29
39,29
60,29
112,29
89,29
90,29
81,29
53,29
42,29
43,29
20,29
24,29
36,29
24,29
16,29
38,29
-10,29
-11,29
22,29
40,29
68,29
68,29
73,29
71,29
57,29
53,29
48,29
24,29
35,29
50,29
56,29
41,29
48,29
25,29
34,29
17,29
32,29
54,29
33,29
44,29
57,29
53,29
29,29
39,29
39,29
42,29
58,29
49,29
74,29
67,29
64,29
66,29
70,29
417,29
452,29
420,29
389,29
394,29
365,29
331,29
301,29
294,29
256,29
224,29
208,29
169,29
167,29
99,29
54,29
65,29
-9,29
-82,29
-125,29
-197,29
-214,29
-289,29
-327,29
-325,29
-342,29
-362,29
-378,29
-361,29
