raw_data,attention
7,0
-11,0
-5,0
25,0
28,0
50,0
67,0
48,0
56,0
33,0
18,0
17,0
9,0
12,0
43,0
36,0
54,0
45,0
10,0
16,0
19,0
12,0
38,0
34,0
53,0
49,0
-178,0
-178,0
-154,0
-141,0
-138,0
-149,0
-104,0
-81,0
-89,0
-107,0
-115,0
-87,0
-81,0
-83,0
-56,0
-57,0
-29,0
-24,0
-49,0
-41,0
-34,0
-35,0
-21,0
-49,0
-27,0
-5,0
-5,0
-13,0
-40,0
-50,0
10,0
-8,0
12,0
13,0
3,0
5,0
42,0
68,0
58,0
68,0
87,0
85,0
61,0
37,0
26,0
18,0
0,0
29,0
41,0
51,0
52,0
60,0
87,0
92,0
103,0
90,0
103,0
97,0
67,0
65,0
84,0
65,0
37,0
25,0
19,0
27,0
13,0
23,0
34,0
25,0
-1,0
-13,0
-6,0
41,0
27,0
12,0
41,0
33,0
25,0
38,0
25,0
18,0
42,0
26,0
48,0
59,0
51,0
28,0
38,0
29,0
32,0
33,0
32,0
43,0
49,0
35,0
33,0
18,0
9,0
23,0
21,0
42,0
54,0
53,0
40,0
16,0
6,0
0,0
-8,0
19,0
34,0
51,0
64,0
82,0
69,0
74,0
36,0
28,0
56,0
64,0
54,0
38,0
37,0
23,0
36,0
53,0
43,0
56,0
17,0
17,0
41,0
6,0
-4,0
32,0
27,0
42,0
5,0
-36,0
18,0
-10,0
-36,0
26,0
-7,0
-23,0
-21,0
-10,0
1,0
20,0
25,0
33,0
20,0
12,0
23,0
29,0
19,0
6,0
2,0
29,0
18,0
52,0
17,0
-7,0
2,0
8,0
-11,0
4,0
24,0
10,0
-4,0
8,0
9,0
25,0
19,0
21,0
27,0
33,0
7,0
-4,64
19,64
51,64
48,64
29,64
44,64
55,64
49,64
52,64
42,64
21,64
57,64
22,64
8,64
16,64
-1,64
11,64
23,64
11,64
-6,64
19,64
3,64
2,64
8,64
7,64
13,64
24,64
33,64
24,64
25,64
48,64
40,64
9,64
10,64
53,64
64,64
75,64
80,64
75,64
83,64
1,64
-7,64
19,64
18,64
29,64
27,64
66,64
75,64
57,64
58,64
43,64
40,64
42,64
41,64
40,64
24,64
23,64
24,64
38,64
42,64
58,64
55,64
21,64
58,64
67,64
60,64
64,64
60,64
74,64
64,64
19,64
36,64
26,64
20,64
5,64
56,64
65,64
22,64
38,64
45,64
27,64
7,64
20,64
25,64
50,64
33,64
36,64
66,64
75,64
49,64
52,64
57,64
52,64
28,64
13,64
24,64
20,64
7,64
12,64
16,64
11,64
4,64
26,64
57,64
86,64
6,64
36,64
37,64
51,64
58,64
67,64
70,64
92,64
75,64
74,64
72,64
75,64
54,64
51,64
26,64
12,64
4,64
8,64
20,64
-1,64
1,64
18,64
3,64
-2,64
9,64
50,64
