raw_data,attention
32,54
41,54
12,54
10,54
-18,54
-46,54
-14,54
25,54
42,54
29,54
49,54
59,54
45,54
92,54
36,54
58,54
86,54
75,54
108,54
44,54
67,54
66,54
39,54
80,88
35,88
102,88
98,88
28,88
26,88
10,88
55,88
40,88
40,88
61,88
55,88
32,88
45,88
45,88
68,88
-4,88
3,88
59,88
21,88
56,88
27,88
69,88
67,88
33,88
72,88
58,88
3,88
27,88
26,88
18,88
11,88
16,88
20,88
3,88
12,88
64,88
-6,88
18,88
27,88
26,88
69,88
36,88
68,88
40,88
34,88
43,88
13,88
54,88
49,88
26,88
24,88
37,88
-11,88
-43,88
-7,88
54,88
26,88
50,88
69,88
5,88
9,88
24,88
-9,88
52,88
23,88
27,88
24,88
0,88
44,88
27,88
38,88
74,88
58,88
24,88
8,88
-21,88
12,88
-7,88
25,88
20,88
32,88
64,88
28,88
37,88
26,88
-18,88
21,88
13,88
9,88
61,88
40,88
39,88
49,88
8,88
51,88
39,88
48,88
41,88
-8,88
28,88
4,88
36,88
42,88
27,88
17,88
25,88
25,88
67,88
40,88
57,88
42,88
16,88
89,88
26,88
37,88
24,88
45,88
52,88
20,88
36,88
43,88
32,88
59,88
-14,88
-9,88
24,88
7,88
25,88
19,88
34,88
64,88
43,88
60,88
48,88
28,88
54,88
5,88
-24,88
38,88
-2,88
11,88
6,88
16,88
29,88
20,88
36,88
60,88
34,88
53,88
9,88
38,88
35,88
40,88
84,88
44,88
73,88
113,88
35,88
81,88
83,88
34,88
93,88
18,88
58,88
38,88
45,88
61,88
45,88
51,88
37,88
18,88
43,88
19,88
39,88
82,88
-3,88
52,88
23,88
-21,88
55,88
16,88
0,88
29,88
11,88
93,88
8,88
10,88
55,88
21,88
66,88
85,88
56,88
83,88
49,88
51,88
64,88
48,88
72,88
29,88
60,88
49,88
7,88
43,88
18,88
33,88
56,88
22,88
41,88
39,88
54,88
39,88
21,88
16,88
23,88
39,88
53,88
33,88
43,88
57,88
50,88
53,88
8,88
67,88
59,88
8,88
58,88
21,88
-7,88
54,88
3,88
-13,88
13,88
-9,88
64,88
33,88
37,88
41,88
2,88
40,88
-20,88
2,88
41,88
-17,88
20,88
19,88
33,88
70,88
19,88
21,88
7,88
-17,88
23,88
17,88
22,88
25,88
29,88
9,88
7,88
25,88
38,88
51,88
77,88
99,88
21,88
41,88
10,88
24,88
16,88
-21,88
22,88
3,88
-51,88
-6,88
9,88
25,88
67,88
37,88
68,88
68,88
23,88
61,88
25,88
38,88
51,88
8,88
7,88
-2,88
19,88
18,88
1,88
17,88
33,88
17,88
2,88
-51,88
55,88
68,88
41,88
119,88
80,88
20,88
27,88
17,88
50,88
26,88
8,88
49,88
21,88
60,88
69,88
20,88
51,88
11,88
11,88
40,88
9,88
34,88
23,88
48,88
38,88
18,88
45,88
3,88
23,88
36,88
-17,88
57,88
100,88
66,88
68,88
55,88
33,88
38,88
43,88
73,88
35,88
39,88
40,88
35,88
56,88
4,88
19,88
84,88
32,88
41,88
42,88
21,88
-10,88
10,88
104,88
58,88
71,88
107,88
36,88
64,88
72,88
34,88
67,88
58,88
42,88
34,88
21,88
61,88
45,88
-3,88
39,88
33,88
67,88
34,88
10,88
7,88
6,88
22,88
7,88
-10,88
24,88
6,88
-8,88
4,88
13,88
40,88
8,88
-44,88
-2,88
36,88
4,88
6,88
43,88
36,88
83,88
85,88
