raw_data,attention
-17,0
-40,0
-69,0
-62,0
-43,0
-17,0
3,0
-19,0
50,0
38,0
55,0
32,0
-13,0
-28,0
-39,0
-61,0
-36,0
1,0
0,0
0,0
-12,0
-5,0
40,0
35,0
-18,0
7,0
16,0
2,0
0,0
7,0
-17,0
-25,0
-13,0
12,0
-8,0
-6,0
0,0
-27,0
-9,0
-7,0
-25,0
-24,0
-27,0
-44,0
-71,0
-121,0
-131,0
-180,0
-146,0
-173,0
-157,0
-134,0
-123,0
-102,0
90,0
83,0
101,0
108,0
88,0
93,0
87,0
100,0
86,0
81,0
137,0
91,0
103,0
87,0
107,0
136,0
90,0
162,0
163,0
146,0
169,0
148,0
146,0
133,0
148,0
171,0
168,0
131,0
151,0
156,0
93,0
33,0
-5,0
-37,0
-68,0
152,0
138,0
114,0
135,0
109,0
113,0
107,0
70,0
61,0
65,0
120,0
132,0
103,0
96,0
64,0
56,0
39,0
22,0
58,0
74,0
42,0
38,0
36,0
3,0
4,0
-33,0
-41,0
-70,0
-62,0
76,0
68,0
53,0
33,0
50,0
61,0
56,0
84,0
102,0
85,0
122,0
135,0
131,0
146,0
134,0
164,0
139,0
154,0
167,0
148,0
176,0
200,0
203,0
212,0
194,0
193,0
164,0
147,0
90,0
65,0
45,0
4,0
-37,0
-9,0
4,0
32,0
33,0
12,0
16,0
51,0
53,0
50,0
36,0
3,0
13,0
59,0
61,0
55,0
-3,0
-45,0
-59,0
-84,0
-113,0
-118,0
-81,0
-84,0
-126,0
-126,0
-108,0
-108,0
-113,0
-74,0
-44,0
-72,0
-59,0
9,0
56,0
64,0
70,0
26,0
75,0
55,0
36,0
24,0
5,0
6,0
41,0
69,0
43,0
8,0
-11,0
-5,0
-28,0
-7,0
10,0
-10,0
-28,0
4,0
6,0
37,0
23,0
55,0
103,0
138,0
116,0
161,0
125,0
154,0
160,0
169,0
140,0
87,0
76,0
92,0
50,0
11,0
50,0
56,0
29,0
29,0
26,0
12,0
56,0
57,0
48,0
50,0
87,0
99,0
86,0
99,0
92,0
59,0
58,0
48,0
77,0
82,0
82,0
120,0
105,0
118,0
123,0
145,0
144,0
137,0
153,0
138,0
113,0
108,0
88,0
81,0
98,0
69,0
61,0
67,0
61,0
38,0
38,0
16,0
3,0
12,0
1,0
4,0
27,0
10,0
13,0
3,0
-2,0
32,0
-29,0
-11,0
7,0
-7,0
16,0
-7,0
-17,0
-40,0
-65,0
-56,0
-34,0
-33,0
-29,0
-65,0
-35,0
-44,0
-35,0
-21,0
1,0
17,0
4,0
13,0
37,0
59,0
56,0
76,0
93,0
106,0
106,0
121,0
171,0
131,0
130,0
114,0
74,0
66,0
53,0
73,0
71,0
76,0
83,0
26,0
32,0
73,0
56,0
37,0
68,0
48,0
10,0
43,0
44,0
17,0
42,0
53,0
38,0
11,0
40,0
35,0
-9,0
5,0
20,0
8,0
12,0
5,0
18,0
3,0
35,0
50,0
56,0
71,0
59,0
51,0
26,0
21,0
49,0
36,0
57,0
67,0
82,0
58,0
49,0
28,0
23,0
42,0
22,0
17,0
17,0
1,0
13,0
5,0
6,0
17,0
38,0
16,0
3,0
-4,0
-59,0
-34,0
-4,0
-29,0
-20,0
-1,0
-45,0
-44,0
-51,0
-57,0
-28,0
-27,0
-12,0
4,0
-33,0
-45,0
-27,0
-22,0
-6,0
24,0
0,0
-17,0
-5,0
-42,0
-29,0
-28,0
-88,0
-124,0
-141,0
-203,0
-183,0
-196,0
-209,0
-204,0
-120,0
-104,0
-59,0
-38,0
1,0
-44,0
-23,0
-1,0
-8,0
16,0
51,0
60,0
54,0
10,0
50,0
83,0
108,0
100,0
98,0
144,0
99,0
87,0
128,0
147,0
150,0
160,0
150,0
152,0
160,0
133,0
153,0
176,0
155,0
145,0
131,0
131,0
100,0
118,0
124,0
115,0
71,0
88,0
83,0
88,0
96,0
74,0
34,0
36,0
60,0
37,0
53,0
9,0
56,0
42,0
9,0
25,0
7,0
16,0
22,0
-7,0
-23,0
28,0
-3,0
-3,0
-10,0
17,0
42,0
20,0
-7,0
5,0
11,0
10,0
42,0
24,0
20,0
37,0
12,0
-29,0
-18,0
23,0
29,0
44,0
38,0
34,0
18,0
4,0
-1,0
-12,0
12,0
24,0
8,0
7,0
35,0
12,0
37,0
48,0
38,0
71,0
77,0
91,0
70,0
72,0
72,0
39,0
26,0
76,0
84,0
45,0
90,0
93,0
88,0
101,0
123,0
157,0
136,0
92,0
51,0
42,0
50,0
35,0
27,0
27,0
1,0
34,0
29,0
9,0
16,0
35,0
41,0
17,0
10,0
72,0
44,0
2,0
4,0
4,0
28,0
51,0
22,0
43,0
58,0
52,0
40,0
42,0
40,0
26,0
33,0
27,0
44,0
52,0
55,0
90,0
45,0
75,0
52,0
32,0
66,0
69,0
41,0
-11,0
-12,0
16,0
11,0
7,0
35,0
40,0
36,0
50,0
39,0
26,0
20,0
21,0
35,0
72,0
66,0
43,0
48,0
-1,0
27,0
2,0
5,0
6,0
29,0
40,0
3,0
26,0
33,0
40,0
64,0
19,0
10,0
55,0
37,0
33,0
17,0
38,0
36,0
25,0
-6,0
3,0
11,0
0,0
23,0
4,0
21,0
17,0
5,0
8,0
18,0
16,0
10,0
3,0
2,0
-34,0
-51,0
-62,0
-51,0
-17,0
0,0
6,0
23,0
42,0
56,0
43,0
24,0
49,0
28,0
34,0
16,0
35,0
5,0
0,0
9,0
-6,0
25,0
9,0
-1,0
5,0
3,0
4,0
-22,0
-9,0
-9,0
7,0
7,0
10,0
40,0
33,0
48,0
22,0
38,0
48,0
84,0
53,0
11,0
-21,0
-39,0
-22,0
4,0
66,0
45,0
17,0
24,0
16,0
-22,0
-53,0
-22,0
-8,0
-26,0
-17,0
2,0
-8,0
-22,0
-50,0
-28,0
-29,0
-1,0
-3,0
20,0
41,0
2,0
5,0
22,0
36,0
28,0
42,0
68,0
83,0
113,0
92,0
72,0
71,0
89,0
90,0
41,0
22,0
27,0
36,0
25,0
25,0
35,0
11,0
-27,0
-28,0
-10,0
-29,0
-42,0
-68,0
-69,0
-85,0
-93,0
-53,0
-18,0
-25,0
-23,0
9,0
-11,0
-35,0
-17,0
-181,0
-181,0
-171,0
-148,0
-93,51
-123,51
-163,51
-157,51
-169,51
-194,51
-155,51
-162,51
-170,51
-161,51
-110,51
-103,51
-90,51
-89,51
-120,51
-109,51
-162,51
-171,51
-196,51
-274,51
-308,51
-362,51
-474,51
571,51
611,51
626,51
642,51
637,51
592,51
579,51
597,51
609,51
597,51
587,51
594,51
577,51
535,51
516,51
528,51
475,51
476,51
452,51
476,51
451,51
424,51
384,51
364,51
368,51
349,51
329,51
332,51
347,51
265,51
257,51
275,51
205,51
202,51
186,51
41,51
9,51
-4,51
19,51
-19,51
-29,51
-57,51
-71,51
-26,51
-35,51
-62,51
-41,51
-19,51
-18,51
-8,51
-23,51
-5,51
-35,51
-76,51
-92,51
-93,51
-33,51
-39,51
-65,51
-59,51
-14,51
-18,51
1,51
50,51
73,51
64,51
57,51
17,51
9,51
-12,51
-40,51
-24,51
-23,51
-25,51
-11,51
-12,51
-1,51
18,51
17,51
3,51
37,51
51,51
40,51
97,51
88,51
91,51
97,51
84,51
88,51
105,51
98,51
87,51
97,51
112,51
64,51
72,51
106,51
100,51
81,51
87,51
89,51
75,51
74,51
106,51
119,51
67,51
52,51
69,51
36,51
28,51
55,51
21,51
20,51
18,51
0,51
32,51
20,51
9,51
10,51
5,51
10,51
4,51
9,51
25,51
19,51
17,51
26,51
27,51
16,51
18,51
-57,51
-91,51
-141,51
-139,51
-156,51
-188,51
-126,51
-101,51
-46,51
-21,51
3,51
2,51
3,51
32,51
51,51
39,51
38,51
22,51
38,51
-5,51
-44,51
-13,51
-18,51
-26,51
-3,51
-20,51
-18,51
-35,51
-7,51
168,51
202,51
193,51
156,51
193,51
149,51
104,51
133,51
152,51
123,51
120,51
106,51
83,51
108,51
51,51
35,51
82,51
93,51
73,51
55,51
69,51
72,51
74,51
45,51
103,51
73,51
61,51
43,51
35,51
45,51
20,51
25,51
-10,51
11,51
57,51
11,51
19,51
22,51
9,51
-6,51
-29,51
-39,51
-56,51
-50,51
-65,51
-52,51
-50,51
-3,51
-13,51
-9,51
-12,51
-4,51
11,51
-3,51
-36,51
-39,51
-36,51
-35,51
-54,51
-74,51
-18,51
-28,51
-68,51
-38,51
-28,51
80,51
87,51
102,51
83,51
81,51
41,51
75,51
67,51
81,51
113,51
68,51
44,51
59,51
22,51
28,51
39,51
65,51
61,51
86,51
58,51
52,51
65,47
58,47
36,47
43,47
53,47
76,47
-70,47
-69,47
-57,47
-22,47
51,47
-55,47
12,47
28,47
-39,47
-28,47
-33,47
-24,47
-18,47
28,47
9,47
-4,47
-58,47
61,47
36,47
53,47
83,47
113,47
117,47
144,47
55,47
117,47
97,47
40,47
12,47
99,47
86,47
93,47
101,47
66,47
90,47
34,47
-4,47
2,47
13,47
56,47
-4,47
33,47
32,47
23,47
10,47
-29,47
-2,47
17,47
-24,47
-34,47
4,47
-13,47
-20,47
-71,47
-107,47
-67,47
-65,47
-88,47
-78,47
-13,47
-6,47
-23,47
7,47
2,47
-14,47
76,47
64,47
44,47
50,47
67,47
36,47
43,47
72,47
114,47
51,47
51,47
74,47
75,47
26,47
24,47
33,47
17,47
23,47
44,47
77,47
34,47
56,47
23,47
32,47
72,47
65,47
102,47
112,47
53,47
34,47
70,47
27,47
16,47
18,47
75,47
38,47
37,47
68,47
72,47
69,47
71,47
29,47
41,47
3,47
43,47
20,47
67,47
64,47
55,47
70,47
85,47
50,47
39,47
13,47
39,47
74,47
52,47
53,47
82,47
52,47
49,47
40,47
28,47
59,47
72,47
91,47
101,47
5,47
66,47
27,47
-27,47
-28,47
-23,47
-7,47
3,47
-53,47
-43,47
-30,47
-53,47
-82,47
-43,47
-69,47
-119,47
-103,47
-77,47
-103,47
-113,47
-72,47
-57,47
-62,47
-55,47
-39,47
19,47
17,47
16,47
113,47
115,47
139,47
72,47
99,47
106,47
80,47
98,47
125,47
147,47
139,47
129,47
118,47
136,47
137,47
125,47
107,47
107,47
90,47
107,47
116,47
140,47
92,47
49,47
71,47
87,47
69,47
72,47
53,47
60,47
7,47
-1,47
11,47
38,47
-39,47
-73,47
-12,47
-1,47
-30,47
0,47
23,47
10,47
24,47
42,47
77,47
76,47
80,47
59,47
101,47
51,47
55,47
103,47
68,47
55,47
67,47
89,47
40,47
54,47
82,47
40,47
59,47
66,47
65,47
92,47
82,47
76,47
55,47
29,47
24,47
61,47
33,47
35,47
42,47
86,47
20,47
11,47
33,47
17,47
-5,47
25,47
53,47
4,47
36,47
16,47
35,47
32,47
51,47
8,47
11,47
-24,47
-40,47
-93,47
-139,47
16,47
52,47
40,47
53,47
108,47
64,47
60,47
133,47
102,47
73,47
87,47
152,47
187,47
72,47
176,47
117,47
112,47
129,47
132,47
135,47
114,47
105,47
139,47
136,47
112,47
146,47
121,47
121,47
102,47
81,47
70,47
58,47
59,47
59,47
51,47
72,47
74,47
85,47
56,47
34,47
55,47
70,47
35,47
24,47
29,47
20,47
9,47
10,47
18,47
-10,47
-26,47
-50,47
5,47
-12,47
-5,47
-35,47
-27,47
-6,47
10,47
52,47
66,47
33,47
39,47
37,47
87,47
114,47
106,47
64,47
35,47
20,47
72,47
20,47
36,47
36,47
59,47
29,47
27,47
-1,47
43,47
34,47
56,47
70,47
52,47
52,47
50,47
55,47
51,47
54,47
45,47
57,47
37,47
17,47
8,47
11,47
26,47
39,47
23,47
49,47
76,47
1,47
-28,47
-37,47
-25,47
18,47
11,47
22,47
4,47
12,47
25,47
-5,47
10,47
44,47
21,47
11,47
73,47
34,47
48,47
44,47
60,47
5,47
-14,47
-8,47
9,47
20,47
10,47
40,47
85,47
66,47
49,47
-11,47
9,47
5,47
-10,47
4,47
18,47
8,47
16,47
2,47
10,47
26,47
18,47
24,47
42,47
24,47
20,47
40,47
22,47
7,47
10,47
-8,47
5,47
-18,47
28,47
39,47
-19,47
29,47
53,47
103,47
105,47
71,47
60,47
34,47
35,47
-11,47
4,47
-8,47
-41,47
-3,47
-59,47
-59,47
-10,47
-9,47
-34,47
1,47
29,47
22,47
29,47
60,47
41,47
65,47
85,47
100,47
101,47
67,47
41,47
41,47
59,47
65,47
72,47
59,47
34,47
64,47
41,47
58,47
37,47
20,47
11,47
6,47
-8,47
10,47
7,47
28,47
50,47
13,47
45,47
25,47
6,47
18,47
24,47
19,47
36,47
71,47
74,47
37,47
12,47
23,47
12,47
2,47
32,47
-35,47
-38,47
-36,47
125,47
69,47
64,47
80,47
54,47
51,47
61,47
76,47
85,47
44,47
50,47
36,47
72,47
89,47
90,47
92,47
91,47
89,47
113,47
106,47
87,47
92,47
91,47
69,47
56,47
71,47
71,47
38,47
57,47
75,47
50,47
58,47
54,47
59,47
52,47
17,47
16,47
10,47
-20,47
6,47
-1,47
-1,47
-18,47
-24,47
-20,47
7,47
25,47
21,47
8,47
64,47
42,47
-8,47
5,47
11,47
6,47
-12,47
8,47
50,47
65,47
6,47
3,47
22,47
16,47
-18,47
-11,47
27,47
5,47
-4,47
-2,47
34,47
26,47
55,47
34,47
-4,47
7,47
5,47
5,47
40,47
49,47
35,47
-3,47
23,47
22,47
19,47
37,47
21,47
35,47
44,47
40,47
19,47
59,47
29,47
39,47
33,47
18,47
13,47
23,47
25,47
43,47
98,47
90,47
67,47
83,47
51,47
33,47
20,47
32,47
19,47
27,47
24,47
45,47
39,47
2,47
-3,47
-13,47
0,47
-13,47
-20,47
-5,47
36,47
20,47
40,47
56,47
18,47
13,47
29,47
19,47
21,47
39,47
29,47
51,47
61,47
90,47
57,47
69,47
72,47
48,47
45,47
36,47
39,47
61,47
44,47
68,47
80,47
67,47
82,47
71,47
16,47
55,47
57,47
52,47
64,47
44,47
67,47
70,47
64,47
43,47
32,64
25,64
50,64
37,64
56,64
12,64
25,64
22,64
22,64
-17,64
6,64
4,64
3,64
2,64
10,64
-1,64
25,64
29,64
52,64
56,64
52,64
87,64
104,64
82,64
117,64
102,64
72,64
39,64
43,64
19,64
19,64
34,64
-12,64
0,64
-38,64
45,64
42,64
39,64
16,64
11,64
32,64
11,64
26,64
34,64
40,64
9,64
23,64
64,64
53,64
9,64
42,64
60,64
41,64
48,64
51,64
66,64
68,64
58,64
68,64
76,64
42,64
53,64
11,64
25,64
6,64
12,64
-10,64
-34,64
-21,64
-19,64
-2,64
35,64
8,64
51,64
18,64
25,64
59,64
92,64
76,64
100,64
119,64
66,64
40,64
77,64
61,64
25,64
42,64
55,64
49,64
59,64
102,64
61,64
21,64
20,64
17,64
-3,64
-6,64
-27,64
6,64
34,64
8,64
25,64
57,64
68,64
85,64
105,64
91,64
69,64
43,64
52,64
6,64
28,64
57,64
17,64
40,64
43,64
38,64
61,64
9,64
3,64
37,64
17,64
6,64
-3,64
-18,64
-1,64
17,64
-7,64
32,64
36,64
3,64
32,64
49,64
20,64
44,64
66,64
42,64
56,64
55,64
60,64
73,64
98,64
118,64
97,64
77,64
60,64
57,64
52,64
53,64
44,64
56,64
29,64
32,64
44,64
28,64
40,64
44,64
48,64
54,64
53,64
1,64
-35,64
-3,64
-13,64
-42,64
-10,64
12,64
8,64
2,64
25,64
32,64
18,64
-6,64
13,64
22,64
10,64
12,64
-3,64
-20,64
8,64
26,64
-22,64
7,64
16,64
18,64
34,64
18,64
17,64
-17,64
-25,64
23,64
19,64
36,64
59,64
66,64
64,64
75,64
87,64
56,64
38,64
90,64
42,64
19,64
3,64
7,64
-28,64
-19,64
-2,64
23,64
29,64
18,64
-10,64
-27,64
-23,64
-7,64
19,64
3,64
8,64
32,64
35,64
9,64
25,64
7,64
-51,64
-29,64
0,64
10,64
21,64
5,64
22,64
26,64
27,64
57,64
54,64
53,64
58,64
38,64
-3,64
-1,64
-4,64
3,64
32,64
16,64
27,64
35,64
-17,64
5,64
57,64
27,64
35,64
-9,64
-36,64
39,64
28,64
40,64
19,64
28,64
7,64
3,64
-20,64
5,64
0,64
17,64
0,64
-4,64
8,64
13,64
2,64
-9,64
16,64
20,64
-3,64
0,64
16,64
10,64
41,64
51,64
42,64
7,64
-8,64
9,64
-5,64
-30,64
-36,64
-50,64
-52,64
-46,64
-147,64
-163,64
-174,64
-170,64
-226,64
-243,64
-167,64
-237,64
-251,64
-299,64
-359,64
-406,64
-504,64
-584,64
-597,64
-598,64
-694,64
-721,64
-765,64
-860,64
-957,64
-988,64
-966,64
-1022,64
-1065,64
-1074,64
-1107,64
-1080,64
-1033,64
-1034,64
460,64
578,64
643,64
698,64
779,64
795,64
855,64
868,64
881,64
903,64
906,64
921,64
918,64
946,64
938,64
939,64
924,64
896,64
897,64
852,64
837,64
844,64
820,64
803,64
763,64
730,64
694,64
673,64
616,64
618,64
610,64
608,64
588,64
535,64
524,64
488,64
439,64
433,64
424,64
408,64
371,64
360,64
384,64
336,64
325,64
346,64
298,64
297,64
341,64
256,64
233,64
288,64
210,64
199,64
188,64
154,64
161,64
145,64
105,64
123,64
115,64
133,64
99,64
129,64
122,64
144,64
135,64
125,64
87,64
101,64
92,64
67,64
67,64
83,64
109,64
96,64
85,64
50,64
55,64
23,64
38,64
75,64
43,64
35,64
67,64
7,64
25,64
40,64
4,64
8,64
38,64
21,64
25,64
28,64
9,64
-22,64
-10,64
-40,64
-68,64
-34,64
-46,64
-55,64
-6,64
-19,64
8,64
-27,64
-39,64
-27,64
16,64
2,64
25,64
25,64
49,64
-4,64
40,64
33,64
45,64
74,64
68,64
83,64
49,64
70,64
45,64
39,64
57,64
28,64
43,64
34,64
6,64
-11,64
-20,64
-8,64
-6,64
-12,64
1,64
13,64
-20,64
-11,64
20,64
-1,64
-12,64
-5,64
10,64
21,64
3,64
5,64
23,64
3,64
-43,64
-22,64
12,64
19,64
-2,57
-2,57
-11,57
-26,57
6,57
51,57
9,57
11,57
2,57
-19,57
-5,57
-8,57
-17,57
-29,57
-23,57
8,57
4,57
-24,57
5,57
21,57
26,57
53,57
68,57
61,57
48,57
57,57
43,57
39,57
44,57
51,57
58,57
59,57
11,57
17,57
23,57
3,57
20,57
23,57
16,57
17,57
-9,57
-9,57
7,57
-1,57
40,57
4,57
34,57
50,57
67,57
52,57
24,57
32,57
48,57
67,57
51,57
44,57
25,57
-17,57
5,57
-7,57
-8,57
-13,57
18,57
42,57
64,57
54,57
38,57
28,57
2,57
3,57
41,57
-1,57
-12,57
-1,57
-19,57
-44,57
-36,57
-49,57
-30,57
-25,57
-53,57
-27,57
-35,57
-12,57
7,57
1,57
27,57
-13,57
-7,57
-2,57
1,57
1,57
-3,57
-4,57
-12,57
20,57
64,57
70,57
87,57
81,57
27,57
24,57
13,57
22,57
29,57
32,57
58,57
42,57
48,57
35,57
38,57
4,57
-8,57
-4,57
25,57
18,57
45,57
44,57
73,57
67,57
21,57
29,57
54,57
53,57
37,57
61,57
44,57
21,57
27,57
23,57
51,57
51,57
16,57
88,57
86,57
76,57
93,57
101,57
98,57
75,57
72,57
75,57
101,57
83,57
61,57
60,57
2,57
-6,57
-4,57
33,57
17,57
2,57
72,57
40,57
72,57
65,57
72,57
37,57
29,57
34,57
83,57
52,57
41,57
66,57
53,57
36,57
43,57
21,57
-7,57
7,57
-7,57
6,57
41,43
38,43
25,43
26,43
34,43
32,43
9,43
18,43
40,43
48,43
48,43
34,43
37,43
64,43
27,43
32,43
42,43
32,43
38,43
52,43
53,43
72,43
80,43
96,43
104,43
24,43
9,43
58,43
39,43
54,43
44,43
64,43
59,43
45,43
21,43
26,43
26,43
52,43
50,43
44,43
54,43
18,43
23,43
-9,43
24,43
90,43
59,43
80,43
68,43
42,43
-9,43
74,43
57,43
76,43
107,43
39,43
32,43
51,43
86,43
83,43
91,43
117,43
76,43
81,43
96,43
86,43
56,43
43,43
76,43
22,43
53,43
52,43
52,43
38,43
59,43
61,43
40,43
34,43
-8,43
-4,43
1,43
12,43
33,43
37,43
20,43
38,43
52,43
39,43
41,43
49,43
52,43
59,43
33,43
41,43
48,43
58,43
55,43
40,43
52,43
50,43
75,43
49,43
40,43
34,43
25,43
9,43
34,43
35,43
22,43
18,43
48,43
57,43
5,43
13,43
21,43
-3,43
25,43
27,43
7,43
3,43
-33,43
-9,43
24,43
11,43
54,43
45,43
49,43
33,43
59,43
70,43
50,43
48,43
40,43
28,43
3,43
20,43
42,43
48,43
50,43
54,43
54,43
24,43
4,43
71,43
54,43
40,43
39,43
5,43
25,43
-10,43
2,43
19,43
-12,43
-20,43
-11,43
17,43
12,43
-7,43
8,43
29,43
51,43
37,43
68,43
57,43
24,43
25,43
3,43
52,43
74,43
34,43
44,43
64,43
43,43
42,43
36,43
60,43
51,43
83,43
106,43
68,43
85,43
34,43
38,43
19,43
24,43
33,43
9,43
-5,43
3,43
18,43
23,43
26,43
32,43
29,43
34,43
53,43
7,43
20,43
20,43
25,43
69,43
35,43
60,43
49,43
45,43
41,43
59,43
37,43
28,43
41,43
27,43
52,43
55,43
2,43
22,43
5,43
-8,43
33,43
20,43
20,43
6,43
20,43
34,43
17,43
43,43
64,43
39,43
75,43
49,43
26,43
44,43
12,43
-9,43
57,43
67,43
24,43
33,43
-14,43
