raw_data,attention
387,30
309,30
274,30
244,30
215,30
210,30
249,30
252,30
229,30
203,30
182,30
184,30
205,30
210,30
237,30
258,30
268,30
249,30
201,30
184,30
273,30
240,30
221,30
252,30
258,30
233,30
199,30
225,30
284,30
203,30
103,30
96,30
56,30
60,30
-2,30
-18,30
35,30
74,30
58,30
29,30
83,30
67,30
56,30
75,30
119,30
113,30
93,30
44,30
-14,30
42,30
81,30
72,30
96,30
66,30
107,30
171,30
131,30
166,30
163,30
7,30
-9,30
1,30
-23,30
-18,30
-5,30
-44,30
-107,30
-42,30
-5,30
-27,30
3,30
42,30
80,30
109,30
80,30
155,30
166,30
70,30
100,30
133,30
157,30
101,30
52,30
103,30
92,30
54,30
108,30
91,30
97,30
59,30
-4,30
-61,30
-56,30
-40,30
-14,30
-55,30
-56,30
-71,30
-42,30
-42,30
-8,30
-4,30
-38,30
-103,30
-132,30
-193,30
-173,30
-194,30
-185,30
-123,30
-92,30
-33,30
-38,30
-49,30
-54,30
-212,30
-228,30
-193,30
-230,30
-233,30
-244,30
-267,30
-276,30
-263,30
-246,30
-220,30
-148,30
-116,30
-100,30
-73,30
-62,30
-51,30
-42,30
-29,30
17,30
-17,30
-39,30
-29,30
-7,30
-53,30
-4,30
9,30
27,30
85,30
48,30
-73,30
-57,30
-75,30
-135,30
-177,30
-135,30
-43,30
-49,30
-36,30
20,30
-36,30
-30,30
38,30
42,30
86,30
146,30
182,30
171,30
114,30
87,30
113,30
219,30
200,30
233,30
306,30
233,30
203,30
147,30
130,30
161,30
82,30
90,30
133,30
77,30
114,30
84,30
28,30
2,30
-21,30
23,30
83,30
131,30
148,30
240,30
209,30
193,30
196,30
291,30
264,30
200,30
165,30
179,30
186,30
214,30
186,30
218,30
196,30
156,30
163,30
55,30
52,30
136,30
65,30
64,30
82,30
73,30
49,30
-129,30
-153,30
-87,30
-33,30
-13,30
13,30
45,30
51,30
-6,30
-41,30
19,30
-24,30
-38,30
-34,30
-73,30
-115,30
-121,30
-89,30
-53,30
-34,30
-21,30
-17,30
-34,30
-37,30
-91,30
-129,30
-72,30
-147,30
-182,30
-146,30
-35,30
-7,30
52,30
82,30
92,30
118,30
237,30
277,30
248,30
259,30
229,30
188,30
165,30
209,30
180,30
216,30
210,30
188,30
209,30
160,30
167,30
155,30
199,30
165,30
71,30
20,30
-42,30
-102,30
-194,30
-200,30
-88,30
-55,30
-60,30
-42,30
-40,30
-120,30
-101,30
-75,30
-55,30
-42,30
-33,30
1,30
36,30
99,30
98,30
81,30
121,30
71,30
122,30
165,30
169,30
189,30
149,30
160,30
192,30
185,30
148,30
163,30
147,30
102,30
98,30
192,30
169,30
132,30
89,30
88,30
35,30
1,30
18,30
42,30
