raw,attention
52,24
48,24
29,24
3,24
-13,24
-2,24
41,24
72,24
69,24
55,24
42,24
38,24
57,24
80,24
85,24
77,24
64,24
45,24
36,24
34,24
22,24
17,24
23,24
27,24
24,24
7,24
-7,24
-4,24
9,24
4,24
-11,24
-20,24
-12,24
8,24
39,24
65,24
73,24
64,24
43,24
39,24
52,24
52,24
37,24
29,24
28,24
32,24
32,24
33,24
27,24
13,24
-5,24
-10,24
8,24
41,24
60,24
67,24
66,24
64,24
60,24
59,24
66,24
81,24
101,24
106,24
98,24
85,24
71,24
69,24
67,24
54,24
49,24
58,24
58,24
38,24
13,24
4,24
11,24
19,24
8,24
1,24
11,24
26,24
24,24
12,24
8,24
13,24
21,24
24,24
22,24
16,24
10,24
18,24
25,24
35,24
32,24
18,24
5,24
-3,24
-6,24
-1,24
8,24
23,24
37,24
50,24
55,24
49,24
37,24
51,24
72,24
73,24
61,24
54,24
57,24
66,24
60,24
52,24
50,24
40,24
28,24
29,24
42,24
52,24
60,24
56,24
43,24
40,24
53,24
66,24
68,24
67,24
55,24
38,24
27,24
36,24
49,24
53,24
51,24
56,24
68,24
60,24
42,24
29,24
27,24
21,24
21,24
42,24
68,24
83,24
82,24
70,24
66,24
71,24
84,24
88,24
77,24
53,24
26,24
19,24
24,24
28,24
24,24
23,24
36,24
39,24
29,24
16,24
5,24
11,24
22,24
27,24
29,24
26,24
22,24
21,24
33,24
48,24
52,24
51,24
54,24
58,24
66,24
61,24
40,24
26,24
28,24
45,24
59,24
54,24
38,24
32,24
35,24
39,24
42,24
41,24
34,24
21,24
20,24
27,24
37,24
49,24
53,24
55,24
49,24
42,24
54,24
70,24
64,24
41,24
27,24
23,24
17,24
9,24
12,24
9,24
0,24
-4,24
1,24
8,24
17,24
26,24
37,24
39,24
35,24
34,24
36,24
29,24
25,24
39,24
50,24
49,24
52,24
57,24
57,24
42,24
23,24
21,24
29,24
48,24
68,24
59,24
28,24
9,24
8,24
22,24
32,24
40,24
54,24
60,24
44,24
21,24
17,24
27,24
37,24
29,24
11,24
4,24
6,24
11,24
12,24
23,24
38,24
45,24
53,24
67,24
67,24
55,24
55,24
55,24
43,24
35,24
41,24
50,24
51,24
48,24
39,24
26,24
17,24
3,24
4,24
24,24
54,24
57,24
42,24
38,24
40,24
43,24
49,24
53,24
50,24
33,24
16,24
11,24
12,24
24,24
42,24
55,24
57,24
49,24
36,24
26,24
20,24
12,24
12,24
18,24
20,24
21,24
12,24
1,24
-3,24
0,24
5,24
16,24
37,24
57,24
67,24
53,24
33,24
26,24
23,24
21,24
33,24
41,24
40,24
25,24
6,24
-6,24
-11,24
-17,24
-26,24
