Delta,Theta,Alpha,Beta,Gamma,Attention
1.93385252578,2.99862338936,4.26199160282,5.05493768447,5.83882322101,0
1.82325786465,2.13153407299,3.68535201031,3.5298231553,4.95563934967,0
2.06699304709,2.22096970748,3.46574475821,2.96438983535,4.19162959229,0
2.79286972382,3.25542125815,3.17075108827,2.43376945481,3.42336016825,0
3.74276201707,3.92253799283,2.69187823885,1.94850193016,2.89565409803,0
3.68390187223,3.11317350603,1.79732572831,1.49944855023,2.26986076547,0
3.47629052451,2.28132877069,1.26170692911,1.53139054864,2.15011127142,0
3.07162302582,1.54560106716,0.944892891725,1.82156966797,2.33828246685,0
2.74815867163,1.08383532249,0.903320574319,2.41631969986,3.01577816582,0
2.72935279973,0.860066082502,1.09973740732,3.28556525726,4.27792282129,0
2.99050770325,0.67051316973,1.20547634871,4.00485247636,5.52443105345,0
3.26459240126,0.564890693973,1.14182087298,4.52462651553,6.38228892289,0
3.6466057651,0.809596409242,1.20663719388,5.62276173839,7.81396647193,0
2.8810668509,1.10035358622,1.0429851354,5.62605806174,7.4409009707,0
1.63894514413,1.38509992508,0.862278847756,4.66303098874,5.69388296824,0
1.24819373553,2.76431561236,1.31763829664,4.9804663364,5.65554585905,0
0.51898632408,2.30209237459,1.02795548332,2.31865838702,2.43098094906,0
0.35781592257,2.02136624074,0.964566195117,1.52489634193,1.38926302875,0
0.305794664364,1.93495155483,0.961774561608,1.35489770973,1.08430264943,0
0.383400781046,1.98773254832,1.0047811594,1.45656818024,1.16405385453,0
1.37432000556,2.30231009186,1.15115626379,1.89694581724,1.65281784758,0
3.83241730248,1.52330474231,0.739103679203,1.42560875004,1.27067581974,0
3.58356297314,0.584840101567,0.225186701652,0.520491705826,0.416352008926,0
3.05911361733,0.325631375842,0.0890451829559,0.235903421803,0.164657537065,0
2.69121456302,0.232777300438,0.0495437179652,0.133893487898,0.0860896581211,0
2.69778760271,0.202078455625,0.0422955558662,0.100401938284,0.0662284933362,0
2.70642848309,0.180027579139,0.0477732028591,0.088326410698,0.0670789828792,0
2.38703836971,0.146719692139,0.0573399355219,0.080398960608,0.078275134283,0
2.3794889466,0.146087288061,0.0845650623334,0.0991964227984,0.127368206673,0
2.63690360251,0.174261543715,0.141363553367,0.171737801576,0.26516473971,0
2.23916668552,0.180834579613,0.186535545767,0.285790822977,0.456239828342,0
2.63164719851,0.275962193308,0.413480968198,0.695490236828,1.08782117568,0
2.51818514056,0.427990027071,0.936736329465,1.25767412452,2.00640558139,0
2.1313758995,0.785724744953,1.87841450978,1.6352568413,2.89501263426,0
1.40694603654,1.07370577387,2.37641816642,1.37340278336,2.74891593384,0
