delta,theta,alpha,beta,gama,Color
4.7674646698e-07,4.7674646698e-07,4.96789284228e-06,0.0011818615697,0.00387537643283,blue
6.21455503898e-06,6.16120052764e-06,6.19079388459e-05,0.0125084982175,0.027915156654,blue
4.00678323003e-05,3.92725881576e-05,0.000376686020309,0.0613122782148,0.0698346092189,blue
0.000172809047834,0.000166888283041,0.00150975686661,0.184008656126,0.0185594542591,blue
0.000568374171544,0.000538712612928,0.0045331379566,0.371197348748,-0.2735039545,blue
0.00153682546181,0.00142332786399,0.0109642901918,0.497671652227,-0.588122619512,blue
0.00358448600804,0.00322819000563,0.0223434903591,0.324735985958,-0.224431174763,blue
0.007451075588,0.00649053449303,0.0394576194321,-0.364355920125,1.09082928821,blue
0.0141284496914,0.0118339136744,0.0614021660798,-1.53655266993,2.16293717063,blue
0.0248636935712,0.0198964870117,0.0848406597583,-2.73656924284,1.09678234376,blue
0.0411547221779,0.0312451459996,0.103845899356,-3.15204390421,-2.23233837645,blue
0.0647451414027,0.046289301523,0.110545238008,-1.99688448588,-4.95621857295,blue
0.0976190579311,0.0652019781889,0.0965235605066,0.925625632434,-3.52233823017,blue
0.141992573668,0.087851293515,0.0547131259341,4.82255954872,2.28154790476,blue
0.200301048225,0.113747132362,-0.0185917476514,8.02394347471,7.98903008372,blue
0.275186246502,0.142012004944,-0.121957529751,8.69054956699,7.87684774329,blue
0.36948907255,0.171385050101,-0.247623855815,5.80074588135,0.413032353337,blue
0.48624981299,0.200261953655,-0.381248664859,-0.143819209311,-9.31215216481,blue
0.62871145782,0.226764588668,-0.502868376661,-7.14675138174,-12.9532800952,blue
0.800316444349,0.248827037052,-0.589192695144,-12.5263309603,-5.98171032073,blue
1.00468575918,0.264282650796,-0.617085204384,-14.103627863,7.36299896193,blue
1.24557275079,0.270941073467,-0.567757417675,-11.154515073,16.3354177048,blue
1.52679106433,0.266652942996,-0.430921540108,-4.65667457347,12.4944535855,blue
1.85212459739,0.249370151567,-0.208006278392,3.23657205014,-2.19415381561,blue
2.22523225134,0.217214947831,0.0863636729576,10.1500835622,-15.9779644485,blue
2.64955708368,0.168566884597,0.425068193269,14.3380686381,-17.2026800429,blue
3.12824281539,0.102167739863,0.771346192251,15.057395241,-4.67693477083,blue
3.6640578037,0.0172393325517,1.08337736771,12.4513662348,11.3281077103,blue
4.25932853386,-0.0863909048252,1.31990566598,7.21998304483,18.1712042557,blue
4.91588836868,-0.208159775125,1.44609008027,0.375101159412,11.20237899,blue
5.63504778,-0.346638015049,1.43872158269,-6.83043126509,-3.52836973474,blue
6.41758663233,-0.499411569586,1.28996141675,-12.9442878336,-15.0345449981,blue
7.263761025,-0.662995001469,1.00889789846,-16.5206479402,-15.5402076737,blue
8.17331240216,-0.832801330005,0.620541328184,-16.5226971622,-5.09455610493,blue
9.14546719541,-1.00318873056,0.162342212855,-12.7414129355,8.99499935093,blue
10.1789210917,-1.1675935024,-0.321174719307,-5.96982898447,16.7533017906,blue
11.2718108839,-1.31874381765,-0.784656828817,2.21016783025,12.1065364468,blue
12.4216827683,-1.44893738129,-1.18788354551,9.93518333945,-2.11123440924,blue
13.6254654883,-1.55036262582,-1.50041320184,15.5946112849,-15.1373845297,blue
14.8794532883,-1.61544410848,-1.70423816886,18.1512951221,-16.2262921147,blue
16.1793008211,-1.63719446204,-1.79420079052,17.1947352724,-3.94362975119,blue
17.5200307134,-1.60955647038,-1.77634368196,12.8546388811,11.7167193641,blue
18.8960539203,-1.52771994161,-1.66471473149,5.74253163126,17.4624916777,blue
20.3012016965,-1.38840050895,-1.47738522566,-3.0244514351,8.42762413242,blue
21.7287661599,-1.19007091543,-1.23253252842,-11.8175849894,-7.34942705374,blue
23.1715449895,-0.933138493969,-0.945367361282,-18.6711031207,-16.1740052149,blue
24.6218846417,-0.620065372505,-0.626473109114,-21.7202681933,-11.012923918,blue
26.0717171349,-0.255428714733,-0.28179873912,-19.8076819991,2.66903446996,blue
27.5125902197,0.154085135111,0.0858480522703,-13.0020669159,12.6918113135,blue
28.935698041,0.599764280379,0.474320491637,-2.75494330207,11.3947120882,blue
30.3319235525,1.07104556478,0.879367782158,8.42377865406,1.49409984304,blue
31.6919021975,1.55578624954,1.2922598289,17.6644156728,-7.91468255861,blue
33.0061126017,2.04063062121,1.6983096918,22.5576792621,-9.86113174715,blue
34.2649965231,2.51145995524,2.07657496608,21.8296773904,-4.32906946446,blue
35.4591040353,2.95390288063,2.40074960724,15.6770032904,3.35837139661,blue
36.5792513311,3.35387098878,2.64101033004,5.6855874908,7.4184283633,blue
37.616674298,3.69807926167,2.76647591176,-5.6045656638,5.57601920082,blue
38.5631631982,3.97451503714,2.74798719975,-15.3340610981,0.0272532605629,blue
39.4111675125,4.17282736882,2.56101448001,-21.001941716,-4.70940709859,blue
40.1538682171,4.28462290851,2.18862875353,-21.0575570147,-5.36744400987,blue
40.7852329367,4.3036789595,1.624632072,-15.2863095269,-2.14220353957,blue
41.3000829924,4.22610214888,0.87689684891,-4.92598140463,1.93161447441,blue
41.6941936914,4.05045401538,-0.0294383971363,7.46666243428,3.55555069404,blue
41.9644309564,3.77784451023,-1.04974061292,18.4091097073,1.93190158546,blue
42.1089148648,3.41197969038,-2.11963681589,24.2439410731,-0.346469529015,blue
42.1271916397,2.95914017321,-3.15764334261,22.2597796837,-0.0146008108002,blue
42.0203886401,2.42806181019,-4.07115041594,11.9113903733,2.43254978687,blue
41.7913307624,1.82969892495,-4.7655294408,-4.38889345943,2.3614284882,blue
41.4446080121,1.17686909243,-5.15532697782,-21.4706462479,-3.15091710284,blue
40.9865883157,0.483790459877,-5.17596172567,-32.879051549,-9.8617622882,blue
40.4253669477,-0.234472929205,-4.7941402243,-33.3159290067,-9.30571474857,blue
39.770646205,-0.962633599051,-4.01524145353,-21.0873847496,1.65821651327,blue
39.0335501556,-1.68583031519,-2.88616182845,0.662644925394,15.329615605,blue
38.2263918637,-2.39024950947,-1.49264499373,24.723604842,18.8341286433,blue
37.3624139863,-3.06366150278,0.0490108141995,42.4284937006,6.30992735878,blue
36.4555167648,-3.69582783726,1.60492969354,47.0088740251,-14.087368633,blue
35.5199792706,-4.27875361276,3.03947854817,36.2435945854,-25.6149569601,blue
34.5701772971,-4.80677202344,4.23157592268,13.3132931053,-17.0515366575,blue
33.6203038654,-5.2764570099,5.0890701773,-14.4091339746,6.37732886818,blue
32.6841021809,-5.68636743836,5.55909871612,-38.0583104212,25.7380978494,blue
31.7746222807,-6.03663603955,5.63295486693,-50.3749197698,24.2063420758,blue
30.9040093542,-6.32843015764,5.34477004398,-48.0659313545,2.67153108374,blue
30.083326049,-6.56332594559,4.76418808516,-32.6506880814,-20.0658588845,blue
29.3224060337,-6.74264882421,3.98408273707,-9.60710985333,-24.2317670041,blue
28.6297310363,-6.86684057875,3.10511343754,13.7559287084,-7.57489850596,blue
28.012320604,-6.93491472457,2.21943905265,30.857765046,13.0354117541,blue
27.4756275316,-6.94405202588,1.39617047596,37.9146814109,18.7648325083,blue
27.0234401064,-6.88937040655,0.671039353651,34.8364844808,6.95654260597,blue
26.6577989662,-6.76388555558,0.0422060673158,24.7195389715,-8.30572017271,blue
26.3789384242,-6.55866475545,-0.526832406096,12.2247261465,-12.3047688734,blue
26.185259005,-6.26316824508,-1.09748877067,1.54584831298,-4.01662885118,blue
26.0733318068,-5.8657678174,-1.74096811705,-5.17500633616,5.78604471723,blue
26.0379313579,-5.35442595397,-2.52024080931,-8.32530717512,7.81466241867,blue
26.0720942523,-4.71750832576,-3.47209616298,-10.0344551952,2.78215193852,blue
26.167201049,-3.94469351169,-4.59235436644,-12.5759724999,-2.64930349856,blue
26.3130766795,-3.02793883528,-5.82695876404,-16.8214487067,-4.6259102843,blue
26.4981059047,-1.96245445234,-7.07085061302,-21.5561079347,-4.22774225319,blue
26.7093642359,-0.74763069028,-8.17538313905,-24.0034187988,-2.79577221593,blue
26.932763659,0.612135697767,-8.96381594252,-21.3003528456,0.594247429637,blue
27.1532086398,2.10676446523,-9.25327483726,-12.1836205049,5.75329387685,blue
27.3547572266,3.72000680234,-8.88054661518,1.98981290446,8.569983014,blue
27.520781728,5.42918807144,-7.72838299953,17.4502273579,4.70079462938,blue
27.6341210734,7.20520337731,-5.74874043381,29.4000829346,-4.29837967108,blue
27.6772189407,9.01278340613,-2.97955017316,33.9574366155,-10.9043063756,blue
27.6322474523,10.8110430774,0.44779054064,29.7732683349,-8.89678235974,blue
27.4812158782,12.5543133311,4.31193299229,18.5669273473,-0.00534638741841,blue
27.2060608222,14.1932408568,8.31644431077,4.33316779973,7.83291283715,blue
26.7887192961,15.6761331806,12.1149986588,-8.36304958673,8.74235152025,blue
26.211192714,16.9505210365,15.3445718138,-16.1767777069,4.08016947413,blue
25.4556072178,17.9648952947,17.6631483531,-18.0863902786,-0.972959923126,blue
24.5042682191,18.6705571816,18.7876379122,-15.4257214977,-3.80445466419,blue
23.3397034953,19.0235084693,18.5274794902,-10.937642804,-5.2344124716,blue
21.9446924736,18.9863064247,16.8098499674,-7.32742179278,-5.37634209459,blue
20.3022922155,18.5298192397,13.6934309067,-5.96337861683,-2.29177684272,blue
18.3958847302,17.6348317466,9.36905560599,-6.30602673259,3.81935749611,blue
