raw_data,attention
54,88
72,88
-9,88
-56,88
-52,88
20,88
-34,88
-13,88
-27,88
-28,88
-45,88
-36,88
-21,88
56,88
76,88
-18,88
-93,88
-133,88
-274,88
-340,88
-324,88
-361,88
-357,88
-202,88
-215,88
-173,88
-103,88
-193,88
-193,88
-119,88
-56,88
17,88
34,88
59,88
24,88
50,88
59,88
115,88
197,88
154,88
135,88
155,88
148,88
195,88
181,88
177,88
225,88
189,88
197,88
193,88
186,88
164,88
137,88
118,88
153,88
132,88
165,88
179,88
135,88
144,88
112,88
82,88
130,88
101,88
131,88
124,88
108,88
119,88
135,88
130,88
148,88
134,88
167,88
116,88
136,88
87,88
60,88
91,88
57,88
104,88
61,88
36,88
88,88
17,88
64,88
56,88
35,88
98,88
151,88
88,88
82,88
85,88
149,88
97,88
76,88
81,88
-19,88
-34,88
39,88
19,88
37,88
57,88
87,88
72,88
-25,88
71,88
42,88
57,88
48,88
19,88
34,88
57,88
2,88
36,88
-73,88
-81,88
-75,88
-107,88
-57,88
42,88
-21,88
23,88
87,88
60,88
74,88
24,88
24,88
-17,88
9,88
4,88
-21,88
45,88
5,88
2,88
-7,88
-39,88
-44,88
-33,88
-45,88
10,88
-65,88
16,88
-12,88
25,88
81,88
26,88
55,88
60,88
73,88
89,88
104,88
169,88
99,88
44,88
105,88
57,88
66,88
75,88
39,88
26,88
-3,88
-26,88
-5,88
-12,88
52,88
67,88
42,88
49,88
19,88
8,88
11,88
3,88
7,88
-12,88
-19,88
34,88
-6,88
8,88
4,88
-3,88
36,88
16,88
-24,88
-28,88
-43,88
7,88
-12,88
-42,88
27,88
0,88
11,88
-33,88
-30,88
13,88
-30,88
-10,88
-54,88
-88,88
-29,88
-34,88
-21,88
71,88
19,88
20,88
26,88
-13,88
-3,88
22,88
55,88
-1,88
-58,88
-101,88
-196,88
-275,88
-187,88
-133,88
-81,88
2,88
-22,88
-56,88
-65,88
-50,88
-38,88
-10,88
33,88
11,88
40,88
26,88
8,88
6,88
-3,88
18,88
13,88
-24,88
32,88
52,88
65,88
153,88
118,88
155,88
160,88
108,88
85,88
97,88
91,88
101,88
93,88
86,88
21,88
40,88
39,88
-9,88
41,88
12,88
-41,88
-8,88
8,88
21,88
-34,88
-501,88
-760,88
-798,88
-874,88
-855,88
-771,88
-743,88
-856,88
-966,88
-939,88
-773,88
-501,88
-248,88
-45,88
87,88
268,88
435,88
410,88
410,88
439,88
413,88
471,88
418,88
352,88
333,88
314,88
281,88
293,88
264,88
249,88
178,88
140,88
157,88
183,88
162,88
168,88
132,88
-12,88
-360,88
-616,88
-1133,88
-1395,88
-1303,88
-1299,88
-1149,88
-1365,88
-1292,88
-702,88
-353,88
5,88
587,88
841,88
834,88
730,88
794,88
953,88
999,88
998,88
874,88
829,88
908,88
890,88
819,88
770,88
601,88
103,88
138,88
125,88
131,88
8,88
-150,88
-263,88
-211,88
-148,88
-146,88
-21,88
8,88
27,88
28,88
-10,88
36,88
40,88
11,88
0,88
-27,88
-3,88
39,88
22,88
57,88
59,88
-43,88
-132,88
-117,88
-105,88
-119,88
-100,88
-41,88
-116,88
-134,88
-119,88
-147,88
-87,88
-132,88
-173,88
-108,88
-57,88
35,88
129,88
124,88
183,88
161,88
181,88
212,88
227,88
184,88
162,88
129,88
33,88
99,88
129,88
68,88
177,88
168,88
140,88
121,88
130,88
181,88
196,88
212,88
213,88
173,88
230,88
246,88
205,88
252,88
176,88
138,88
180,88
104,88
147,88
155,88
103,88
138,88
48,88
101,88
36,88
24,88
55,88
27,88
13,88
76,88
-9,88
2,88
39,88
49,88
16,88
-49,88
-39,88
-10,88
8,88
34,88
19,88
35,88
-14,88
-17,88
29,88
28,88
60,88
0,88
-1,88
-33,88
-110,88
-82,88
-38,88
-25,88
-10,88
17,88
2,88
37,88
27,88
12,88
33,88
-60,88
-50,88
-56,88
-36,88
42,88
56,88
-17,88
-22,88
-14,88
-37,88
-50,88
-59,88
-11,88
-92,88
-84,88
-72,88
-57,88
-57,88
-116,88
-106,88
-70,88
-93,88
16,88
6,88
36,88
58,88
19,88
51,88
6,88
43,88
60,88
65,88
92,88
98,88
102,88
108,88
18,88
0,88
61,88
51,88
44,88
37,88
57,88
17,88
-123,88
-203,88
-87,88
58,88
131,88
131,88
87,88
-17,88
-133,88
-189,88
-51,88
137,88
188,88
186,88
60,88
-8,88
-33,88
-34,88
6,88
58,88
39,88
49,88
34,88
8,88
57,88
-35,88
-2,88
56,88
40,88
56,88
83,88
123,88
89,88
35,88
25,88
56,88
44,88
61,88
58,88
59,88
59,88
0,88
84,88
133,88
85,88
90,88
109,88
88,88
43,88
28,88
51,88
10,88
27,88
-9,88
-49,88
-2,88
-27,88
-71,88
-24,88
-13,88
-1,88
24,88
-10,88
-7,88
-45,88
-73,88
-87,88
-74,88
-13,88
-50,88
-120,88
-82,88
-83,88
-41,88
-44,88
-60,88
-12,88
-104,88
-68,88
-76,88
-92,88
-12,88
-28,88
-74,88
-27,88
-83,88
-59,88
-74,88
-28,88
61,88
2,88
32,88
54,88
66,88
29,88
60,88
27,88
-33,88
26,88
-46,88
-89,88
-34,88
-27,88
-17,88
-22,88
2,88
41,88
44,88
49,88
41,88
-8,88
-41,88
-57,88
-66,88
1,88
-28,88
-18,88
-6,88
6,88
98,88
21,88
-1,88
-33,88
-18,88
-60,88
-3,88
37,88
55,88
-17,88
-81,88
-17,88
53,88
162,88
167,88
69,88
-84,88
-203,88
-244,88
-249,88
-59,88
49,88
6,88
-132,88
-202,88
-217,88
-280,88
-279,88
-164,88
-119,88
-100,88
-102,88
-77,88
-19,88
64,88
99,88
208,88
182,88
118,88
210,88
184,88
178,88
285,88
266,88
269,88
188,88
235,88
272,88
160,88
243,88
276,88
260,88
284,88
157,88
149,88
53,88
130,88
129,88
163,88
205,88
132,88
201,88
245,88
192,88
272,88
244,88
215,88
180,88
154,88
169,88
176,88
154,88
164,88
125,88
216,88
160,88
104,88
133,88
72,88
92,88
106,88
178,88
202,88
43,88
86,88
121,88
98,88
93,88
87,88
53,88
58,88
85,88
67,88
104,88
43,88
48,88
25,88
29,88
53,88
49,88
49,88
60,88
-76,88
-51,88
-58,88
-85,88
-46,88
-89,88
-129,88
-133,88
-149,88
-82,88
-90,88
6,88
76,88
86,88
88,88
81,88
147,88
154,88
130,88
235,88
161,88
93,88
161,88
108,88
148,88
152,88
149,88
156,88
115,88
105,88
76,88
45,88
118,88
128,88
117,88
107,88
55,88
26,88
-42,88
-62,88
-54,88
-122,88
-101,88
-108,88
-86,88
-66,88
-187,88
-164,88
-108,88
-110,88
-55,88
-17,88
23,88
64,88
86,88
100,88
99,88
64,88
123,88
103,88
168,88
196,88
130,88
144,88
64,88
67,88
73,88
97,88
87,88
103,88
82,88
118,88
40,88
107,88
41,88
0,88
-34,88
-36,88
32,88
-22,88
9,88
28,88
-25,88
-1,88
-14,88
-28,88
-41,88
-74,88
-6,88
-19,88
-75,88
-36,88
-55,88
-62,88
-70,88
-81,88
-10,88
-4,88
-69,88
18,88
20,88
49,88
96,88
106,88
140,88
103,88
72,88
96,88
76,88
82,88
121,88
144,88
165,88
98,88
117,88
75,88
52,88
55,88
-25,88
-6,88
5,88
-18,88
9,88
33,88
-41,88
-54,88
-101,88
-136,88
-130,88
-136,88
-117,88
-149,88
-140,88
-135,88
-149,88
-89,88
-113,88
-116,88
-27,88
-71,88
19,88
37,88
51,88
98,88
101,88
156,88
188,88
234,88
257,88
236,88
272,88
252,88
283,88
276,88
229,88
256,88
178,88
180,88
148,88
83,88
69,88
59,88
-2,88
-26,88
-45,88
-113,88
