raw_data,attention
-187,0
-94,0
-114,0
-202,0
-310,0
-189,0
-180,0
-193,0
-98,0
17,0
122,0
183,0
170,0
164,0
225,0
244,0
262,0
217,0
244,0
257,0
247,0
228,0
221,0
210,0
59,0
29,0
-4,0
11,0
40,0
5,0
12,0
8,0
1,0
1,0
-44,0
-34,0
8,0
-4,0
-33,0
8,0
48,0
23,0
-27,0
-34,0
-10,0
1,0
28,0
3,0
77,0
50,0
71,0
103,0
68,0
138,0
91,0
100,0
114,0
73,0
75,0
123,0
59,0
54,0
8,0
8,0
19,0
-29,0
-26,0
-5,0
-40,0
-26,0
1,0
-30,0
6,0
5,0
-27,0
0,0
27,0
-3,0
9,0
19,0
26,0
5,0
23,0
44,0
49,0
48,0
69,0
83,0
74,0
129,0
87,0
118,0
125,0
144,0
146,0
130,0
113,0
82,0
69,0
21,0
-4,0
91,0
37,0
-18,0
-1,0
-22,0
-66,0
-3,0
49,0
61,0
86,0
112,0
102,0
135,0
168,0
152,0
150,0
180,0
184,0
37,0
7,0
37,0
40,0
2,0
39,0
69,0
-5,0
11,0
-10,0
33,0
45,0
6,0
60,0
75,0
-7,0
39,0
57,0
45,0
19,0
32,0
13,0
-4,0
48,0
65,0
58,0
35,0
71,0
17,0
-13,0
-40,0
-17,0
6,0
-20,0
107,0
75,0
81,0
56,0
68,0
52,0
45,0
64,0
32,0
28,0
64,0
74,0
65,0
41,0
9,0
8,0
1,0
22,0
35,0
5,0
17,0
27,0
9,0
53,0
66,0
48,0
64,0
9,0
43,0
66,0
28,0
67,0
133,0
56,0
59,0
60,0
48,0
52,0
145,0
88,0
91,0
69,0
72,0
116,0
105,0
171,0
186,0
108,0
116,0
85,0
137,0
98,0
98,0
81,0
67,0
68,0
17,0
48,0
52,0
25,0
-178,0
-146,0
-149,0
-115,0
-87,0
-120,0
-99,0
-116,0
-109,0
-84,0
-62,0
-86,0
-108,0
-19,0
-11,0
5,0
-3,0
-17,0
12,0
5,0
-30,0
18,0
10,0
66,0
50,0
10,0
81,0
52,0
55,0
52,0
89,0
68,0
105,0
109,0
185,0
182,0
226,0
182,0
198,0
183,0
123,0
133,0
173,0
177,0
171,0
176,0
173,0
202,0
129,0
125,0
168,0
114,0
153,0
134,0
135,0
71,0
75,0
133,0
148,0
100,0
112,0
67,0
19,0
23,0
64,0
33,0
21,0
22,0
36,0
24,0
7,0
5,0
-1,0
9,0
-41,0
-4,0
-38,0
1,0
5,0
-6,0
-35,0
-27,0
5,35
-3,35
-8,35
16,35
-55,35
-116,35
-40,35
-42,35
-27,35
-13,35
-67,35
-6,35
-5,35
-13,35
53,35
40,35
-9,35
25,35
-24,35
-12,35
-93,35
-218,35
-201,35
-212,35
-186,35
-132,35
-53,35
39,35
-22,35
-25,35
34,35
72,35
100,35
58,35
82,35
139,35
100,35
88,35
113,35
120,35
187,35
118,35
