raw_data,attention
80,57
52,57
23,57
25,57
13,57
-22,57
-26,57
-29,57
-40,57
-51,57
-72,57
-65,57
-37,57
-18,38
3,38
35,38
48,38
51,38
103,38
89,38
92,38
89,38
80,38
105,38
88,38
85,38
76,38
44,38
49,38
36,38
33,38
22,38
96,38
56,38
35,38
50,38
53,38
38,38
53,38
48,38
49,38
67,38
48,38
34,38
26,38
27,38
42,38
51,38
33,38
55,38
55,38
26,38
12,38
39,38
58,38
19,38
21,38
60,38
-1,38
2,38
33,38
10,38
22,38
26,38
35,38
49,38
26,38
-1,38
16,38
56,38
37,38
3,38
19,38
-17,38
-8,38
-4,38
-22,38
-46,38
-5,38
7,38
19,38
23,38
41,38
37,38
32,38
43,38
58,38
66,38
65,38
86,38
85,38
101,38
100,38
84,38
113,38
75,38
51,38
66,38
44,38
49,38
11,38
20,38
17,38
-2,38
-17,38
-35,38
-39,38
-45,38
-29,38
-13,38
28,38
21,38
25,38
26,38
20,38
10,38
9,38
65,38
80,38
40,38
41,38
41,38
32,38
27,38
21,38
5,38
-5,38
5,38
4,38
-3,38
-3,38
-13,38
-17,38
-26,38
-6,38
-9,38
-3,38
18,38
13,38
38,38
50,38
43,38
82,38
59,38
69,38
92,38
98,38
101,38
102,38
98,38
98,38
73,38
54,38
37,38
28,38
23,38
38,38
65,38
53,38
50,38
21,38
17,38
25,38
22,38
28,38
38,38
75,38
65,38
39,38
88,38
35,38
4,38
4,38
-8,38
-24,38
-21,38
-40,38
-5,38
4,38
11,38
23,38
23,38
19,38
9,38
12,38
44,38
56,38
45,38
42,38
27,38
26,38
64,38
87,38
44,38
42,38
54,38
44,38
33,38
40,38
45,38
71,38
50,38
65,38
50,38
85,38
87,38
103,38
83,38
75,38
88,38
83,38
44,38
42,38
28,38
58,38
36,38
54,38
97,38
81,38
23,38
18,38
7,38
-21,38
-4,38
-3,38
12,38
10,38
-13,38
-6,38
-22,38
-2,38
32,38
-1,38
-2,38
10,38
37,38
40,38
41,38
24,38
18,38
24,38
48,38
55,38
43,38
18,38
43,38
60,38
32,38
61,38
66,38
12,38
12,38
42,38
16,38
28,38
29,38
35,38
35,38
23,38
-6,38
20,38
29,38
25,38
58,38
81,38
89,38
99,38
129,38
123,38
138,38
145,38
124,38
102,38
99,38
109,38
66,38
85,38
65,38
40,38
38,38
56,38
